,,,Loc #,State Total,"152,139.62","648,972,840.96 ","40,467.85","96,836,327.38 ","31,459.30 ","68,733,540.23 ","5,846.82","4,866,428.29 ",34.55 ,"147,375.73 "," 819,556,512.59 "," 363,516,836 ","337,545,735,414",,," $180,171,742.78 "," 664,710,118.36 "," 59,449,971.16 "," 47,559,976.93 "," 716,948,319.53 "," 3,200,171.37 "," 715,470,266.68 ",,"1,078,987,102.68 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Campton,TRUE,75,Campton, 390.68 ," 1,666,502.79 ", 110.59 ," 264,644.27 ", 76.96 ," 168,154.68 ", 4.97 ," 4,138.54 ", 0.15 , 639.85 ," 2,104,080.13 "," 1,120,920 "," 1,025,030,401.89 "," 9,268,350.13 ", -   , -   ," 983,160.13 "," 697,149.13 ","557,719.30","1,573,155.17", -   ," 1,540,879.43 ",," 2,661,799.43 ",,,,,,
77,Canaan,TRUE,77,Canaan, 366.82 ," 1,564,728.89 ", 77.89 ," 186,374.97 ", 77.69 ," 169,749.61 ", 1.00 , 832.32 , -   , -   ," 1,921,685.79 "," 691,859 "," 626,913,660.48 "," 8,049,118.72 ", -   , -   ," 1,229,826.79 "," 929,912.93 ","743,930.35","2,241,556.61"," 155,721.64 "," 2,129,478.78 ",," 2,821,337.78 ",,,,,,
79,Candia,TRUE,79,Candia, 412.71 ," 1,760,476.12 ", 53.43 ," 127,842.71 ", 60.33 ," 131,810.96 ", -   , -   , -   , -   ," 2,020,129.79 "," 932,068 "," 851,370,637.84 "," 15,935,690.47 ", -   , -   ," 1,088,061.79 ", -   ,0.00,"1,065,819.72", -   ," 1,088,061.79 ",," 2,020,129.79 ",,,,,,
81,Canterbury,TRUE,81,Canterbury, 228.90 ," 976,404.57 ", 38.78 ," 92,806.77 ", 40.54 ," 88,575.60 ", 3.82 ," 3,179.63 ", -   , -   ," 1,160,966.57 "," 588,288 "," 536,005,141.28 "," 13,820,300.21 ", -   , -   ," 572,678.57 ", -   ,0.00,"571,147.82", -   ," 572,678.57 ",," 1,160,966.57 ",,,,,,
83,Carroll,TRUE,83,Carroll, 53.05 ," 226,273.01 ", 14.81 ," 35,438.43 ", 7.00 ," 15,293.88 ", 3.66 ," 3,043.21 ", -   , -   ," 280,048.53 "," 802,161 "," 723,660,683.74 "," 48,863,966.44 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 802,161.00 ",,,,,,
87,Center Harbor,TRUE,87,Center Harbor, 99.50 ," 424,432.46 ", 16.57 ," 39,650.45 ", 16.45 ," 35,930.57 ", -   , -   , -   , -   ," 500,013.48 "," 1,071,741 "," 963,759,490.30 "," 58,163,265.34 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 1,071,741.00 ",,,,,,
89,Charlestown,TRUE,89,Charlestown, 595.51 ," 2,540,234.26 ", 248.25 ," 594,030.90 ", 154.88 ," 338,381.90 ", 6.56 ," 5,463.93 ", -   , -   ," 3,478,110.99 "," 578,477 "," 548,851,099.77 "," 2,210,923.31 "," 10,289.13 "," 2,554,228.10 "," 5,453,862.09 "," 223,693.78 ","178,955.02","5,970,772.45"," 39,416.71 "," 5,672,233.82 ",," 6,250,710.82 ",,,,,,
91,Chatham,TRUE,91,Chatham, 42.00 ," 179,156.88 ", 2.00 ," 4,785.84 ", 3.00 ," 6,554.52 ", -   , -   , -   , -   ," 190,497.24 "," 98,299 "," 90,255,045.16 "," 45,127,522.58 ", -   , -   ," 92,198.24 ", -   ,0.00,"117,279.71"," 19,217.48 "," 111,415.72 ",," 209,714.72 ",,,,,,
93,Chester,TRUE,93,Chester, 729.86 ," 3,113,303.37 ", 47.61 ," 113,937.45 ", 135.38 ," 295,792.38 ", 13.00 ," 10,820.16 ", -   , -   ," 3,533,853.36 "," 1,264,821 "," 1,192,099,639.36 "," 25,036,535.99 ", -   , -   ," 2,269,032.36 "," 412,268.25 ","329,814.60","2,586,723.00", -   ," 2,598,846.96 ",," 3,863,667.96 ",,,,,,
95,Chesterfield,TRUE,95,Chesterfield, 379.97 ," 1,620,815.66 ", 57.86 ," 138,449.33 ", 42.85 ," 93,630.01 ", 4.00 ," 3,329.28 ", 0.15 , 639.85 ," 1,856,864.13 "," 965,145 "," 873,508,496.12 "," 15,097,480.14 ", -   , -   ," 891,719.13 ", 563.36 ,450.69,"892,365.40", -   ," 892,169.81 ",," 1,857,314.81 ",,,,,,
