,,,Loc #,State Total,"152,139.62","648,972,840.96 ","40,467.85","96,836,327.38 ","31,459.30 ","68,733,540.23 ","5,846.82","4,866,428.29 ",34.55 ,"147,375.73 "," 819,556,512.59 "," 363,516,836 ","337,545,735,414",,," $180,171,742.78 "," 664,710,118.36 "," 59,449,971.16 "," 47,559,976.93 "," 716,948,319.53 "," 3,200,171.37 "," 715,470,266.68 ",,"1,078,987,102.68 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Rochester,TRUE,461,Rochester," 3,540.56 "," 15,102,757.77 "," 1,362.98 "," 3,261,506.41 ", 842.78 ," 1,841,341.20 ", 72.39 ," 60,248.32 ", 1.35 ," 5,758.61 "," 20,271,612.31 "," 5,437,627 "," 5,046,028,818.59 "," 3,702,198.24 "," 6,993.42 "," 9,531,899.13 "," 24,365,884.44 "," 109,823.87 ","87,859.09","25,949,553.11"," 198,331.92 "," 24,652,075.46 ",," 30,089,702.46 ",,,,,,
463,Rollinsford,TRUE,463,Rollinsford, 290.69 ," 1,239,968.23 ", 48.55 ," 116,176.03 ", 37.38 ," 81,672.38 ", -   , -   , -   , -   ," 1,437,816.64 "," 575,515 "," 522,962,765.20 "," 10,771,654.84 ", -   , -   ," 862,301.64 ", -   ,0.00,"790,220.48", -   ," 862,301.64 ",," 1,437,816.64 ",,,,,,
465,Roxbury,TRUE,465,Roxbury, 20.59 ," 87,842.32 ", 4.56 ," 10,905.73 ", 4.00 ," 8,739.36 ", -   , -   , -   , -   ," 107,487.41 "," 43,041 "," 39,753,709.66 "," 8,722,700.97 ", -   , -   ," 64,446.41 "," 29,430.24 ","23,544.19","79,369.47", -   ," 87,990.60 ",," 131,031.60 ",,,,,,
467,Rumney,TRUE,467,Rumney, 140.38 ," 598,796.04 ", 49.49 ," 118,423.94 ", 39.21 ," 85,677.19 ", -   , -   , -   , -   ," 802,897.17 "," 363,048 "," 345,247,556.60 "," 6,976,206.10 ", -   , -   ," 439,849.17 "," 292,275.75 ","233,820.60","640,983.35", -   ," 673,669.77 ",," 1,036,717.77 ",,,,,,
471,Rye,TRUE,471,Rye, 508.42 ," 2,168,731.57 ", 8.87 ," 21,234.53 ", 57.63 ," 125,909.49 ", 3.00 ," 2,496.96 ", -   , -   ," 2,318,372.55 "," 5,474,271 "," 4,912,360,545.08 "," 553,574,025.52 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 5,474,271.00 ",,,,,,
473,Salem,TRUE,473,Salem," 3,407.58 "," 14,535,508.27 ", 603.52 ," 1,444,164.55 ", 613.31 ," 1,339,973.51 ", 82.91 ," 69,003.99 ", -   , -   ," 17,388,650.32 "," 9,339,468 "," 8,502,565,561.59 "," 14,088,394.01 ", -   , -   ," 8,049,182.32 ", -   ,0.00,"7,986,537.28", -   ," 8,049,182.32 ",," 17,388,650.32 ",,,,,,
475,Salisbury,TRUE,475,Salisbury, 150.11 ," 640,332.71 ", 33.19 ," 79,415.03 ", 34.16 ," 74,642.44 ", 1.98 ," 1,650.57 ", 0.15 , 639.85 ," 796,680.60 "," 278,354 "," 266,140,689.55 "," 8,019,305.15 ", -   , -   ," 518,326.60 "," 35,252.09 ","28,201.68","529,231.86", -   ," 546,528.27 ",," 824,882.27 ",,,,,,
477,Sanbornton,TRUE,477,Sanbornton, 247.45 ," 1,055,517.26 ", 69.05 ," 165,230.17 ", 44.40 ," 96,996.85 ", -   , -   , 0.30 ," 1,279.69 "," 1,319,023.97 "," 1,104,993 "," 993,429,653.39 "," 14,387,189.11 ", -   , -   ," 214,030.97 "," 153,587.45 ","122,869.96","338,235.44", -   ," 336,900.94 ",," 1,441,893.94 ",,,,,,
479,Sandown,TRUE,479,Sandown, 865.14 ," 3,690,365.55 ", 115.31 ," 275,919.23 ", 200.52 ," 438,109.80 ", 5.00 ," 4,161.60 ", 0.15 , 639.85 ," 4,409,196.03 "," 1,350,477 "," 1,215,576,010.17 "," 10,542,129.11 ", -   , -   ," 3,058,719.03 "," 1,149,005.12 ","919,204.09","3,869,052.69", -   ," 3,977,923.12 ",," 5,328,400.12 ",,,,,,
483,Sandwich,TRUE,483,Sandwich, 143.67 ," 612,849.19 ", 21.00 ," 50,251.32 ", 21.00 ," 45,881.64 ", -   , -   , -   , -   ," 708,982.15 "," 917,918 "," 835,513,259.12 "," 39,786,345.67 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 917,918.00 ",,,,,,
485,Seabrook,TRUE,485,Seabrook, 849.41 ," 3,623,282.82 ", 395.30 ," 945,911.70 ", 190.21 ," 415,572.08 ", 18.45 ," 15,353.22 ", -   , -   ," 5,000,119.82 "," 3,323,319 "," 4,718,469,374.05 "," 11,936,547.23 ", -   , -   ," 1,676,800.82 ", -   ,0.00,"1,693,103.65", -   ," 1,676,800.82 ",," 5,000,119.82 ",,,,,,
487,Sharon,TRUE,487,Sharon, 28.53 ," 121,681.65 ", -   , -   , 7.00 ," 15,293.88 ", 1.00 , 832.32 , -   , -   ," 137,807.85 "," 94,536 "," 85,453,222.19 ", -   ,  , -   ," 43,271.85 "," 33,992.58 ","27,194.06","70,216.06", -   ," 70,465.91 ",," 165,001.91 ",,,,,,
489,Shelburne,TRUE,489,Shelburne, 32.58 ," 138,955.78 ", 12.56 ," 30,065.60 ", 1.00 ," 2,184.84 ", -   , -   , -   , -   ," 171,206.22 "," 95,638 "," 121,427,608.43 "," 9,664,417.59 ", -   , -   ," 75,568.22 "," 30,824.64 ","24,659.71","102,553.33", -   ," 100,227.93 ",," 195,865.93 ",,,,,,
491,Somersworth,TRUE,491,Somersworth," 1,267.30 "," 5,405,858.37 ", 551.92 ," 1,320,695.86 ", 306.08 ," 668,739.54 ", 74.77 ," 62,235.98 ", -   , -   ," 7,457,529.75 "," 2,346,763 "," 2,138,045,717.31 "," 3,873,845.99 "," 6,614.07 "," 3,650,427.58 "," 8,761,194.33 ", -   ,0.00,"9,061,890.90", -   ," 8,761,194.33 ",," 11,107,957.33 ",,,,,,
495,South Hampton,TRUE,495,South Hampton, 108.50 ," 462,822.79 ", 4.00 ," 9,571.68 ", 23.00 ," 50,251.32 ", -   , -   , -   , -   ," 522,645.79 "," 277,255 "," 252,797,369.11 "," 63,199,342.28 ", -   , -   ," 245,390.79 "," 48,969.52 ","39,175.62","276,857.26", -   ," 284,566.41 ",," 561,821.41 ",,,,,,
497,Springfield,TRUE,497,Springfield, 145.90 ," 622,341.09 ", 21.08 ," 50,444.67 ", 29.37 ," 64,169.84 ", -   , -   , -   , -   ," 736,955.60 "," 407,250 "," 376,698,999.72 "," 17,869,293.37 ", -   , -   ," 329,705.60 ", -   ,0.00,"364,580.03"," 16,645.43 "," 346,351.03 ",," 753,601.03 ",,,,,,
499,Stark,TRUE,499,Stark, 57.64 ," 245,856.99 ", 22.63 ," 54,140.77 ", 7.66 ," 16,746.14 ", -   , -   , -   , -   ," 316,743.90 "," 148,594 "," 159,693,239.82 "," 7,058,139.96 ", -   , -   ," 168,149.90 "," 197,343.08 ","157,874.47","315,442.07", -   ," 326,024.37 ",," 474,618.37 ",,,,,,
501,Stewartstown,TRUE,501,Stewartstown, 80.29 ," 342,505.72 ", 46.41 ," 111,056.85 ", 15.70 ," 34,295.65 ", -   , -   , -   , -   ," 487,858.22 "," 201,966 "," 202,556,064.88 "," 4,364,435.39 "," 5,529.87 "," 256,644.69 "," 542,536.91 "," 103,208.43 ","82,566.75","685,106.51"," 25,747.53 "," 650,851.19 ",," 852,817.19 ",,,,,,
503,Stoddard,TRUE,503,Stoddard, 130.04 ," 554,688.47 ", 33.17 ," 79,374.11 ", 28.07 ," 61,321.90 ", -   , -   , -   , -   ," 695,384.48 "," 544,079 "," 505,647,995.71 "," 15,243,952.31 ", -   , -   ," 151,305.48 ", -   ,0.00,"186,608.16"," 25,972.27 "," 177,277.75 ",," 721,356.75 ",,,,,,
507,Strafford,TRUE,507,Strafford, 529.97 ," 2,260,645.45 ", 69.62 ," 166,584.56 ", 112.67 ," 246,157.18 ", -   , -   , -   , -   ," 2,673,387.19 "," 1,186,486 "," 1,081,693,127.97 "," 15,538,085.26 ", -   , -   ," 1,486,901.19 "," 790,883.08 ","632,706.46","2,158,093.93", -   ," 2,119,607.65 ",," 3,306,093.65 ",,,,,,
509,Stratford,TRUE,509,Stratford, 63.36 ," 270,256.45 ", 35.11 ," 84,020.21 ", 24.16 ," 52,791.20 ", -   , -   , -   , -   ," 407,067.86 "," 156,841 "," 204,300,030.80 "," 5,818,524.46 "," 2,316.34 "," 81,331.17 "," 331,558.03 "," 339,200.77 ","271,360.62","702,271.62"," 64,239.39 "," 667,158.04 ",," 823,999.04 ",,,,,,
511,Stratham,TRUE,511,Stratham," 1,010.60 "," 4,310,857.06 ", 47.88 ," 114,577.32 ", 165.74 ," 362,122.81 ", 3.54 ," 2,950.08 ", -   , -   ," 4,790,507.27 "," 2,670,500 "," 2,425,412,214.73 "," 50,654,157.00 ", -   , -   ," 2,120,007.27 ", -   ,0.00,"2,134,421.81", -   ," 2,120,007.27 ",," 4,790,507.27 ",,,,,,
512,Sugar Hill,TRUE,512,Sugar Hill, 56.53 ," 241,141.32 ", 9.51 ," 22,752.60 ", 13.00 ," 28,402.92 ", 0.01 , 9.24 , -   , -   ," 292,306.08 "," 389,486 "," 353,993,196.04 "," 37,229,914.50 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 389,486.00 ",,,,,,
513,Sullivan,TRUE,513,Sullivan, 68.67 ," 292,903.16 ", 23.15 ," 55,388.92 ", 15.77 ," 34,462.57 ", -   , -   , -   , -   ," 382,754.65 "," 98,362 "," 94,534,890.38 "," 4,084,109.84 "," 6,149.39 "," 142,339.97 "," 426,732.62 "," 302,756.23 ","242,204.98","656,568.52", -   ," 668,937.60 ",," 767,299.60 ",,,,,,
514,Success,TRUE,514,Success, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 16,982 "," 15,233,230.56 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,," 16,982.00 ",,,,,,
515,Sunapee,TRUE,515,Sunapee, 327.75 ," 1,398,042.18 ", 70.17 ," 167,916.94 ", 57.10 ," 124,747.15 ", 1.36 ," 1,132.87 ", -   , -   ," 1,691,839.14 "," 2,831,565 "," 2,561,085,562.29 "," 36,497,049.58 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,831,565.00 ",,,,,,
519,Surry,TRUE,519,Surry, 91.21 ," 389,069.45 ", 6.99 ," 16,736.32 ", 13.99 ," 30,574.87 ", 1.00 , 832.32 , -   , -   ," 437,212.96 "," 150,535 "," 140,313,973.30 "," 20,061,762.53 ", -   , -   ," 286,677.96 "," 66,381.61 ","53,105.29","337,572.66", -   ," 339,783.25 ",," 490,318.25 ",,,,,,
521,Sutton,TRUE,521,Sutton, 249.18 ," 1,062,916.87 ", 36.77 ," 87,991.50 ", 44.53 ," 97,301.41 ", 2.00 ," 1,664.64 ", -   , -   ," 1,249,874.42 "," 592,470 "," 536,996,228.03 "," 14,603,558.94 ", -   , -   ," 657,404.42 ", -   ,0.00,"636,695.59", -   ," 657,404.42 ",," 1,249,874.42 ",,,,,,
523,Swanzey,TRUE,523,Swanzey, 845.11 ," 3,604,945.26 ", 311.18 ," 744,621.19 ", 168.50 ," 368,138.33 ", 7.26 ," 6,041.48 ", -   , -   ," 4,723,746.26 "," 1,225,744 "," 1,131,484,119.31 "," 3,636,145.49 "," 7,139.39 "," 2,221,613.42 "," 5,719,615.68 "," 1,015,309.30 ","812,247.44","6,360,630.42", -   ," 6,531,863.12 ",," 7,757,607.12 ",,,,,,
525,Tamworth,TRUE,525,Tamworth, 242.77 ," 1,035,560.89 ", 115.24 ," 275,770.39 ", 65.58 ," 143,278.97 ", 4.00 ," 3,329.28 ", -   , -   ," 1,457,939.53 "," 776,073 "," 711,885,881.56 "," 6,177,189.51 "," 1,523.69 "," 175,596.08 "," 857,462.61 ", -   ,0.00,"1,059,635.13"," 149,190.76 "," 1,006,653.37 ",," 1,782,726.37 ",,,,,,
527,Temple,TRUE,527,Temple, 105.94 ," 451,890.38 ", 26.03 ," 62,297.52 ", 30.03 ," 65,619.70 ", -   , -   , -   , -   ," 579,807.60 "," 312,780 "," 283,982,533.96 "," 10,908,098.76 ", -   , -   ," 267,027.60 ", -   ,0.00,"252,975.05", -   ," 267,027.60 ",," 579,807.60 ",,,,,,
531,Thornton,TRUE,531,Thornton, 243.52 ," 1,038,766.95 ", 47.83 ," 114,454.08 ", 42.61 ," 93,103.02 ", 1.00 , 832.32 , -   , -   ," 1,247,156.37 "," 949,944 "," 860,428,881.38 "," 17,989,201.02 ", -   , -   ," 297,212.37 "," 345,422.42 ","276,337.94","602,460.40", -   ," 573,550.31 ",," 1,523,494.31 ",,,,,,
532,Tilton,TRUE,532,Tilton, 412.34 ," 1,758,908.93 ", 200.97 ," 480,898.43 ", 102.40 ," 223,735.48 ", 10.00 ," 8,323.20 ", -   , -   ," 2,471,866.04 "," 1,282,630 "," 1,205,728,179.21 "," 5,999,626.70 "," 1,916.10 "," 385,073.13 "," 1,574,309.17 ", -   ,0.00,"1,470,408.11", -   ," 1,574,309.17 ",," 2,856,939.17 ",,,,,,
535,Troy,TRUE,535,Troy, 244.07 ," 1,041,135.23 ", 95.12 ," 227,620.77 ", 49.42 ," 107,975.01 ", -   , -   , -   , -   ," 1,376,731.01 "," 261,517 "," 259,092,317.78 "," 2,723,772.46 "," 9,155.74 "," 870,917.53 "," 1,986,131.54 "," 454,428.39 ","363,542.71","2,282,552.68", -   ," 2,349,674.25 ",," 2,611,191.25 ",,,,,,
537,Tuftonboro,TRUE,537,Tuftonboro, 214.15 ," 913,474.44 ", 60.92 ," 145,779.56 ", 33.02 ," 72,148.88 ", -   , -   , -   , -   ," 1,131,402.88 "," 2,337,640 "," 2,104,698,121.81 "," 34,547,876.96 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,337,640.00 ",,,,,,
539,Unity,TRUE,539,Unity, 129.74 ," 553,420.72 ", 49.25 ," 117,851.07 ", 33.08 ," 72,269.92 ", -   , -   , -   , -   ," 743,541.71 "," 244,132 "," 222,792,517.32 "," 4,523,715.12 "," 5,177.86 "," 255,009.28 "," 754,418.99 "," 98,665.98 ","78,932.78","836,780.17", -   ," 833,351.77 ",," 1,077,483.77 ",,,,,,
543,Wakefield,TRUE,543,Wakefield, 582.95 ," 2,486,646.73 ", 198.05 ," 473,912.54 ", 123.84 ," 270,578.45 ", 2.00 ," 1,664.64 ", -   , -   ," 3,232,802.36 "," 2,494,360 "," 2,246,402,380.59 "," 11,342,728.27 ", -   , -   ," 738,442.36 "," 265,384.37 ","212,307.50","1,030,481.52"," 28,207.59 "," 978,957.45 ",," 3,473,317.45 ",,,,,,
545,Walpole,TRUE,545,Walpole, 357.88 ," 1,526,594.92 ", 86.00 ," 205,791.12 ", 55.29 ," 120,801.33 ", 2.47 ," 2,055.16 ", -   , -   ," 1,855,242.53 "," 812,857 "," 773,182,896.05 "," 8,990,498.79 ", -   , -   ," 1,042,385.53 "," 333,932.63 ","267,146.11","1,381,316.95"," 2,719.47 "," 1,312,251.11 ",," 2,125,108.11 ",,,,,,
547,Warner,TRUE,547,Warner, 318.57 ," 1,358,886.17 ", 63.92 ," 152,951.38 ", 54.77 ," 119,655.60 ", 1.42 ," 1,184.72 ", -   , -   ," 1,632,677.87 "," 591,683 "," 541,382,385.81 "," 8,469,912.15 ", -   , -   ," 1,040,994.87 "," 186,525.32 ","149,220.26","1,210,554.58", -   ," 1,190,215.13 ",," 1,781,898.13 ",,,,,,
549,Warren,TRUE,549,Warren, 82.00 ," 349,781.20 ", 32.36 ," 77,430.82 ", 15.27 ," 33,358.14 ", -   , -   , -   , -   ," 460,570.16 "," 140,214 "," 144,127,793.31 "," 4,454,121.30 "," 5,331.67 "," 172,523.66 "," 492,879.82 "," 189,718.48 ","151,774.79","819,712.66"," 134,072.42 "," 778,727.03 ",," 918,941.03 ",,,,,,
551,Washington,TRUE,551,Washington, 97.40 ," 415,474.62 ", 39.67 ," 94,920.91 ", 22.42 ," 48,986.73 ", -   , -   , -   , -   ," 559,382.26 "," 460,009 "," 415,433,197.56 "," 10,472,912.20 ", -   , -   ," 99,373.26 "," 79,171.44 ","63,337.15","96,321.33", -   ," 162,710.41 ",," 622,719.41 ",,,,,,
553,Waterville Valley,TRUE,553,Waterville Valley, 38.65 ," 164,858.45 ", 2.00 ," 4,785.84 ", 4.65 ," 10,155.14 ", 3.00 ," 2,496.96 ", -   , -   ," 182,296.39 "," 764,424 "," 687,129,548.46 "," 343,564,774.23 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 764,424.00 ",,,,,,
555,Weare,TRUE,555,Weare," 1,219.09 "," 5,200,197.36 ", 210.90 ," 504,659.17 ", 307.31 ," 671,429.08 ", 10.00 ," 8,323.20 ", 0.23 , 959.77 ," 6,385,568.58 "," 1,847,094 "," 1,695,353,451.29 "," 8,038,782.24 ", -   , -   ," 4,538,474.58 "," 3,097,378.40 ","2,477,902.72","6,970,989.29", -   ," 7,016,377.30 ",," 8,863,471.30 ",,,,,,
557,Webster,TRUE,557,Webster, 192.13 ," 819,574.48 ", 47.66 ," 114,037.23 ", 57.17 ," 124,910.58 ", -   , -   , -   , -   ," 1,058,522.29 "," 402,046 "," 386,747,160.22 "," 8,115,375.79 ", -   , -   ," 656,476.29 ", -   ,0.00,"685,493.96", -   ," 656,476.29 ",," 1,058,522.29 ",,,,,,
559,Wentworth,TRUE,559,Wentworth, 116.64 ," 497,536.14 ", 34.85 ," 83,382.97 ", 24.24 ," 52,970.35 ", -   , -   , -   , -   ," 633,889.46 "," 202,020 "," 189,457,335.67 "," 5,437,036.30 "," 3,159.42 "," 110,092.35 "," 541,961.81 "," 249,532.79 ","199,626.23","733,012.90", -   ," 741,588.04 ",," 943,608.04 ",,,,,,
561,Wentworth's Location,TRUE,561,Wentworth's Location, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 14,526 "," 13,127,677.06 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,," 14,526.00 ",,,,,,
563,Westmoreland,TRUE,563,Westmoreland, 165.03 ," 703,952.17 ", 32.60 ," 78,011.58 ", 20.99 ," 45,868.75 ", -   , -   , -   , -   ," 827,832.50 "," 307,921 "," 279,648,137.30 "," 8,577,900.60 ", -   , -   ," 519,911.50 "," 224,463.08 ","179,570.46","726,382.95", -   ," 699,481.96 ",," 1,007,402.96 ",,,,,,
567,Whitefield,TRUE,567,Whitefield, 236.94 ," 1,010,691.78 ", 111.40 ," 266,559.80 ", 71.92 ," 157,143.52 ", 0.94 , 785.04 , -   , -   ," 1,435,180.14 "," 429,609 "," 417,935,841.67 "," 3,751,829.90 "," 6,883.73 "," 766,814.52 "," 1,772,385.66 "," 161,408.10 ","129,126.48","2,103,974.49"," 97,263.63 "," 1,998,775.77 ",," 2,428,384.77 ",,,,,,
569,Wilmot,TRUE,569,Wilmot, 183.33 ," 782,032.15 ", 22.40 ," 53,607.87 ", 33.10 ," 72,326.51 ", 2.66 ," 2,214.80 ", -   , -   ," 910,181.33 "," 361,672 "," 328,982,318.38 "," 14,684,940.58 ", -   , -   ," 548,509.33 ", -   ,0.00,"519,166.76", -   ," 548,509.33 ",," 910,181.33 ",,,,,,
571,Wilton,TRUE,571,Wilton, 379.30 ," 1,617,954.27 ", 84.41 ," 201,983.98 ", 89.36 ," 195,227.69 ", -   , -   , 0.15 , 639.85 ," 2,015,805.79 "," 841,009 "," 760,523,415.57 "," 9,009,980.16 ", -   , -   ," 1,174,796.79 ", -   ,0.00,"1,182,205.19", -   ," 1,174,796.79 ",," 2,015,805.79 ",,,,,,
573,Winchester,TRUE,573,Winchester, 451.74 ," 1,926,949.12 ", 206.03 ," 493,022.16 ", 101.20 ," 221,116.51 ", 1.00 , 832.32 , -   , -   ," 2,641,920.11 "," 569,015 "," 564,601,198.72 "," 2,740,334.22 "," 9,119.14 "," 1,878,849.28 "," 3,951,754.39 "," 205,828.84 ","164,663.08","4,209,457.33", -   ," 4,116,417.47 ",," 4,685,432.47 ",,,,,,
575,Windham,TRUE,575,Windham," 2,863.75 "," 12,215,736.79 ", 93.71 ," 224,249.15 ", 504.67 ," 1,102,613.37 ", 81.02 ," 67,436.40 ", 2.03 ," 8,637.92 "," 13,618,673.63 "," 5,461,276 "," 4,927,611,846.09 "," 52,581,608.71 ", -   , -   ," 8,157,397.63 ", -   ,0.00,"8,116,730.79", -   ," 8,157,397.63 ",," 13,618,673.63 ",,,,,,
579,Windsor,TRUE,579,Windsor, 8.41 ," 35,859.96 ", 4.30 ," 10,292.19 ", 3.29 ," 7,187.47 ", -   , -   , -   , -   ," 53,339.62 "," 52,957 "," 48,270,258.36 "," 11,222,770.54 ", -   , -   , 382.62 ," 36,760.68 ","29,408.55","39,291.71"," 7,535.96 "," 37,327.13 ",," 90,284.13 ",,,,,,
583,Wolfeboro,TRUE,583,Wolfeboro, 578.15 ," 2,466,173.37 ", 143.31 ," 342,936.07 ", 96.74 ," 211,359.89 ", 1.99 ," 1,659.98 ", 2.93 ," 12,477.00 "," 3,034,606.31 "," 5,134,747 "," 4,585,185,351.78 "," 31,994,248.61 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 5,134,747.00 ",,,,,,
585,Woodstock,TRUE,585,Woodstock, 128.52 ," 548,208.54 ", 34.93 ," 83,583.02 ", 28.17 ," 61,546.29 ", 1.21 ," 1,006.44 ", -   , -   ," 694,344.29 "," 668,373 "," 610,319,184.51 "," 17,472,986.42 ", -   , -   ," 25,971.29 "," 181,822.48 ","145,457.98","168,702.26", -   ," 171,429.27 ",," 839,802.27 ",,,,,,
417,#REF!,#REF!,417,Orford, 104.08 ," 443,985.73 ", 52.14 ," 124,776.42 ", 21.59 ," 47,169.17 ", -   , -   , -   , -   ," 615,931.32 "," 283,900 "," 257,673,971.16 "," 4,941,584.29 "," 4,254.37 "," 221,840.03 "," 553,871.35 "," 93,253.06 ","74,602.44","348,303.46", -   ," 628,473.79 ",," 912,373.79 ",,,,,,
,,,,,,,,,,,,,, -   ,,,,,,,,,,,  ,,, -   ,,,,,,
,,,,,,,,,,,,,, -   ,,,,,,,,,,,  ,,, -   ,,,,,,
,,,a,ATK. & GILMANTON ACAD.,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   ," 1,088 "," 971,216.05 ",  ,  ,, -   , -   , -   ,,  , -   ,," 1,088.00 ",,,,,,
,,,b,BEAN'S GRANT,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , -   , -   ,  ,  ,, -   , -   , -   ,,  , -   ,, -   ,,,,,,
,,,c,BEAN'S PURCHASE,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , -   , -   ,  ,  ,, -   , -   , -   ,,  , -   ,, -   ,,,,,,
,,,d,CHANDLER'S PURCHASE,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , 43 ," 46,338.50 ",  ,,, -   , -   , -   ,,  , -   ,, 43.00 ,,,,,,
,,,e,CRAWFORD'S PURCH.,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , 444 ," 397,057.67 ",  ,  ,, -   , -   , -   ,,  , -   ,, 444.00 ,,,,,,
,,,f,CUTT'S GRANT,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , -   , -   ,  ,  ,, -   , -   , -   ,,  , -   ,, -   ,,,,,,
,,,g,ERVING'S GRANT,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , 66 ," 58,914.00 ",  ,  ,, -   , -   , -   ,,  , -   ,, 66.00 ,,,,,,
,,,h,GREEN'S GRANT,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   ," 9,560 "," 8,694,928.30 ",  ,  ,, -   , -   , -   ,,  , -   ,," 9,560.00 ",,,,,,
,,,i,HADLEY'S PURCH.,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , -   , -   ,  ,  ,, -   , -   , -   ,,  , -   ,, -   ,,,,,,
,,,j,KILKENNY,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , -   ," 31,693.00 ",  ,  ,, -   , -   , -   ,,  , -   ,, -   ,,,,,,
,,,k,LIVERMORE,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , 212 ," 189,600.00 ",  ,  ,, -   , -   , -   ,,  , -   ,, 212.00 ,,,,,,
,,,l,LOW & BURBANK GR.,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , -   , -   ,  ,  ,, -   , -   , -   ,,  , -   ,, -   ,,,,,,
,,,m,SARGENT'S PURCHASE,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   ," 2,608 "," 2,328,495.74 ",  ,  ,, -   , -   , -   ,,  , -   ,," 2,608.00 ",,,,,,
,,,n,SECOND COLLEGE GR.,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   ," 1,901 "," 1,697,371.11 ",  ,  ,, -   , -   , -   ,,  , -   ,," 1,901.00 ",,,,,,
,,,o,THOM. & MES. PURCH.,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   ," 8,199 "," 7,350,926.44 ",  ,  ,, -   , -   , -   ,,  , -   ,," 8,199.00 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
