,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FY2021 Final Grants,,,,,
,,,,,,,,,,,,,,,,,,,New FY2021  ,New FY2021  ,New FY2021  ,,,,First Estimate FY2021,,as of 4-1-2021,,,,,
,,,,,,,,,,,,,,,,,,,only,only,only,FY2021,,Stabilization,as of 11-15-19,, Grants = Max of Preliminary Grant plus Stabiliation Grant @ 100% OR 95% of 11-15-19 Grant Estimate ,,,,,
,From EOY Data Excl Charter And OOS,,,,19-20 Membership,Base Adequacy Aid,F &R ,Free or Reduced Differentiated Aid, SPED,Special Education Differentiated Aid,ELL,ELL Differentiated Aid,Grade 3 Reading Below Proficient,Grade 3 Reading Differentiated Aid,Home School Academic ,Home School Academic Aid,Total Calculated Cost of an Adequate Education,SWEPT @,% F&R Eligible        19-20 F&R / 19-20 EOY,F&R Additional Aid ,Fiscal Capacity Disparity Aid,Preliminary        Grants = Cost of Adequacy Less SWEPT + F&R Aid + Fiscal Disparity,FY2012 Stabilization Grant  ,If Preliminary Grant > 0 and  ADM > 0 then FY12 Stabilization  @ ,Adequacy Grant = Preliminary Grant + Stabilization Grant + F&R + Fiscal Disparity,Minimum First FY21 Estimate as of   11-15-19 X,,,,,,
,,,,,ADM," 3,708.78 ",ADM," 1,854.38 ",ADM," 1,995.21 ",ADM, 725.63 ,ADM, 725.63 , ADM ," 3,708.78 ",$,$1.925 ,,,,,,100%,,95%,,,,,,
,,,,State Total,"167,284.28","620,420,601.22 ","45,684.59","84,716,585.22 ","29,374.16 ","58,607,614.97 ","4,970.88","3,607,017.23 ","2,269.50"," 1,646,813.88 ",38.757," 143,741.22 "," 769,142,373.74 "," 363,068,238 ",," 11,737,311.15 "," 47,505,896.81 "," 490,999,494.13 "," 158,480,276 "," 157,262,893.00 "," 654,655,067.73 "," 621,922,314.40 "," 649,510,185.66 ",,,,,
93,Chester,TRUE,93,Chester, 787.83 ," 2,921,891.86 ", 45.06 ," 83,562.44 ", 132.14 ," 263,644.66 ", 3.81 ," 2,765.59 ", 19.07 ," 13,836.31 ", -   , -   ," 3,285,700.86 "," 1,275,137 ",5.72%, -   ," 282,654.85 "," 2,293,218.71 "," 532,325.00 "," 532,325.00 "," 2,670,185.30 "," 2,536,676.04 "," 2,825,543.71 ",,,,,
95,Chesterfield,TRUE,95,Chesterfield, 433.36 ," 1,607,236.53 ", 80.83 ," 149,896.77 ", 48.09 ," 95,947.45 ", 3.00 ," 2,176.89 ", 8.00 ," 5,805.04 ", -   , -   ," 1,861,062.68 "," 1,012,449 ",18.65%," 10,991.67 ", -   ," 859,605.35 "," 119,256.00 "," 119,256.00 "," 1,025,397.67 "," 974,127.79 "," 978,861.35 ",,,,,
99,Chichester,TRUE,99,Chichester, 316.41 ," 1,173,480.99 ", 53.85 ," 99,850.39 ", 51.00 ," 101,763.69 ", 2.96 ," 2,146.99 ", 3.00 ," 2,176.89 ", -   , -   ," 1,379,418.95 "," 602,553 ",17.02%," 6,682.03 ", -   ," 783,547.98 "," 115,615.00 "," 115,615.00 "," 920,454.88 "," 874,432.14 "," 899,162.98 ",,,,,
101,Claremont,TRUE,101,Claremont," 1,648.23 "," 6,112,913.93 ", 784.55 ," 1,454,846.60 ", 317.57 ," 633,614.85 ", 7.80 ," 5,661.66 ", 14.69 ," 10,657.11 ", -   , -   ," 8,217,694.15 "," 1,353,502 ",47.60%," 272,256.33 "," 2,504,002.36 "," 9,640,450.84 "," 6,282,807.00 "," 6,282,807.00 "," 16,288,576.55 "," 15,474,147.72 "," 15,923,257.84 ",,,,,
103,Clarksville,TRUE,103,Clarksville, 19.81 ," 73,457.58 ", 13.00 ," 24,106.94 ", 5.00 ," 9,976.05 ", -   , -   , -   , -   , -   , -   ," 107,540.57 "," 94,683 ",65.64%," 4,550.00 ", -   ," 17,407.57 "," 46,927.00 "," 46,927.00 "," 59,749.10 "," 56,761.65 "," 64,334.57 ",,,,,
105,Colebrook,TRUE,105,Colebrook, 243.03 ," 901,338.13 ", 124.33 ," 230,559.70 ", 46.19 ," 92,150.97 ", -   , -   , 5.00 ," 3,628.15 ", -   , -   ," 1,227,676.95 "," 304,240 ",51.16%," 43,516.38 "," 200,129.13 "," 1,167,082.46 "," 1,088,007.00 "," 1,088,007.00 "," 2,227,375.26 "," 2,116,006.50 "," 2,255,089.46 ",,,,,
107,Columbia,TRUE,107,Columbia, 60.23 ," 223,373.89 ", 26.02 ," 48,250.04 ", 12.10 ," 24,147.23 ", -   , -   , 1.00 , 725.63 , -   , -   ," 296,496.79 "," 128,653 ",43.20%," 8,194.79 ", -   ," 176,038.58 "," 199,764.00 "," 199,764.00 "," 387,444.08 "," 368,071.88 "," 375,802.58 ",,,,,
111,Concord,TRUE,111,Concord," 4,030.72 "," 14,949,050.01 "," 1,470.01 "," 2,725,953.44 ", 663.41 ," 1,323,649.65 ", 268.82 ," 195,063.93 ", 42.50 ," 30,837.17 ", -   , -   ," 19,224,554.20 "," 7,495,955 ",36.47%," 390,854.99 "," 14,202.24 "," 12,133,656.43 "," 1,794,128.00 "," 1,794,128.00 "," 15,086,154.15 "," 14,331,846.44 "," 14,331,846.44 ",,,,,
113,Conway,TRUE,113,Conway," 1,159.87 "," 4,301,719.72 ", 465.90 ," 863,955.09 ", 173.80 ," 346,773.68 ", 10.85 ," 7,871.13 ", 20.00 ," 14,512.60 ", 0.903 ," 3,349.03 "," 5,538,181.25 "," 3,313,297 ",40.17%," 136,443.06 ", -   ," 2,361,327.31 "," 793,690.00 "," 793,690.00 "," 3,236,795.51 "," 3,074,955.73 "," 3,155,017.31 ",,,,,
115,Cornish,TRUE,115,Cornish, 137.50 ," 509,959.10 ", 27.56 ," 51,112.65 ", 18.12 ," 36,151.21 ", -   , -   , 3.00 ," 2,176.89 ", -   , -   ," 599,399.85 "," 359,505 ",20.05%," 4,029.31 ", -   ," 243,924.16 "," 418,638.00 "," 418,638.00 "," 661,404.94 "," 628,334.69 "," 662,562.16 ",,,,,
117,Croydon,TRUE,117,Croydon, 83.11 ," 308,222.98 ", 23.81 ," 44,143.52 ", 15.50 ," 30,925.16 ", -   , -   , 2.00 ," 1,451.26 ", -   , -   ," 384,742.92 "," 178,848 ",28.64%," 4,970.62 ", -   ," 210,865.54 "," 190,872.00 "," 190,872.00 "," 378,092.36 "," 359,187.74 "," 401,737.54 ",,,,,
119,Dalton,TRUE,119,Dalton, 113.23 ," 419,937.74 ", 57.40 ," 106,445.86 ", 30.00 ," 59,856.30 ", -   , -   , 1.00 , 725.63 , -   , -   ," 586,965.53 "," 167,124 ",50.70%," 20,090.84 "," 66,300.85 "," 506,233.22 "," 329,178.00 "," 329,178.00 "," 795,607.00 "," 755,826.65 "," 835,411.22 ",,,,,
