,,,,"October 6, 2003",
,,,,"Replaces  July 7, 2003",
New Hampshire Department of Education,,,,,
FY04 ADEQUACY AID AND TARGETED AID,,,,,
,,,,,
,FY04,FY04,FY04,Statewide,FY04
FY04 Adequacy,Cost of an, Targeted ,Cost of an,Education,Adequate 
Base Cost,Adequate,Aid,Adequate,Property Tax,Education 
"$3,390 ",Education ,, Education  ,at $4.92,Grant &
 , ,,& Targeted Aid," Per $1,000  ", Targeted Aid 
Tamworth,"1,741,028 ","9,196 ","1,750,224 ","833,267 ","916,957 "
,,,,,
Temple,"963,580 ","3,937 ","967,517 ","423,691 ","543,826 "
Thornton,"1,341,029 ",0 ,"1,341,029 ","791,071 ","549,958 "
Tilton,"2,686,545 ",0 ,"2,686,545 ","1,398,747 ","1,287,798 "
Troy,"1,726,058 ","63,033 ","1,789,091 ","405,440 ","1,383,651 "
Tuftonboro,"1,269,102 ",0 ,"1,269,102 ","2,270,725 ",0 
,,,,,
Unity,"810,123 ","11,280 ","821,403 ","293,271 ","528,132 "
Wakefield,"3,783,309 ",0 ,"3,783,309 ","1,961,704 ","1,821,605 "
Walpole,"2,583,186 ","14,934 ","2,598,120 ","1,231,954 ","1,366,166 "
Warner,"1,910,772 ","24,649 ","1,935,421 ","832,724 ","1,102,697 "
Warren,"779,885 ","24,461 ","804,346 ","156,340 ","648,006 "
,,,,,
Washington,"577,426 ",0 ,"577,426 ","512,736 ","64,690 "
Waterville Valley,"157,635 ",0 ,"157,635 ","957,288 ",0 
Weare,"7,199,726 ","185,665 ","7,385,391 ","2,261,560 ","5,123,831 "
Webster,"1,068,354 ",0 ,"1,068,354 ","488,761 ","579,593 "
Wentworth,"785,223 ","17,088 ","802,311 ","201,627 ","600,684 "
,,,,,
Wentworth Loc. (2),"14,314 ",0 ,"14,314 ","27,393 ",0 
Westmoreland,"1,158,420 ","9,427 ","1,167,847 ","474,128 ","693,719 "
Whitefield,"1,693,284 ","36,628 ","1,729,912 ","443,697 ","1,286,215 "
Wilmot,"818,133 ","13,217 ","831,350 ","428,924 ","402,426 "
Wilton,"2,216,486 ",0 ,"2,216,486 ","1,298,402 ","918,084 "
,,,,,
Winchester,"3,771,834 ","127,334 ","3,899,168 ","736,964 ","3,162,204 "
Windham,"8,669,644 ",0 ,"8,669,644 ","6,161,475 ","2,508,169 "
Windsor,"107,654 ",0 ,"107,654 ","71,366 ","36,288 "
Wolfeboro,"4,037,445 ",0 ,"4,037,445 ","4,370,573 ",0 
Woodstock,"755,697 ",0 ,"755,697 ","741,339 ","14,358 "
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"(1) $71,824 in revenue from other Unincorporated Places without students is included in this amount.  ",,,,,
(2) 2001 equalized valuation w/o utilities adjusted per SB 77.  ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
