,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,FY2018 Grants,,,
,,,,,,,,,,,,New for March,New for March,,,,,,,,as of 3-20-18,,,
,,,,,,,,,,,,Calculation,Calculation,,,FY2018,,Stabilization,,, Adequacy Grants = Max of Preliminary Grant plus Stabiliation Grant @ 92% or 95% Preliminary Estimate of 11-15-16 ,,,
,,16-17 Membership,Base Adequacy Aid,F &R ,Free or Reduced Differentiated Aid, SPED,ELL,Special Education Differentiated Aid,ELL Differentiated Aid,Grade 3 Reading Below Proficient,Grade 3 Reading Differentiated Aid,Home School Academic ,Home School Academic Aid,Total Calculated Cost of an Adequate Education,SWEPT @,Preliminary        Grants = Cost of Adequacy            Less SWEPT,FY2012 Stabilization Grant  ,If Preliminary Grant > 0 and  ADM > 0 then FY12 Stabilization  @ ,"FY2018 First Estimate on 
11-15-16",Minimum First FY18 Estimate as of   11-15-16 X,,,,
,,ADM,"$3,636.06 ",ADM,"$1,818.02 ",ADM,ADM,"$1,956.09 ",$711.40 ,ADM,$711.40 ,ADM,"$3,636.06 ",$,$2.260 ,,,92%,,95%,,,,
153,East Kingston,377.37,"1,372,139.96 ",27.54,"50,068.27",59.94, 2.00 ," 117,248.03 ","1,422.80", 4.00 ," 2,845.60 ", -   , -   ," 1,543,724.66 "," 710,080 "," 833,644.66 ", -   , -   ," 828,484.58 "," 787,060.35 "," 833,644.66 ",,,
155,Easton,15.64,"56,867.98 ",0.00,0.00,0.00, -   , -   ,0.00, -   , -   , -   , -   ," 56,867.98 "," 138,870 ", -   , -   , -   , -   , -   , -   ,,,
159,Eaton,21.70,"78,902.50 ",4.50,"8,181.09",3.00, -   ," 5,868.27 ",0.00, 1.00 , 711.40 , -   , -   ," 93,663.26 "," 224,299 ", -   , -   , -   , -   , -   , -   ,,,
161,Effingham,161.24,"586,278.31 ",77.22,"140,387.50",32.88, 1.00 ," 64,316.24 ",711.40, 5.00 ," 3,557.00 ", -   , -   ," 795,250.45 "," 376,224 "," 419,026.45 "," 323,629.00 "," 297,738.68 "," 700,525.76 "," 665,499.47 "," 716,765.13 ",,,
162,Ellsworth,13.81,"50,213.99 ",4.61,"8,381.07",1.00, -   ," 1,956.09 ",0.00, -   , -   , -   , -   ," 60,551.15 "," 29,925 "," 30,626.15 ", -   , -   ," 5,664.60 "," 5,381.37 "," 30,626.15 ",,,
163,Enfield,429.22,"1,560,669.67 ",108.80,"197,800.58",99.03, -   ," 193,711.59 ",0.00, 4.00 ," 2,845.60 ", -   , -   ," 1,955,027.44 "," 1,313,266 "," 641,761.44 "," 58,733.00 "," 54,034.36 "," 545,986.36 "," 518,687.04 "," 695,795.80 ",,,
165,Epping,930.40,"3,382,990.22 ",217.10,"394,692.14",173.45, 8.23 ," 339,283.81 ","5,854.82", 15.70 ," 11,168.98 ", -   , -   ," 4,133,989.97 "," 1,621,443 "," 2,512,546.97 "," 866,394.00 "," 797,082.48 "," 3,363,294.21 "," 3,195,129.50 "," 3,309,629.45 ",,,
167,Epsom,590.09,"2,145,602.65 ",132.64,"241,142.17",79.27, -   ," 155,059.25 ",0.00, 9.00 ," 6,402.60 ", 0.15 , 545.41 ," 2,548,752.08 "," 935,001 "," 1,613,751.08 "," 955,543.00 "," 879,099.56 "," 2,447,821.52 "," 2,325,430.44 "," 2,492,850.64 ",,,
171,Errol,14.64,"53,231.92 ",1.14,"2,072.54",1.00, -   ," 1,956.09 ",0.00, 1.00 , 711.40 , -   , -   ," 57,971.95 "," 162,845 ", -   ," 14,426.00 ", -   , -   , -   , -   ,,,
173,Exeter,2091.00,"7,603,001.46 ",326.01,"592,692.70",308.78, 24.25 ," 604,001.47 ","17,251.45", 27.47 ," 19,542.16 ", -   , -   ," 8,836,489.24 "," 3,980,086 "," 4,856,403.24 ", -   , -   ," 4,855,352.89 "," 4,612,585.25 "," 4,856,403.24 ",,,
