,,,A, B ,C,D,E,F,G, H , I ,J,K,L,M,M,N,O,P,Q,O,P,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD
,,,"District
Public School
Adequacy

SFY 2022",,Cost of an Opportunity for an Adequate Education,,,,,,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",Stabilization Aid,,Hold Harmless Level,Preliminary & Final Grant,
,,,,,Base Adequacy,,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,Receiving Special Education Services (SPED),,,,English Language Learners (ELL),,,,3rd Grader With A Nonproficient Reading Score,,,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2022, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2020 Grant Estimate ,"   
   Final Grant:


(1) Preliminary Grant

(2) Plus SWEPT"
,From EOY Data Excl Charter And OOS,,,, 2019-2020 Membership , 2020-2021 Membership ,"  Base Adequacy Membership
89,Charlestown,TRUE,89,Charlestown,614.34,618.03,618.03,"2,340,285.01",294.38,274.59,294.38,"557,356.11",136.44,145.13,145.13,"295,652.70",1.49,1,1.49,"1,104.93",11.77,12.57,12.57,"9,314.37","3,203,713.12","557,763",47.63%,"175,266.67","156,056.86","2,802,006.98","2,520,022.00","2,520,022.00","4,753,763.33","5,322,028.98","5,879,791.98"
91,Chatham,TRUE,91,Chatham,50.99,43.17,50.99,"193,099.21",9.68,5.17,9.68,"18,323.17",8,7.17,8,"16,296.88", -   , -   , -   , -   , -   , -   , -   , -   ,"227,719.26","108,921",18.98%,"2,296.06","2,044.40","120,842.66", -   , -   ,"72,411.85","120,842.66","229,763.66"
93,Chester,TRUE,93,Chester,787.83,747.89,787.83,"2,983,248.13",45.06,35.58,45.06,"85,317.16",132.14,137.6,137.6,"280,316.32",3.81,5,5,"3,704.35",20.5,15.54,20.5,"15,185.76","3,367,771.72","1,327,985",5.72%, -   , -   ,"2,039,786.72","532,325.00","532,325.00","2,293,947.72","2,572,111.72","3,900,096.72"
95,Chesterfield,TRUE,95,Chesterfield,433.36,388.32,433.36,"1,640,986.60",80.83,68.22,80.83,"153,044.44",48.09,46.16,48.09,"97,962.38",3,4.99,4.99,"3,700.20",8.78,6.02,8.78,"6,503.21","1,902,196.83","1,100,265",18.65%,"18,844.40","16,778.99","818,710.82","119,256.00","119,256.00","646,161.63","937,966.82","2,038,231.82"
99,Chichester,TRUE,99,Chichester,316.41,285.62,316.41,"1,198,122.70",53.85,40.91,53.85,"101,947.14",51,53.78,53.78,"109,557.81",2.96,3,3,"2,222.61",3,7.14,7.14,"5,293.07","1,417,143.33","615,152",17.02%,"11,455.67","10,200.09","812,191.42","115,615.00","115,615.00","752,557.79","927,806.42","1,542,958.42"
101,Claremont,TRUE,101,Claremont,"1,648.23","1,578.37","1,648.23","6,241,277.90",784.55,799.48,799.48,"1,513,679.05",317.57,334.73,334.73,"681,883.26",7.8,4.54,7.8,"5,780.56",14.22,23.17,23.17,"17,165.66","8,459,786.43","1,359,614",48.51%,"479,690.40","427,114.73","7,527,287.16","6,282,807.00","6,282,807.00","12,340,545.43","13,810,094.16","15,169,708.16"
103,Clarksville,TRUE,103,Clarksville,19.81,24.36,24.36,"92,241.90",13,13.36,13.36,"25,294.19",5,5,5,"10,185.55", -   , -   , -   , -   , -   , -   , -   , -   ,"127,721.64","95,947",54.84%,"8,015.82","7,137.26","38,911.90","46,927.00","46,927.00","72,825.62","85,838.90","181,785.90"
105,Colebrook,TRUE,105,Colebrook,243.03,217.09,243.03,"920,265.16",124.33,81.47,124.33,"235,401.21",46.19,37.84,46.19,"94,086.17", -   , -   , -   , -   ,5,1,5,"3,704.35","1,253,456.89","319,560",51.16%,"74,599.50","66,423.15","1,000,320.04","1,088,007.00","1,088,007.00","1,741,052.69","2,088,327.04","2,407,887.04"
107,Columbia,TRUE,107,Columbia,60.23,53.87,60.23,"228,064.47",26.02,22.23,26.02,"49,263.24",12.1,13,13,"26,482.43", -   , -   , -   , -   ,1,1,1,740.87,"304,551.01","142,324",43.20%,"14,050.53","12,510.54","174,737.55","199,764.00","199,764.00","317,735.60","374,501.55","516,825.55"
111,Concord,TRUE,111,Concord,"4,030.72","3,819.22","4,030.72","15,262,962.41","1,470.01","1,458.70","1,470.01","2,783,195.55",663.41,683.78,683.78,"1,392,935.69",268.82,227.91,268.82,"199,160.75",43.93,63.9,63.9,"47,342.70","19,685,597.10","7,308,384",36.47%,"670,139.90","596,690.33","12,973,903.43","1,794,128.00","1,794,128.00","12,569,367.41","14,768,031.43","22,076,415.43"
