,,,A, B ,C,D,E,F,G, H , I ,J,K,L,M,M,N,O,P,Q,O,P,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD
,,,"District
Public School
Adequacy

SFY 2022",,Cost of an Opportunity for an Adequate Education,,,,,,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",Stabilization Aid,,Hold Harmless Level,Preliminary & Final Grant,
,,,,,Base Adequacy,,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,Receiving Special Education Services (SPED),,,,English Language Learners (ELL),,,,3rd Grader With A Nonproficient Reading Score,,,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2022, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2020 Grant Estimate ,"   
   Final Grant:


(1) Preliminary Grant

(2) Plus SWEPT"
,From EOY Data Excl Charter And OOS,,,, 2019-2020 Membership , 2020-2021 Membership ,"  Base Adequacy Membership
511,Stratham,TRUE,511,Stratham,"1,231.33","1,127.33","1,231.33","4,662,616.32",45.41,21.83,45.41,"85,977.74",157.82,153.69,157.82,"321,500.98",10.38,11.24,11.24,"8,324.12",10.34,21.92,21.92,"16,239.57","5,094,658.73","2,829,553",3.69%, -   , -   ,"2,265,105.73", -   , -   ,"1,737,737.37","2,265,105.73","5,094,658.73"
512,Sugar Hill,TRUE,512,Sugar Hill,62.62,55.65,62.62,"237,106.26",16.69,7,16.69,"31,599.13",7,11,11,"22,408.21",2, -   ,2,"1,481.74",1,1,1,740.87,"293,336.21","302,615",26.65%, -   , -   , -   , -   , -   ,0, -   ,"302,615.00"
513,Sullivan,TRUE,513,Sullivan,78.26,73.33,78.26,"296,348.56",32.59,20.94,32.59,"61,712.01",10.76,9.62,10.76,"21,921.75", -   , -   , -   , -   ,1, -   ,1,740.87,"380,723.19","111,072",41.65%,"16,969.56","15,109.64","284,760.83","398,234.00","398,234.00","589,565.87","682,994.83","794,066.83"
514,Success,TRUE,514,Success,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"26,594",0.00%, -   , -   , -   , -   , -   ,0, -   ,"26,594.00"
515,Sunapee,TRUE,515,Sunapee,375.35,360.76,375.35,"1,421,312.61",76.57,94.24,94.24,"178,430.83",47.56,53.49,53.49,"108,960.74", -   , -   , -   , -   ,3,4,4,"2,963.48","1,711,667.66","2,688,500",25.11%, -   , -   , -   ,"18,441.00", -   ,0, -   ,"2,688,500.00"
519,Surry,TRUE,519,Surry,118.93,108.71,118.93,"450,333.08",22.34,12.52,22.34,"42,302.07",13,12,13,"26,482.43",1,1,1,740.87,2,1,2,"1,481.74","521,340.19","159,820",18.79%,"5,247.77","4,672.60","366,192.79","68,004.00","68,004.00","355,787.54","434,196.79","594,016.79"
521,Sutton,TRUE,521,Sutton,260.27,252.8,260.27,"985,541.12",62.04,40.59,62.04,"117,468.96",33.8,33.97,33.97,"69,191.87",1,1,1,740.87,7.62,7.61,7.62,"5,647.06","1,178,589.88","588,357",23.84%,"18,489.08","16,462.62","606,695.50", -   , -   ,"497,944.18","606,695.50","1,195,052.50"
523,Swanzey,TRUE,523,Swanzey,813.37,813.96,813.96,"3,082,170.84",316.67,231.07,316.67,"599,555.37",147.76,145.9,147.76,"300,997.06",9.95,10.66,10.66,"7,899.75",14,23.77,23.77,"17,612.18","4,008,235.20","1,133,953",38.90%,"153,980.20","137,103.46","3,011,385.66","2,769,932.00","2,769,932.00","5,156,699.86","5,781,317.66","6,915,270.66"
525,Tamworth,TRUE,525,Tamworth,290.95,277.83,290.95,"1,101,712.44",146.86,125.39,146.86,"278,050.51",60.98,63.32,63.32,"128,980.03", -   ,0.87,0.87,646.85,7,2.47,7,"5,186.09","1,514,575.92","709,095",50.48%,"88,115.22","78,457.50","883,938.42","111,214.00","111,214.00","752,343.78","995,152.42","1,704,247.42"
527,Temple,TRUE,527,Temple,140.16,123.21,140.16,"530,725.77",19.8,24.44,24.44,"46,268.01",22,20,22,"44,816.42", -   , -   , -   , -   ,2,3.48,3.48,"2,580.45","624,390.65","291,251",17.44%,"5,327.38","4,743.48","337,883.13","84,695.00","84,695.00","334,760.96","422,578.13","713,829.13"
531,Thornton,TRUE,531,Thornton,307.21,295.73,307.21,"1,163,317.24",98.95,88.57,98.95,"187,342.12",33.83,39.58,39.58,"80,637.17", -   , -   , -   , -   ,4.47,8,8,"5,926.96","1,437,223.49","762,463",32.21%,"39,839.34","35,472.82","710,233.31","153,102.00","153,102.00","706,252.59","863,335.31","1,625,798.31"
532,Tilton,TRUE,532,Tilton,437.4,392.06,437.4,"1,656,276.37",174.82,162.12,174.82,"330,994.75",88.76,79.3,88.76,"180,817.75",5.15,2.38,5.15,"3,816.37",1,2,2,"1,481.74","2,173,386.98","1,090,282",39.97%,"87,345.64","77,772.27","1,160,877.25","566,664.00","566,664.00","1,344,140.17","1,727,541.25","2,817,823.25"
535,Troy,TRUE,535,Troy,311.38,300.46,311.38,"1,179,072.01",131.34,109.55,131.34,"248,677.74",60.97,61.85,61.85,"125,994.64",1,1,1,740.87,8,4.29,8,"5,926.96","1,560,412.22","241,228",42.18%,"69,251.55","61,661.35","1,380,845.57","1,085,559.00","1,085,559.00","2,181,265.91","2,466,404.57","2,707,632.57"
537,Tuftonboro,TRUE,537,Tuftonboro,247.55,230.58,247.55,"937,384.28",84.38,72.17,84.38,"159,758.53",38.08,41.19,41.19,"83,909.78", -   , -   , -   , -   ,3.59,2,3.59,"2,657.20","1,183,709.79","2,166,667",34.09%, -   , -   , -   ,"201,448.00", -   ,0, -   ,"2,166,667.00"
539,Unity,TRUE,539,Unity,135.33,121.97,135.33,"512,453.24",48.19,42.62,48.19,"91,244.39",26.68,22.74,26.68,"54,353.76", -   , -   , -   , -   ,2, -   ,2,"1,481.74","659,533.13","236,416",35.61%,"21,451.82","19,100.63","442,217.76","426,902.00","426,902.00","742,448.86","869,119.76","1,105,535.76"
543,Wakefield,TRUE,543,Wakefield,644.56,634.18,644.56,"2,440,714.04",267.57,236.92,267.57,"506,598.66",113.39,115.9,115.9,"236,100.85", -   ,0.89,0.89,661,9,11.93,11.93,"8,838.13","3,192,912.68","2,183,973",41.51%,"138,836.21","123,619.30","1,132,558.98","644,897.00","644,897.00","1,438,076.16","1,777,455.98","3,961,428.98"
545,Walpole,TRUE,545,Walpole,397.73,397.15,397.73,"1,506,078.88",117.85,121.94,121.94,"230,868.79",48.95,55.22,55.22,"112,482.49",4.91,5.07,5.07,"3,755.69",3,5.87,5.87,"4,350.54","1,857,536.39","797,039",30.66%,"46,732.97","41,610.88","1,102,108.27","386,221.00","386,221.00","1,337,947.52","1,488,329.27","2,285,368.27"
547,Warner,TRUE,547,Warner,341.81,346.02,346.02,"1,310,261.61",78.89,70.52,78.89,"149,356.82",46.35,51.52,51.52,"104,958.43", -   ,1.22,1.22,905.49,4,8,8,"5,926.96","1,571,409.31","570,787",22.80%,"22,482.57","20,018.41","1,020,640.72","228,711.00","228,711.00","1,093,956.45","1,249,351.72","1,820,138.72"
549,Warren,TRUE,549,Warren,95.84,83.74,95.84,"362,916.90",43.22,38.65,43.22,"81,825.31",16.25,16.68,16.68,"33,971.25", -   , -   , -   , -   ,1,1,1,740.87,"479,454.33","134,031",45.09%,"24,358.69","21,688.90","367,112.23","421,988.00","421,988.00","665,436.89","789,100.23","923,131.23"
551,Washington,TRUE,551,Washington,116.89,115.08,116.89,"442,621.17",44.98,33.99,44.98,"85,152.82",11.25,11.8,11.8,"24,034.03", -   , -   , -   , -   , -   ,5,5,"3,704.35","555,512.37","491,542",38.48%,"21,633.17","19,262.10","83,232.47", -   , -   ,0,"83,232.47","574,774.47"
553,Waterville Valley,TRUE,553,Waterville Valley,20.28,64.05,64.05,"242,552.61",1,1,1,"1,893.32",6,14.67,14.67,"29,877.68", -   ,3,3,"2,222.68", -   ,1,1,740.87,"277,287.16","602,993",1.56%, -   , -   , -   , -   , -   ,0, -   ,"602,993.00"
555,Weare,TRUE,555,Weare,"1,363.04","1,294.70","1,363.04","5,161,359.58",216.48,109.78,216.48,"409,860.61",222.03,239.14,239.14,"487,164.06",8.5,6.01,8.5,"6,297.40",29.8,12,29.8,"22,081.26","6,086,762.91","1,790,610",15.88%,"42,970.72","38,260.99","4,334,413.90","3,125,899.00","3,125,899.00","6,487,286.68","7,460,312.90","9,250,922.90"
557,Webster,TRUE,557,Webster,225.77,210.14,225.77,"854,903.25",48.31,32.66,48.31,"91,467.61",47.34,50.13,50.13,"102,112.79", -   , -   , -   , -   ,5,5,5,"3,704.35","1,052,188.00","419,660",21.40%,"12,923.11","11,506.69","644,034.69","12,839.00","12,839.00","501,411.36","656,873.69","1,076,533.69"
559,Wentworth,TRUE,559,Wentworth,94.58,96.11,96.11,"363,946.87",34.97,40.77,40.77,"77,187.82",16.99,22.53,22.53,"45,888.35",1,1,1,740.87,1,3,3,"2,222.61","489,986.52","188,079",42.42%,"21,617.50","19,248.15","321,155.67","297,453.00","297,453.00","568,882.68","618,608.67","806,687.67"
561,Wentworth's Location,TRUE,561,Wentworth's Location,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"15,813",0.00%, -   , -   , -   , -   , -   ,0, -   ,"15,813.00"
563,Westmoreland,TRUE,563,Westmoreland,201.83,168.38,201.83,"764,260.45",31.94,25.88,31.94,"60,473.78",36.89,31.48,36.89,"75,146.95",3.26,0.43,3.26,"2,411.98",2,2,2,"1,481.74","903,774.90","337,126",15.83%,"6,320.25","5,627.53","572,276.43","242,579.00","242,579.00","641,511.13","814,855.43","1,151,981.43"
567,Whitefield,TRUE,567,Whitefield,260.32,256.8,260.32,"985,758.86",146.66,124.49,146.66,"277,683.02",60.46,61.04,61.04,"124,340.31", -   ,2.71,2.71,"2,008.57",6,3,6,"4,445.22","1,394,235.98","397,276",56.34%,"87,998.76","78,353.80","1,075,313.78","838,190.00","838,190.00","1,680,472.07","1,913,503.78","2,310,779.78"
569,Wilmot,TRUE,569,Wilmot,158.22,152.23,158.22,"599,140.11",17.89,10.97,17.89,"33,874.33",13.46,14.79,14.79,"30,122.75", -   , -   , -   , -   ,3,2.16,3,"2,222.61","665,359.80","388,920",11.31%, -   , -   ,"276,439.80","81,042.00","81,042.00","318,148.81","357,481.80","746,401.80"
571,Wilton,TRUE,571,Wilton,414.23,442.38,442.38,"1,675,157.80",120.01,124.13,124.13,"235,013.08",82.9,85.81,85.81,"174,812.35", -   , -   , -   , -   ,6,8,8,"5,926.96","2,090,910.19","844,092",28.06%,"43,537.72","38,765.84","1,285,584.03","67,411.00","67,411.00","1,229,793.32","1,352,995.03","2,197,087.03"
573,Winchester,TRUE,573,Winchester,522.92,485.85,522.92,"1,980,118.35",284.59,242.56,284.59,"538,826.75",135.54,130.22,135.54,"276,114.17",2.73,2,2.73,"2,025.09",5.39,7.71,7.71,"5,712.26","2,802,796.62","504,737",54.42%,"170,756.16","152,040.71","2,450,100.33","1,854,823.00","1,854,823.00","3,768,840.92","4,304,923.33","4,809,660.33"
575,Windham,TRUE,575,Windham,"2,960.51","2,935.89","2,960.51","11,210,436.84",71.86,72.49,72.49,"137,248.09",469.15,471.95,471.95,"961,423.84",58.84,70.25,70.25,"52,047.82",47.58,39.98,47.58,"35,253.04","12,396,409.63","5,637,667",2.45%, -   , -   ,"6,758,742.63", -   , -   ,"6,280,078.39","6,758,742.63","12,396,409.63"
579,Windsor,TRUE,579,Windsor,15,11.05,15,"56,799.90",8,3,8,"15,146.56",1, -   ,1,"2,037.11", -   , -   , -   , -   , -   ,1,1,740.87,"74,724.44","47,545",53.33%,"4,800.00","4,273.90","31,453.34","65,534.00","65,534.00","73,257.87","96,987.34","144,532.34"
583,Wolfeboro,TRUE,583,Wolfeboro,700.74,633.71,700.74,"2,653,470.94",201,152.15,201,"380,553.15",67.34,71.25,71.25,"145,149.38", -   ,2,2,"1,481.74",11,6.22,11,"8,149.57","3,188,804.78","4,244,568",28.68%, -   , -   , -   ,"129,926.00", -   ,0, -   ,"4,244,568.00"
585,Woodstock,TRUE,585,Woodstock,147.07,145.08,147.07,"556,895.00",66.1,50.89,66.1,"125,147.51",23.57,26.92,26.92,"54,846.74", -   , -   , -   , -   , -   ,2,2,"1,481.74","738,370.99","543,448",44.94%,"37,131.39","33,061.67","227,984.66","103,906.00","103,906.00","246,437.43","331,890.66","875,338.66"
417,#REF!,#REF!,417,Orford,119.76,120.76,120.76,"457,276.68",27,46.33,46.33,"87,723.76",18.53,24.46,24.46,"49,829.95", -   , -   , -   , -   , -   , -   , -   , -   ,"594,830.39","287,502",38.37%,"22,222.61","19,786.94","327,115.33","54,251.00","54,251.00","323,696.71","381,366.33","668,868.33"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,a,ATK. & GILMANTON ACAD.,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   ,"1,652",,,, -   ,61, -   ,,,"1,652.00"
,,,b,BEAN'S GRANT,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   , -   ,,,, -   , -   , -   ,,, -   
,,,c,BEAN'S PURCHASE,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   , -   ,,,, -   ,7, -   ,,, -   
,,,d,CHANDLER'S PURCHASE,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   ,78,,,, -   , -   , -   ,,,78
,,,e,CRAWFORD'S PURCH.,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   ,485,,,, -   ,236, -   ,,,485
,,,f,CUTT'S GRANT,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   , -   ,,,, -   , -   , -   ,,, -   
,,,g,ERVING'S GRANT,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   ,96,,,, -   , -   , -   ,,,96
,,,h,GREEN'S GRANT,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   ,"16,572",,,, -   ,"1,283.00", -   ,,,"16,572.00"
,,,i,HADLEY'S PURCH.,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   , -   ,,,, -   , -   , -   ,,, -   
,,,j,KILKENNY,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   , -   ,,,, -   , -   , -   ,,, -   
,,,k,LIVERMORE,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   ,249,,,, -   , -   , -   ,,,249
,,,l,LOW & BURBANK GR.,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   , -   ,,,, -   , -   , -   ,,, -   
,,,m,SARGENT'S PURCHASE,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   ,"3,984",,,, -   ,"1,605.00", -   ,,,"3,984.00"
,,,n,SECOND COLLEGE GR.,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   ,"2,796",,,, -   , -   , -   ,,,"2,796.00"
,,,o,THOM. & MES. PURCH.,,,, -   ,,0,, -   ,,0,, -   ,,0,, -   ,, -   ,, -   , -   ,"11,988",,,, -   ,"1,639.00", -   ,,,"11,988.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,
