,,,,,,State-Wide,,Prelim Grant,Hold Harm-,FY11
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Calculated,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,Grant =,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.19,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
Merrimack,"9,373,309","6,999,077","16,372,386","17,159,506",0,"6,714,124","10,445,382","10,445,382",0,"10,445,382 "
Middleton,"1,249,270","420,464","1,669,734","1,664,460",0,"388,501","1,275,959","1,275,959","5,274","1,281,233 "
Milan,"1,005,002","254,034","1,259,036","1,132,612","253,988","246,896","1,139,704","1,139,704",0,"1,139,704 "
Milford,"8,178,872","3,340,369","11,519,241","10,923,602",0,"3,273,728","7,649,874","7,649,874","595,639","8,245,513 "
Millsfield,0,"14,601","14,601","18,242",0,"15,869","2,373",0,0,0 
Milton,"2,793,828","1,017,312","3,811,140","3,972,339",0,"964,534","3,007,805","3,007,805",0,"3,007,805 "
Monroe,"235,618","178,992","414,610","467,952",0,"197,245","270,707","270,707",0,"270,707 "
Mont Vernon,"1,506,979","619,794","2,126,773","1,870,710",0,"611,913","1,258,797","1,258,797","256,063","1,514,860 "
Moultonborough,0,"6,259,709","6,259,709","2,890,979",0,"6,496,384",0,0,0,0 
Nashua,"31,303,454","20,615,416","51,918,870","66,347,211",0,"19,531,639","46,815,572","35,998,972",0,"35,998,972 "
Nelson,"181,466","260,489","441,955","593,423",0,"260,808","332,615","208,686",0,"208,686 "
New Boston,"2,196,324","1,301,855","3,498,179","3,363,351",0,"1,279,963","2,083,388","2,083,388","134,828","2,218,216 "
New Castle,0,"1,244,927","1,244,927","364,514",0,"1,545,648",0,0,0,0 
New Durham,"575,082","1,019,060","1,594,142","2,041,868",0,"981,815","1,060,053","661,344",0,"661,344 "
New Hampton,"682,509","596,941","1,279,450","1,651,711",0,"663,557","988,154","784,885",0,"784,885 "
New Ipswich,"3,155,886","910,799","4,066,685","3,572,446",0,"935,566","2,636,880","2,636,880","494,239","3,131,119 "
New London,0,"2,597,855","2,597,855","1,669,453",0,"2,663,720",0,0,0,0 
Newbury,0,"1,616,566","1,616,566","1,123,835",0,"1,612,310",0,0,"4,256","4,256 "
Newfields,"592,501","564,088","1,156,589","1,356,914",0,"563,307","793,607","681,376",0,"681,376 "
Newington,0,"1,075,255","1,075,255","430,823",0,"1,258,214",0,0,0,0 
Newmarket,"1,982,685","1,796,377","3,779,062","4,825,253",0,"1,690,443","3,134,810","2,280,088",0,"2,280,088 "
Newport,"6,358,770","1,022,418","7,381,188","6,003,341","1,984,660","1,056,662","6,931,339","6,931,339",0,"6,931,339 "
Newton,"1,963,438","1,065,759","3,029,197","2,915,601",0,"1,005,679","1,909,922","1,909,922","113,596","2,023,518 "
North Hampton,0,"2,550,897","2,550,897","2,430,020",0,"2,315,976","114,044",0,"234,921","234,921 "
Northfield,"4,048,026","787,529","4,835,555","4,013,308","1,640,280","776,674","4,876,914","4,655,230",0,"4,655,230 "
Northumberland,"2,366,872","288,634","2,655,506","2,146,967","773,820","254,723","2,666,064","2,666,064",0,"2,666,064 "
Northwood,"2,261,596","1,202,462","3,464,058","3,043,265",0,"1,090,649","1,952,616","1,952,616","420,793","2,373,409 "
Nottingham,"1,015,413","1,333,300","2,348,713","3,196,845",0,"1,307,958","1,888,887","1,167,725",0,"1,167,725 "
Odell,0,"5,305","5,305",0,0,"6,414",0,0,0,0 
Orange,"217,072","59,386","276,458","262,670","111,280","70,486","303,464","249,633",0,"249,633 "
