 ,,,,,, ,, , ,,,,,,,,"Oct. 6, 2003",
,,,,,,,,,,,,,,, Includes home school.  Replaces 7/7/03.,,,
 ,NH Department of Education,,,,,,,,,,,,,,,,,
,"Division of Program Support, Bureau of Informaton Services",,,,,,,,,,,,,,,,,
,"101 Pleasant St., Concord NH 03301",,,,,,,,,,,,,,,,,
,603-271-2778,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,FY04 Adequacy Aid and Targeted Aid,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,00-01,00-01,00-01,,,Poverty Wt. =,Poverty  ,,Total Wt.  ,FY01,If Tuition,FY04,Reduced to Amt. Spent,FY04,FY04,Statewide,FY04,
FY04 Adequacy,Adj. ELEM,High,Partic-,,Elem,(Loc F/R% less,Wt.  X,Total, ADM-R,Reg. Elem,All,Cost of an,, Targeted ,Cost of an,Education,Adequate ,
Base Cost,ADM-R,,ipating,00-01,F/R,85% of St Ave),Elem ADM,Weighted,times Base,To/From Sch,FY01,Adequate,,Aid,Adequate,Propert Tax,Education ,
"$3,390 ",,Weight of,Home,Spec Ed,Rate,X 5 times Loc%,Max = Elem,ADM-R,Cost of ,Transport,Spent,Education ,,, Education  ,at $4.92,Grant &,
 ,,1.2,School,ADM-R,Oct. '00,Max = Loc %,F/R ADM,w/o home,"$3,390 ",at 100%," 198:41,II", ,,,& Targeted Aid," Per $1,000  ", Targeted Aid ,
Colebrook,227.5,144.1,0.0,36.9,31.88%,26.21%,59.6,468.1,"1,586,859","55,452",,"1,642,311",,"55,012","1,697,323","384,106","1,313,217",
Columbia,75.7,39.0,0.0,10.4,37.25%,37.25%,28.2,153.3,"519,687","19,923","785,849","539,610",,0,"539,610","153,140","386,470",
Concord,"3,637.0","2,018.9",2.1,681.2,23.06%,8.79%,319.5,"6,658.7","22,572,993","601,344",,"23,174,337",,"222,582","23,396,919","11,064,202","12,332,717",
Conway,982.7,483.5,0.3,149.7,37.05%,37.05%,364.1,"1,980.3","6,713,217","174,679",,"6,887,896",,0,"6,887,896","4,180,088","2,707,808",
Cornish,179.9,113.2,0.4,49.4,11.65%,0.00%,0.0,342.9,"1,162,431","60,255",,"1,222,686",,"10,994","1,233,680","425,548","808,132",
Croydon,61.3,35.0,0.0,12.6,15.71%,0.21%,0.1,109.0,"369,510","8,865",,"378,375",,0,"378,375","194,472","183,903",
Dalton,109.3,49.6,0.2,27.6,29.54%,20.83%,22.8,209.5,"710,205","31,632",,"741,837",,"11,132","752,969","218,142","534,827",
Danbury,116.3,64.1,0.0,19.1,26.98%,15.57%,18.1,217.6,"737,664","61,702",,"799,366",,"4,329","803,695","313,521","490,174",
Danville,558.3,224.8,0.0,112.9,5.20%,0.00%,0.0,896.0,"3,037,440","68,019",,"3,105,459",,"93,895","3,199,354","1,266,749","1,932,605",
Deerfield,540.1,223.1,0.1,121.1,9.76%,0.00%,0.0,884.4,"2,998,116","226,497",,"3,224,613",,"25,076","3,249,689","1,370,651","1,879,038",
Deering,199.0,93.5,0.1,45.2,33.43%,30.07%,59.8,397.6,"1,347,864","44,500",,"1,392,364",,"16,762","1,409,126","447,218","961,908",
Derry,"4,663.0","2,466.8",0.2,948.8,17.00%,1.33%,61.8,"8,140.6","27,596,634","935,683",,"28,532,317",,"944,700","29,477,017","9,540,992","19,936,025",
Dix Grant,0.0,0.0,0.0,0.0,39.60%,39.60%,0.0,0.0,0,0,,0,,0,0,"3,979",0,
Dixville,0.0,1.2,0.0,0.0,39.60%,39.60%,0.0,1.2,"4,068",0,0,0,R,0,0,"84,941",0,
Dorchester,47.9,23.3,0.0,11.3,21.80%,6.93%,3.3,85.8,"290,862","10,867",,"301,729",,"6,288","308,017","93,340","214,677",
Dover,"2,234.4","1,197.2",0.4,384.0,25.18%,12.26%,274.0,"4,090.0","13,865,100","426,443",,"14,291,543",,"4,360","14,295,903","8,716,438","5,579,465",
Dublin,123.0,45.5,0.0,8.2,17.64%,1.94%,2.4,179.1,"607,149","83,411",,"690,560",,0,"690,560","901,934",0,
Dummer,37.6,24.0,0.0,4.4,27.70%,16.98%,6.4,72.4,"245,436","28,957","351,798","274,393",,0,"274,393","160,978","113,415",
Dunbarton,260.5,97.9,0.0,44.4,6.54%,0.00%,0.0,402.8,"1,365,492","114,911",,"1,480,403",,0,"1,480,403","822,888","657,515",
Durham,720.5,366.4,0.0,139.3,6.94%,0.00%,0.0,"1,226.2","4,156,818","339,224",,"4,496,042",,"54,421","4,550,463","2,942,123","1,608,340",
East Kingston,252.7,104.9,0.0,49.1,6.57%,0.00%,0.0,406.7,"1,378,713","56,373",,"1,435,086",,"1,467","1,436,553","805,397","631,156",
