"July 13, 2006",NH Department of Education,,,,
,Information Services,,,,
"Per HB100, Excess to ",FY07 Equitable Education Grants,,,,
Remit columns removed.,and Statewide Enhanced Education Tax Assessment,,,,
,,,,,
,A,B,C,D,
FY07,,FY06/FY07,for FY07,FY07,
,,Formula plus,State Tax,Statewide,
,FY03,Transition,Calculation,Enhanced,
,ADM-R,Grants,4/1/04,Education,
,,,Equalized,Tax @,
,K <= 0.5,(See FY06 for,Valuations,$2.515 ,
,,calculations),without Utilities,"per $1,000",
Portsmouth,"2,128.1",,"3,403,767,592","8,560,475",
Randolph,41.3,"13,993","43,844,286","110,268",
Raymond,"1,611.1","5,372,894","801,122,330","2,014,823",
Richmond,208.5,"818,276","91,556,244","230,264",
Rindge,766.8,"1,173,904","546,006,192","1,373,206",
Rochester,"4,293.7","17,565,380","2,072,811,849","5,213,122",
Rollinsford,327.2,"446,426","259,406,164","652,407",
Roxbury,28.6,"48,521","21,182,442","53,274",
Rumney,230.5,"753,224","135,925,046","341,851",
Rye,688.7,,"1,671,336,448","4,203,411",
Salem,"4,586.7","4,403,580","4,145,370,113","10,425,606",
Salisbury,196.8,"483,075","109,546,552","275,510",
Sanbornton,393.5,"526,203","395,439,046","994,529",
Sandown,"1,124.4","3,678,995","521,149,472","1,310,691",
Sandwich,156.7,,"401,093,555","1,008,750",
Seabrook,"1,090.3","1,080,675","1,263,551,554","3,177,832",
Sharon,49.4,"49,037","50,065,487","125,915",
Shelburne,67.2,"99,592","40,274,202","101,290",
Somersworth,"1,629.1","5,863,670","852,567,595","2,144,208",
South Hampton,131.8,"94,373","129,621,518","325,998",
Springfield,206.1,"372,486","151,597,899","381,269",
Stark,84.3,"335,437","48,521,938","122,033",
Stewartstown,134.2,"530,404","57,076,100","143,546",
Stoddard,106.0,,"210,912,554","530,445",
Strafford,790.9,"2,163,026","419,198,915","1,054,285",
Stratford,128.7,"779,126","31,977,741","80,424",
Stratham,"1,257.3","1,217,382","1,074,107,560","2,701,381",
Success,,,"6,205,531","15,607",
Sugar Hill,67.2,,"123,556,711","310,745",
Sullivan,104.2,"452,477","43,816,784","110,199",
Sunapee,506.0,,"908,159,489","2,284,021",
Surry,89.4,"104,334","62,759,334","157,840",
Sutton,266.9,"314,542","241,216,802","606,660",
Swanzey,"1,183.5","4,802,767","471,925,149","1,186,892",
Tamworth,355.9,"517,136","322,354,019","810,720",
Temple,231.5,"498,343","137,792,034","346,547",
Thornton,284.8,"416,435","296,282,533","745,151",
Tilton,508.9,"896,159","464,834,620","1,169,059",
Troy,363.6,"1,887,035","111,455,741","280,311",
Tuftonboro,291.8,,"907,083,106","2,281,314",
Unity,202.8,"813,021","97,328,338","244,781",
Wakefield,733.6,"1,199,324","833,707,873","2,096,775",
Walpole,565.2,"1,154,725","375,156,043","943,517",
Warner,398.7,"951,952","249,103,471","626,495",
Warren,144.2,"673,679","55,999,156","140,838",
Washington,137.0,"78,225","205,163,015","515,985",
Waterville Valley,32.5,,"313,326,001","788,015",
Weare,"1,732.1","6,284,961","722,328,887","1,816,657",
Webster,242.0,"400,575","181,042,174","455,321",
Wentworth,153.3,"604,903","75,023,558","188,684",
Wentworth Location,3.5,,"6,798,707","17,099",
Westmoreland,250.4,"601,430","163,407,493","410,970",
Whitefield,348.5,"1,454,810","159,561,442","401,297",
Wilmot,208.5,"354,029","157,645,626","396,479",
Wilton,539.2,"722,444","384,526,320","967,084",
Winchester,619.8,"3,361,553","232,761,078","585,394",
Windham,"2,150.5","1,982,264","1,950,322,817","4,905,062",
Windsor,31.7,"89,580","22,007,426","55,349",
Wolfeboro,926.3,,"1,798,153,785","4,522,357",
Woodstock,196.5,"293,899","217,987,950","548,240",
,,,,,
,,,,,
