,,FY07,,FY08,,,,,
,FY05,Total Aid,FY07,Total Aid,FY08,FY08,Enhanced,,
,ADM-R,per ,Total Aid,per ,Total Aid,HB2,Educ Tax @,,
,,RSA,X,RSA,X,Compromise,$2.240 ,,
,K <= 0.5,198:41,1.05,198:41,0.946596522,,,,
Milford,"2,520.3","7,414,581","7,785,310","8,640,294","8,178,872","8,178,872","3,275,166",,
Millsfield,3.0,0,0,0,0,0,"13,604",,
Milton,644.5,"2,660,789","2,793,828","2,319,184","2,195,332","2,793,828","953,633",,
Monroe,107.0,"224,398","235,618","190,738","180,552","235,618","157,088",,
Mont Vernon,479.7,"1,166,860","1,225,203","1,591,997","1,506,979","1,506,979","637,054",,
Moultonborough,640.7,0,0,0,0,0,"6,092,744",,
Nashua,"12,729.5","23,866,124","25,059,430","33,069,479","31,303,454","31,303,454","20,655,168",,
Nelson,116.1,"172,825","181,466","179,477","169,892","181,466","205,655",,
New Boston,873.8,"1,682,269","1,766,382","2,320,232","2,196,324","2,196,324","1,249,430",,
New Castle,102.4,0,0,0,0,0,"1,442,339",,
New Durham,454.0,"544,902","572,147","607,526","575,082","575,082","952,188",,
New Hampton,314.5,"465,147","488,404","721,014","682,509","682,509","548,303",,
New Ipswich,820.9,"2,995,264","3,145,027","3,333,929","3,155,886","3,155,886","919,225",,
New London,419.6,0,0,0,0,0,"2,580,245",,
Newbury,278.5,0,0,0,0,0,"1,588,907",,
Newfields,347.5,"331,028","347,579","625,928","592,501","592,501","548,813",,
Newington,92.9,0,0,0,0,0,"1,145,678",,
Newmarket,"1,021.1","1,773,273","1,861,937","2,094,541","1,982,685","1,982,685","1,798,592",,
Newport,"1,031.7","6,055,971","6,358,770","5,976,828","5,657,645","6,358,770","1,024,636",,
Newton,784.7,"1,756,177","1,843,986","2,074,208","1,963,438","1,963,438","1,084,010",,
North Hampton,655.1,0,0,0,0,0,"2,516,862",,
Northfield,788.9,"3,855,263","4,048,026","4,137,187","3,916,247","4,048,026","758,228",,
Northumberland,398.9,"2,149,020","2,256,471","2,500,402","2,366,872","2,366,872","315,637",,
Northwood,742.3,"2,153,901","2,261,596","2,037,459","1,928,652","2,261,596","1,186,758",,
Nottingham,714.6,"967,060","1,015,413","1,067,870","1,010,842","1,015,413","1,271,070",,
Odell,0.0,0,0,0,0,0,"4,969",,
Orange,57.5,"191,892","201,487","229,318","217,072","217,072","59,793",,
Orford,150.2,"271,393","284,963","242,136","229,205","284,963","336,453",,
Ossipee,657.7,"1,608,309","1,688,724","1,597,555","1,512,240","1,688,724","1,536,552",,
Pelham,"2,050.3","2,670,787","2,804,326","3,297,719","3,121,609","3,121,609","3,535,345",,
Pembroke,"1,186.6","4,291,681","4,506,265","5,076,671","4,805,559","4,805,559","1,372,833",,
Penacook,724.7,"2,779,740","2,918,727","3,121,829","2,955,112","2,955,112","760,006",,
Peterborough,951.9,"2,007,034","2,107,386","1,869,892","1,770,033","2,107,386","1,624,137",,
Piermont,114.1,"410,348","430,865","348,796","330,169","430,865","203,798",,
Pinkham's Grant,0.0,0,0,0,0,0,"7,033",,
Pittsburg,120.8,"12,911","13,557","10,974","10,388","13,557","588,372",,
Pittsfield,697.9,"4,021,495","4,222,570","3,971,638","3,759,539","4,222,570","678,564",,
Plainfield,389.3,"781,566","820,644","813,310","769,876","820,644","572,120",,
Plaistow,"1,378.9","1,773,537","1,862,214","1,667,960","1,578,885","1,862,214","2,326,452",,
Plymouth,667.6,"3,150,947","3,308,494","2,683,474","2,540,167","3,308,494","930,203",,
Portsmouth,"2,121.4",0,0,0,0,0,"8,336,956",,
Randolph,36.5,"13,993","14,693","11,894","11,259","14,693","108,887",,
Raymond,"1,532.1","5,372,894","5,641,539","5,894,903","5,580,095","5,641,539","2,096,172",,
Richmond,183.4,"818,276","859,190","695,535","658,391","859,190","221,380",,
Rindge,776.2,"1,173,904","1,232,599","1,433,041","1,356,512","1,356,512","1,338,561",,
Rochester,"4,326.6","17,565,380","18,443,649","20,630,532","19,528,790","19,528,790","5,215,042",,
Rollinsford,307.9,"446,426","468,747","379,462","359,197","468,747","616,788",,
Roxbury,28.4,"48,521","50,947","46,316","43,843","50,947","58,991",,
Rumney,230.7,"753,224","790,885","816,917","773,291","790,885","371,425",,
Rye,683.0,0,0,0,0,0,"3,987,295",,
Salem,"4,615.2","4,403,580","4,623,759","4,550,146","4,307,152","4,623,759","10,450,722",,
Salisbury,208.9,"483,075","507,229","606,712","574,311","574,311","329,018",,
Sanbornton,419.8,"526,203","552,513","578,804","547,894","552,513","906,518",,
Sandown,"1,190.6","3,678,995","3,862,945","5,069,420","4,798,695","4,798,695","1,319,448",,
Sandwich,156.2,0,0,0,0,0,"1,054,492",,
Seabrook,"1,084.2","1,080,675","1,134,709","918,574","869,519","1,134,709","3,147,107",,
Sharon,42.0,"49,037","51,489","41,681","39,455","51,489","114,937",,
Shelburne,55.6,"99,592","104,572","84,653","80,132","104,572","102,186",,
Somersworth,"1,615.5","5,863,670","6,156,854","6,695,612","6,338,043","6,338,043","2,085,018",,
South Hampton,128.4,"94,373","99,092","80,217","75,933","99,092","311,507",,
Springfield,200.2,"372,486","391,110","350,209","331,507","391,110","435,102",,
Stark,83.9,"335,437","352,209","285,121","269,895","352,209","112,873",,
Stewartstown,132.9,"530,404","556,924","550,201","520,818","556,924","154,935",,
Stoddard,118.8,0,0,0,0,0,"604,211",,
Strafford,771.4,"2,163,026","2,271,177","2,352,203","2,226,587","2,271,177","1,042,689",,
Stratford,122.1,"779,126","818,082","851,512","806,038","818,082","98,880",,
Stratham,"1,304.1","1,217,382","1,278,251","1,034,775","979,514","1,278,251","2,642,899",,
Success,0.0,0,0,0,0,0,"17,121",,
Sugar Hill,57.6,0,0,0,0,0,"324,101",,
Sullivan,112.0,"452,477","475,101","553,897","524,317","524,317","100,213",,
Sunapee,507.6,0,0,0,0,0,"2,437,592",,
Surry,75.2,"104,334","109,551","88,684","83,948","109,551","156,689",,
Sutton,277.4,"314,542","330,269","309,571","293,039","330,269","622,317",,
Swanzey,"1,116.5","4,802,767","5,042,905","5,247,526","4,967,290","5,042,905","1,207,275",,
Tamworth,352.1,"517,136","542,993","520,657","492,852","542,993","824,786",,
Temple,235.1,"498,343","523,260","642,601","608,284","608,284","338,161",,
Thornton,276.4,"416,435","437,257","437,160","413,814","437,257","752,025",,
Tilton,463.1,"896,159","940,967","907,375","858,918","940,967","1,199,912",,
Troy,348.9,"1,887,035","1,981,387","2,191,509","2,074,475","2,074,475","300,705",,
Tuftonboro,313.5,0,0,0,0,0,"2,297,226",,
Unity,177.3,"813,021","853,672","691,068","654,163","853,672","284,680",,
Wakefield,748.0,"1,199,324","1,259,290","1,019,425","964,984","1,259,290","2,256,788",,
Walpole,548.6,"1,154,725","1,212,461","981,516","929,100","1,212,461","941,176",,
Warner,410.5,"951,952","999,550","1,170,108","1,107,620","1,107,620","608,168",,
Warren,142.9,"673,679","707,363","801,753","758,937","758,937","155,952",,
Washington,170.4,"78,225","82,136","66,491","62,940","82,136","573,602",,
Waterville Valley,34.3,0,0,0,0,0,"875,825",,
Weare,"1,802.3","6,284,961","6,599,209","8,159,931","7,724,162","7,724,162","1,830,381",,
Webster,267.5,"400,575","420,604","517,418","489,786","489,786","448,458",,
Wentworth,129.9,"604,903","635,148","514,168","486,710","635,148","210,331",,
Wentworth Location,4.0,0,0,0,0,0,"18,766",,
Westmoreland,213.3,"601,430","631,502","511,216","483,915","631,502","373,292",,
Whitefield,324.4,"1,454,810","1,527,551","1,343,416","1,271,673","1,527,551","401,332",,
Wilmot,217.2,"354,029","371,730","300,925","284,855","371,730","401,916",,
Wilton,570.9,"722,444","758,566","1,130,326","1,069,963","1,069,963","930,184",,
Winchester,599.4,"3,361,553","3,529,631","3,441,234","3,257,460","3,529,631","599,565",,
Windham,"2,209.5","1,982,264","2,081,377","1,684,924","1,594,943","2,081,377","4,865,562",,
Windsor,30.9,"89,580","94,059","76,143","72,077","94,059","61,621",,
Wolfeboro,887.5,0,0,0,0,0,"4,409,667",,
Woodstock,196.6,"293,899","308,594","249,814","236,473","308,594","556,913",,
,,,,,,, ,,
A&G Academy Grant,,,,,,,"1,604",,
Bean's Grant,,,,,,,0,,
Bean's Purchase,,,,,,,40,,
Chandler's Purchase,,,,,,,77,,
Crawford's Purchase,,,,,,,356,,
Cutt's Grant,,,,,,,0,,
Erving's Location,,,,,,,198,,
Green's Grant,,,,,,,"9,591",,
Hadley's Purchase,,,,,,,0,,
Kilkenny,,,,,,,0,,
Livermore,,,,,,,183,,
Low & Burbank's Grant,,,,,,,0,,
Sargent's Purchase,,,,,,,"5,206",,
Second College Grant,,,,,,,"3,255",,
Thomas & Merserve's Purchase,,,,,,,"12,051",,
 ,,,,,,,,,
