,,,,,,,,,,"November 18, 2008"
New Hampshire Department of Education,,,,,,,,,,
Commissioner's Office,,,,,,,,,,
Estimated FY10  Transition Adequate Education Aid,,,,,,,,,,
"Municipal Summary of Adequacy Aid, Fiscal Disparity Aid and Transition Grant",,,,,,,,,,
,,,,,,,,,,
,,,,,,State-Wide,Calculated,Prelim Grant,Hold Harm-,FY10
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Grant =,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,FY10/11 Calcu-,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,lated Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.135,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
Milton,"2,793,828","1,017,312","3,811,140","3,972,339",0,"991,097","2,981,242","2,981,242",0,"2,981,242 "
Monroe,"235,618","178,992","414,610","467,952",0,"191,715","276,237","270,961",0,"270,961 "
Mont Vernon,"1,506,979","619,794","2,126,773","1,870,710",0,"601,061","1,269,649","1,269,649","256,063","1,525,712 "
Moultonborough,0,"6,259,709","6,259,709","2,890,979",0,"6,520,346",0,0,0,0 
Nashua,"31,303,454","20,615,416","51,918,870","66,347,211",0,"19,801,062","46,546,149","35,998,972",0,"35,998,972 "
Nelson,"181,466","260,489","441,955","593,423",0,"212,937","380,486","208,686","20,332","229,018 "
New Boston,"2,196,324","1,301,855","3,498,179","3,363,351",0,"1,301,832","2,061,519","2,061,519","134,828","2,196,347 "
New Castle,0,"1,244,927","1,244,927","364,514",0,"1,570,396",0,0,0,0 
New Durham,"575,082","1,019,060","1,594,142","2,041,868",0,"988,050","1,053,818","661,344",0,"661,344 "
New Hampton,"682,509","596,941","1,279,450","1,651,711",0,"620,827","1,030,884","784,885",0,"784,885 "
New Ipswich,"3,155,886","910,799","4,066,685","3,572,446",0,"977,695","2,594,751","2,594,751","494,239","3,088,990 "
New London,0,"2,597,855","2,597,855","1,669,453",0,"2,667,392",0,0,0,0 
Newbury,0,"1,616,566","1,616,566","1,123,835",0,"1,613,793",0,0,"2,773","2,773 "
Newfields,"592,501","564,088","1,156,589","1,356,914",0,"582,723","774,191","681,376",0,"681,376 "
Newington,0,"1,075,255","1,075,255","430,823",0,"1,216,824",0,0,0,0 
Newmarket,"1,982,685","1,796,377","3,779,062","4,825,253",0,"1,726,209","3,099,044","2,280,088",0,"2,280,088 "
Newport,"6,358,770","1,022,418","7,381,188","6,003,341","1,984,660","1,074,591","6,913,410","6,913,410",0,"6,913,410 "
