,From EOY Data Excl Charter And OOS,,,, 2022-2023 Membership ,Base Adequacy Aid," 2022-2023
 F&R Membership ",Free or Reduced Differentiated Aid," 2022-2023
SPED Membership ",Special Education Differentiated Aid," 2022-2023
ELL Membership ",ELL Differentiated Aid,,,Equalized Valuation,"Based on EV Per F&R Pupil (EVFRP) / 
Sliding Scale Grant with $8,500 per F&R for EVFRP Under $1.6 million and $0 for EVFRP over $6.6 million",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ADM,"$4,100.00 ",ADM,"$2,300.00 ",ADM,"$2,100.00 ",ADM,$800.00 ,,,,EV Per F&R,Aid Per F&R ADMR,Total,,,104.00%,,,,,,,,,,,,,,,,,,,
,,,Loc #,State Total,"157,396.84","645,327,039.49 ","41,665.69","95,831,076.88 ","30,963.11 ","65,022,521.55 ","5,127.48","4,101,986.56 "," 810,282,624.48 "," 363,786,975 ","264,083,787,588",,," $178,655,456.60 "," 651,484,993.35 "," 598,639,134.52 "," 622,584,699.90 "," 49,995,831.66 "," 701,480,824.97 ",,"1,065,267,799.97 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Plymouth,TRUE,447,Plymouth, 577.61 ," 2,368,183.78 ", 199.69 ," 459,292.06 ", 108.57 ," 227,989.23 ", 7.86 ," 6,288.80 "," 3,061,753.87 "," 865,986 "," 635,104,573.46 "," 3,180,417.53 "," 5,813.29 "," 1,160,868.71 "," 3,356,636.58 "," 3,906,208.09 "," 4,062,456.41 ","705,819.83"," 4,062,456.41 ",," 4,928,442.41 ",,,,,,,,,,,,,,,
449,Portsmouth,TRUE,449,Portsmouth," 2,078.73 "," 8,522,777.01 ", 362.86 ," 834,582.60 ", 398.63 ," 837,115.02 ", 64.24 ," 51,390.00 "," 10,245,864.63 "," 11,410,459 "," 8,166,077,194.51 "," 22,504,635.91 ", -   , -   , -   , -   , -   ,0.00, -   ,," 11,410,459.00 ",,,,,,,,,,,,,,,
451,Randolph,TRUE,451,Randolph, 22.00 ," 90,200.00 ", 6.00 ," 13,800.00 ", 4.00 ," 8,400.00 ", -   , -   ," 112,400.00 "," 114,156 "," 93,079,431.23 "," 15,513,238.54 ", -   , -   , -   , -   , -   ,0.00, -   ,," 114,156.00 ",,,,,,,,,,,,,,,
453,Raymond,TRUE,453,Raymond," 1,131.89 "," 4,640,738.75 ", 239.23 ," 550,220.03 ", 234.96 ," 493,422.51 ", 4.20 ," 3,361.52 "," 5,687,742.81 "," 2,019,288 "," 1,432,571,816.63 "," 5,988,359.20 "," 1,039.79 "," 248,744.75 "," 3,917,199.56 "," 5,096,780.29 "," 5,300,651.50 ","1,383,451.94"," 5,300,651.50 ",," 7,319,939.50 ",,,,,,,,,,,,,,,
455,Richmond,TRUE,455,Richmond, 132.23 ," 542,128.65 ", 39.73 ," 91,384.29 ", 23.12 ," 48,554.52 ", 1.00 , 800.00 ," 682,867.46 "," 183,759 "," 139,606,588.47 "," 3,513,680.02 "," 5,246.74 "," 208,465.21 "," 707,573.67 "," 861,001.21 "," 895,441.26 ","187,867.59"," 895,441.26 ",," 1,079,200.26 ",,,,,,,,,,,,,,,
459,Rindge,TRUE,459,Rindge, 541.79 ," 2,221,348.02 ", 130.78 ," 300,800.67 ", 93.28 ," 195,888.21 ", 0.49 , 390.88 ," 2,718,427.78 "," 1,323,932 "," 934,332,997.42 "," 7,144,152.62 ", -   , -   ," 1,394,495.78 "," 1,228,572.89 "," 1,277,715.81 ",0.00," 1,394,495.78 ",," 2,718,427.78 ",,,,,,,,,,,,,,,
461,Rochester,TRUE,461,Rochester," 3,680.48 "," 15,089,968.82 "," 1,517.79 "," 3,490,911.25 ", 767.90 ," 1,612,591.89 ", 77.72 ," 62,179.12 "," 20,255,651.08 "," 5,482,601 "," 3,993,154,781.65 "," 2,630,905.04 "," 6,747.46 "," 10,241,212.62 "," 25,014,262.70 "," 23,411,784.95 "," 24,348,256.35 ",0.00," 25,014,262.70 ",," 30,496,863.70 ",,,,,,,,,,,,,,,
463,Rollinsford,TRUE,463,Rollinsford, 277.69 ," 1,138,545.81 ", 31.31 ," 72,002.88 ", 38.47 ," 80,785.53 ", -   , -   ," 1,291,334.22 "," 563,779 "," 399,032,580.53 "," 12,746,364.25 ", -   , -   ," 727,555.22 "," 624,238.34 "," 649,207.87 ",0.00," 727,555.22 ",," 1,291,334.22 ",,,,,,,,,,,,,,,
465,Roxbury,TRUE,465,Roxbury, 23.53 ," 96,485.30 ", 3.00 ," 6,900.00 ", 1.00 ," 2,100.00 ", -   , -   ," 105,485.30 "," 41,894 "," 30,365,332.69 "," 10,121,777.56 ", -   , -   ," 63,591.30 "," 90,180.13 "," 93,787.34 ","30,196.04"," 93,787.34 ",," 135,681.34 ",,,,,,,,,,,,,,,
467,Rumney,TRUE,467,Rumney, 132.48 ," 543,186.86 ", 60.07 ," 138,168.59 ", 28.16 ," 59,132.85 ", -   , -   ," 740,488.30 "," 435,664 "," 328,420,109.05 "," 5,466,989.65 "," 1,926.12 "," 115,708.24 "," 420,532.54 "," 665,032.47 "," 691,633.77 ","271,101.23"," 691,633.77 ",," 1,127,297.77 ",,,,,,,,,,,,,,,
471,Rye,TRUE,471,Rye, 542.61 ," 2,224,705.10 ", 19.45 ," 44,745.12 ", 58.16 ," 122,142.09 ", 4.73 ," 3,780.56 "," 2,395,372.87 "," 4,581,240 "," 3,199,642,142.76 "," 164,468,816.45 ", -   , -   , -   , -   , -   ,0.00, -   ,," 4,581,240.00 ",,,,,,,,,,,,,,,
473,Salem,TRUE,473,Salem," 3,436.54 "," 14,089,796.78 ", 599.36 ," 1,378,528.00 ", 568.40 ," 1,193,649.87 ", 75.00 ," 60,000.08 "," 16,721,974.73 "," 9,711,832 "," 6,871,735,417.90 "," 11,465,121.83 ", -   , -   ," 7,010,142.73 "," 5,908,381.00 "," 6,144,716.24 ",0.00," 7,010,142.73 ",," 16,721,974.73 ",,,,,,,,,,,,,,,
475,Salisbury,TRUE,475,Salisbury, 159.89 ," 655,566.22 ", 34.99 ," 80,486.66 ", 31.23 ," 65,578.38 ", -   , -   ," 801,631.26 "," 296,382 "," 223,968,185.60 "," 6,400,151.61 ", 339.74 ," 11,889.01 "," 517,138.27 "," 498,470.10 "," 518,408.90 ","1,270.63"," 518,408.90 ",," 814,790.90 ",,,,,,,,,,,,,,,
477,Sanbornton,TRUE,477,Sanbornton, 279.30 ," 1,145,124.26 ", 78.64 ," 180,881.43 ", 47.99 ," 100,784.25 ", -   , -   ," 1,426,789.94 "," 1,061,604 "," 747,013,568.45 "," 9,498,660.02 ", -   , -   ," 365,185.94 "," 479,397.86 "," 498,573.77 ","133,387.83"," 498,573.77 ",," 1,560,177.77 ",,,,,,,,,,,,,,,
479,Sandown,TRUE,479,Sandown, 899.66 ," 3,688,608.05 ", 131.88 ," 303,328.83 ", 214.96 ," 451,417.89 ", 3.72 ," 2,975.36 "," 4,446,330.13 "," 1,423,178 "," 1,000,671,083.71 "," 7,587,618.67 ", -   , -   ," 3,023,152.13 "," 3,910,509.28 "," 4,066,929.65 ","1,043,777.52"," 4,066,929.65 ",," 5,490,107.65 ",,,,,,,,,,,,,,,
483,Sandwich,TRUE,483,Sandwich, 129.64 ," 531,530.97 ", 21.59 ," 49,659.30 ", 14.74 ," 30,951.06 ", -   , -   ," 612,141.33 "," 847,708 "," 600,795,507.45 "," 27,826,201.08 ", -   , -   , -   , -   , -   ,0.00, -   ,," 847,708.00 ",,,,,,,,,,,,,,,
485,Seabrook,TRUE,485,Seabrook, 954.70 ," 3,914,287.63 ", 449.21 ," 1,033,181.39 ", 179.04 ," 375,993.66 ", 23.18 ," 18,547.92 "," 5,342,010.60 "," 3,326,539 "," 3,575,513,659.74 "," 7,959,571.76 ", -   , -   ," 2,015,471.60 "," 1,820,755.26 "," 1,893,585.47 ",0.00," 2,015,471.60 ",," 5,342,010.60 ",,,,,,,,,,,,,,,
487,Sharon,TRUE,487,Sharon, 43.47 ," 178,236.43 ", 4.45 ," 10,231.09 ", 6.50 ," 13,658.19 ", 0.98 , 786.24 ," 202,911.95 "," 92,118 "," 64,923,499.39 "," 14,595,126.09 ", -   , -   ," 110,793.95 "," 123,000.14 "," 127,920.15 ","17,126.20"," 127,920.15 ",," 220,038.15 ",,,,,,,,,,,,,,,
489,Shelburne,TRUE,489,Shelburne, 31.47 ," 129,040.12 ", 7.00 ," 16,100.00 ", 3.00 ," 6,300.00 ", -   , -   ," 151,440.12 "," 85,347 "," 88,607,688.92 "," 12,658,241.27 ", -   , -   ," 66,093.12 "," 109,380.00 "," 113,755.20 ","47,662.08"," 113,755.20 ",," 199,102.20 ",,,,,,,,,,,,,,,
491,Somersworth,TRUE,491,Somersworth," 1,311.02 "," 5,375,172.98 ", 572.83 ," 1,317,518.20 ", 285.15 ," 598,804.92 ", 70.54 ," 56,428.72 "," 7,347,924.82 "," 2,083,220 "," 1,477,860,573.10 "," 2,579,910.71 "," 6,834.15 "," 3,914,834.51 "," 9,179,539.33 "," 7,226,170.28 "," 7,515,217.09 ",0.00," 9,179,539.33 ",," 11,262,759.33 ",,,,,,,,,,,,,,,
495,South Hampton,TRUE,495,South Hampton, 107.11 ," 439,169.04 ", 5.16 ," 11,856.50 ", 24.62 ," 51,701.16 ", -   , -   ," 502,726.70 "," 287,674 "," 205,143,414.16 "," 39,795,036.69 ", -   , -   ," 215,052.70 "," 222,487.61 "," 231,387.11 ","16,334.41"," 231,387.11 ",," 519,061.11 ",,,,,,,,,,,,,,,
497,Springfield,TRUE,497,Springfield, 162.13 ," 664,730.54 ", 21.02 ," 48,345.54 ", 28.64 ," 60,153.24 ", -   , -   ," 773,229.32 "," 429,097 "," 307,669,763.41 "," 14,637,140.38 ", -   , -   ," 344,132.32 "," 328,223.06 "," 341,351.98 ",0.00," 344,132.32 ",," 773,229.32 ",,,,,,,,,,,,,,,
499,Stark,TRUE,499,Stark, 54.79 ," 224,624.24 ", 17.11 ," 39,360.82 ", 4.21 ," 8,834.07 ", -   , -   ," 272,819.13 "," 102,935 "," 90,353,644.33 "," 5,279,701.54 "," 2,244.51 "," 38,411.15 "," 208,295.28 "," 342,877.84 "," 356,592.95 ","148,297.67"," 356,592.95 ",," 459,527.95 ",,,,,,,,,,,,,,,
501,Stewartstown,TRUE,501,Stewartstown, 85.73 ," 351,481.11 ", 48.04 ," 110,487.86 ", 16.73 ," 35,127.54 ", -   , -   ," 497,096.51 "," 169,811 "," 146,242,253.25 "," 3,044,290.86 "," 6,044.71 "," 290,376.77 "," 617,662.28 "," 530,862.81 "," 552,097.32 ",0.00," 617,662.28 ",," 787,473.28 ",,,,,,,,,,,,,,,
503,Stoddard,TRUE,503,Stoddard, 145.27 ," 595,615.20 ", 48.43 ," 111,396.13 ", 31.28 ," 65,682.75 ", 1.00 , 800.00 ," 773,494.08 "," 552,862 "," 395,610,538.02 "," 8,168,185.35 ", -   , -   ," 220,632.08 "," 202,080.47 "," 210,163.69 ",0.00," 220,632.08 ",," 773,494.08 ",,,,,,,,,,,,,,,
507,Strafford,TRUE,507,Strafford, 581.81 ," 2,385,408.29 ", 80.68 ," 185,566.53 ", 101.45 ," 213,035.76 ", -   , -   ," 2,784,010.58 "," 1,105,470 "," 774,917,325.98 "," 9,604,694.61 ", -   , -   ," 1,678,540.58 "," 2,192,006.19 "," 2,279,686.44 ","601,145.86"," 2,279,686.44 ",," 3,385,156.44 ",,,,,,,,,,,,,,,
509,Stratford,TRUE,509,Stratford, 73.62 ," 301,834.21 ", 54.86 ," 126,168.34 ", 25.25 ," 53,023.53 ", -   , -   ," 481,026.08 "," 95,619 "," 106,550,561.48 "," 1,942,375.49 "," 7,917.96 "," 434,346.12 "," 819,753.20 "," 890,513.81 "," 926,134.36 ","106,381.16"," 926,134.36 ",," 1,021,753.36 ",,,,,,,,,,,,,,,
511,Stratham,TRUE,511,Stratham," 1,090.79 "," 4,472,220.55 ", 52.19 ," 120,034.24 ", 163.90 ," 344,190.00 ", 7.14 ," 5,715.52 "," 4,942,160.31 "," 2,798,784 "," 1,981,353,870.71 "," 37,965,116.48 ", -   , -   ," 2,143,376.31 "," 1,854,782.86 "," 1,928,974.17 ",0.00," 2,143,376.31 ",," 4,942,160.31 ",,,,,,,,,,,,,,,
512,Sugar Hill,TRUE,512,Sugar Hill, 51.33 ," 210,436.19 ", 8.80 ," 20,247.82 ", 11.00 ," 23,100.00 ", -   , -   ," 253,784.01 "," 384,994 "," 274,427,853.82 "," 31,172,939.30 ", -   , -   , -   , -   , -   ,0.00, -   ,," 384,994.00 ",,,,,,,,,,,,,,,
513,Sullivan,TRUE,513,Sullivan, 77.43 ," 317,469.15 ", 30.23 ," 69,523.94 ", 15.69 ," 32,958.45 ", -   , -   ," 419,951.54 "," 109,414 "," 81,332,948.84 "," 2,690,667.16 "," 6,645.87 "," 200,889.90 "," 511,427.44 "," 713,237.17 "," 741,766.66 ","230,339.22"," 741,766.66 ",," 851,180.66 ",,,,,,,,,,,,,,,
514,Success,TRUE,514,Success, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 22,251 "," 15,534,237.62 ", -   ,  , -   , -   , -   , -   ,0.00, -   ,," 22,251.00 ",,,,,,,,,,,,,,,
515,Sunapee,TRUE,515,Sunapee, 329.86 ," 1,352,413.29 ", 70.80 ," 162,838.16 ", 59.44 ," 124,817.70 ", 1.00 , 800.00 ," 1,640,869.15 "," 2,678,474 "," 1,897,921,082.83 "," 26,807,097.86 ", -   , -   , -   , -   , -   ,0.00, -   ,," 2,678,474.00 ",,,,,,,,,,,,,,,
519,Surry,TRUE,519,Surry, 103.40 ," 423,926.47 ", 12.29 ," 28,277.12 ", 9.00 ," 18,900.00 ", 1.00 , 800.00 ," 471,903.59 "," 164,086 "," 118,704,310.37 "," 9,655,152.78 ", -   , -   ," 307,817.59 "," 361,392.66 "," 375,848.37 ","68,030.78"," 375,848.37 ",," 539,934.37 ",,,,,,,,,,,,,,,
521,Sutton,TRUE,521,Sutton, 247.55 ," 1,014,957.87 ", 42.95 ," 98,782.47 ", 30.22 ," 63,456.12 ", 1.00 , 800.00 ," 1,177,996.46 "," 609,582 "," 429,558,919.99 "," 10,001,627.98 ", -   , -   ," 568,414.46 "," 538,076.71 "," 559,599.78 ",0.00," 568,414.46 ",," 1,177,996.46 ",,,,,,,,,,,,,,,
523,Swanzey,TRUE,523,Swanzey, 840.01 ," 3,444,042.64 ", 285.36 ," 656,331.45 ", 141.07 ," 296,237.76 ", 7.68 ," 6,140.64 "," 4,402,752.49 "," 1,130,205 "," 813,838,547.10 "," 2,851,956.37 "," 6,371.67 "," 1,818,230.50 "," 5,090,777.99 "," 5,940,661.81 "," 6,178,288.28 ","1,087,510.29"," 6,178,288.28 ",," 7,308,493.28 ",,,,,,,,,,,,,,,
525,Tamworth,TRUE,525,Tamworth, 278.28 ," 1,140,963.17 ", 136.86 ," 314,776.39 ", 68.03 ," 142,866.99 ", 3.00 ," 2,400.00 "," 1,601,006.55 "," 800,851 "," 579,098,117.04 "," 4,231,339.17 "," 4,026.72 "," 551,094.55 "," 1,351,250.10 "," 894,169.02 "," 929,935.78 ",0.00," 1,351,250.10 ",," 2,152,101.10 ",,,,,,,,,,,,,,,
527,Temple,TRUE,527,Temple, 104.25 ," 427,437.30 ", 22.28 ," 51,247.91 ", 24.00 ," 50,400.00 ", -   , -   ," 529,085.21 "," 306,101 "," 216,876,924.71 "," 9,733,410.14 ", -   , -   ," 222,984.21 "," 220,507.78 "," 229,328.09 ","6,343.88"," 229,328.09 ",," 535,429.09 ",,,,,,,,,,,,,,,
531,Thornton,TRUE,531,Thornton, 281.98 ," 1,156,125.38 ", 71.96 ," 165,517.66 ", 49.73 ," 104,425.23 ", 0.16 , 131.04 ," 1,426,199.31 "," 787,102 "," 558,294,809.73 "," 7,757,952.01 ", -   , -   ," 639,097.31 "," 733,442.10 "," 762,779.78 ","123,682.47"," 762,779.78 ",," 1,549,881.78 ",,,,,,,,,,,,,,,
532,Tilton,TRUE,532,Tilton, 411.72 ," 1,688,044.21 ", 199.17 ," 458,092.15 ", 95.02 ," 199,540.95 ", 6.56 ," 5,248.48 "," 2,350,925.79 "," 1,245,727 "," 918,954,409.98 "," 4,613,908.23 "," 3,376.36 "," 672,470.51 "," 1,777,669.30 "," 1,666,609.61 "," 1,733,273.99 ",0.00," 1,777,669.30 ",," 3,023,396.30 ",,,,,,,,,,,,,,,
535,Troy,TRUE,535,Troy, 274.75 ," 1,126,479.10 ", 107.94 ," 248,255.33 ", 63.60 ," 133,551.81 ", 1.00 , 800.00 ," 1,509,086.24 "," 244,292 "," 189,815,275.80 "," 1,758,573.06 "," 8,230.43 "," 888,368.29 "," 2,153,162.53 "," 2,358,978.22 "," 2,453,337.35 ","300,174.82"," 2,453,337.35 ",," 2,697,629.35 ",,,,,,,,,,,,,,,
537,Tuftonboro,TRUE,537,Tuftonboro, 228.57 ," 937,151.35 ", 59.34 ," 136,486.37 ", 36.61 ," 76,882.47 ", -   , -   ," 1,150,520.19 "," 2,420,171 "," 1,701,257,447.70 "," 28,668,739.08 ", -   , -   , -   , -   , -   ,0.00, -   ,," 2,420,171.00 ",,,,,,,,,,,,,,,
539,Unity,TRUE,539,Unity, 126.53 ," 518,753.73 ", 45.75 ," 105,228.91 ", 29.69 ," 62,351.31 ", -   , -   ," 686,333.95 "," 245,022 "," 174,635,244.06 "," 3,817,021.97 "," 4,731.06 "," 216,454.16 "," 657,766.11 "," 849,501.93 "," 883,482.01 ","225,715.90"," 883,482.01 ",," 1,128,504.01 ",,,,,,,,,,,,,,,
543,Wakefield,TRUE,543,Wakefield, 614.67 ," 2,520,144.54 ", 199.83 ," 459,602.56 ", 115.80 ," 243,187.77 ", 1.00 , 800.00 ," 3,223,734.87 "," 2,492,413 "," 1,756,887,701.59 "," 8,792,034.83 ", -   , -   ," 731,321.87 "," 1,188,889.53 "," 1,236,445.11 ","505,123.24"," 1,236,445.11 ",," 3,728,858.11 ",,,,,,,,,,,,,,,
545,Walpole,TRUE,545,Walpole, 367.97 ," 1,508,665.93 ", 98.36 ," 226,236.74 ", 59.57 ," 125,096.58 ", 2.00 ," 1,600.00 "," 1,861,599.25 "," 823,563 "," 619,024,359.04 "," 6,293,213.14 ", 521.54 ," 51,300.43 "," 1,089,336.68 "," 1,317,400.58 "," 1,370,096.60 ","280,759.92"," 1,370,096.60 ",," 2,193,659.60 ",,,,,,,,,,,,,,,
547,Warner,TRUE,547,Warner, 340.32 ," 1,395,324.71 ", 75.12 ," 172,772.55 ", 57.62 ," 121,003.47 ", 2.00 ," 1,600.00 "," 1,690,700.73 "," 594,433 "," 425,367,608.50 "," 5,662,621.17 "," 1,593.54 "," 119,704.64 "," 1,215,972.37 "," 1,200,535.49 "," 1,248,556.91 ","32,584.54"," 1,248,556.91 ",," 1,842,989.91 ",,,,,,,,,,,,,,,
549,Warren,TRUE,549,Warren, 90.36 ," 370,489.12 ", 43.96 ," 101,108.46 ", 15.63 ," 32,812.50 ", -   , -   ," 504,410.08 "," 147,383 "," 121,294,619.35 "," 2,759,191.71 "," 6,529.37 "," 287,032.59 "," 644,059.67 "," 799,442.59 "," 831,420.29 ","187,360.62"," 831,420.29 ",," 978,803.29 ",,,,,,,,,,,,,,,
551,Washington,TRUE,551,Washington, 108.41 ," 444,497.81 ", 38.79 ," 89,223.67 ", 21.35 ," 44,828.70 ", -   , -   ," 578,550.18 "," 486,435 "," 342,709,569.87 "," 8,834,337.47 ", -   , -   ," 92,115.18 "," 80,029.92 "," 83,231.12 ",0.00," 92,115.18 ",," 578,550.18 ",,,,,,,,,,,,,,,
553,Waterville Valley,TRUE,553,Waterville Valley, 50.41 ," 206,685.92 ", 4.00 ," 9,200.00 ", 10.39 ," 21,814.17 ", 7.00 ," 5,600.00 "," 243,300.09 "," 627,557 "," 439,353,648.25 "," 109,838,412.06 ", -   , -   , -   , -   , -   ,0.00, -   ,," 627,557.00 ",,,,,,,,,,,,,,,
555,Weare,TRUE,555,Weare," 1,288.64 "," 5,283,442.45 ", 243.27 ," 559,523.53 ", 270.65 ," 568,354.71 ", 6.85 ," 5,480.00 "," 6,416,800.69 "," 1,830,230 "," 1,304,803,634.93 "," 5,363,578.47 "," 2,101.92 "," 511,335.56 "," 5,097,906.25 "," 7,371,126.39 "," 7,665,971.45 ","2,568,065.20"," 7,665,971.45 ",," 9,496,201.45 ",,,,,,,,,,,,,,,
557,Webster,TRUE,557,Webster, 195.01 ," 799,526.24 ", 52.55 ," 120,854.19 ", 48.89 ," 102,666.69 ", -   , -   ," 1,023,047.12 "," 445,156 "," 336,470,394.43 "," 6,403,434.64 ", 334.16 ," 17,558.60 "," 595,449.72 "," 528,314.05 "," 549,446.61 ",0.00," 595,449.72 ",," 1,040,605.72 ",,,,,,,,,,,,,,,
559,Wentworth,TRUE,559,Wentworth, 98.24 ," 402,773.34 ", 45.63 ," 104,943.48 ", 19.43 ," 40,803.42 ", 1.00 , 800.00 ," 549,320.24 "," 176,983 "," 131,080,124.33 "," 2,872,825.31 "," 6,336.20 "," 289,105.46 "," 661,442.70 "," 668,215.46 "," 694,944.08 ","33,501.38"," 694,944.08 ",," 871,927.08 ",,,,,,,,,,,,,,,
561,Wentworth's Location,TRUE,561,Wentworth's Location, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 13,231 "," 9,369,200.28 ", -   ,  , -   , -   , -   , -   ,0.00, -   ,," 13,231.00 ",,,,,,,,,,,,,,,
563,Westmoreland,TRUE,563,Westmoreland, 161.81 ," 663,430.84 ", 29.44 ," 67,714.53 ", 30.61 ," 64,288.56 ", -   , -   ," 795,433.93 "," 290,420 "," 204,429,279.40 "," 6,943,669.88 ", -   , -   ," 505,013.93 "," 729,334.70 "," 758,508.09 ","253,494.16"," 758,508.09 ",," 1,048,928.09 ",,,,,,,,,,,,,,,
567,Whitefield,TRUE,567,Whitefield, 250.32 ," 1,026,303.39 ", 125.73 ," 289,176.24 ", 64.08 ," 134,558.13 ", 1.99 ," 1,595.20 "," 1,451,632.96 "," 401,561 "," 311,321,878.35 "," 2,476,138.15 "," 7,010.57 "," 881,429.94 "," 1,931,501.90 "," 1,876,982.01 "," 1,952,061.29 ","20,559.39"," 1,952,061.29 ",," 2,353,622.29 ",,,,,,,,,,,,,,,
569,Wilmot,TRUE,569,Wilmot, 191.55 ," 785,355.00 ", 22.61 ," 52,005.53 ", 29.32 ," 61,576.62 ", -   , -   ," 898,937.15 "," 392,768 "," 279,463,988.55 "," 12,359,592.79 ", -   , -   ," 506,169.15 "," 479,327.27 "," 498,500.36 ",0.00," 506,169.15 ",," 898,937.15 ",,,,,,,,,,,,,,,
571,Wilton,TRUE,571,Wilton, 408.81 ," 1,676,130.43 ", 112.26 ," 258,208.12 ", 81.81 ," 171,806.46 ", -   , -   ," 2,106,145.01 "," 816,426 "," 574,323,486.84 "," 5,115,811.31 "," 2,523.12 "," 283,256.64 "," 1,572,975.65 "," 1,219,029.49 "," 1,267,790.67 ",0.00," 1,572,975.65 ",," 2,389,401.65 ",,,,,,,,,,,,,,,
573,Winchester,TRUE,573,Winchester, 484.75 ," 1,987,463.93 ", 263.65 ," 606,386.03 ", 120.95 ," 254,001.09 ", 1.96 ," 1,566.56 "," 2,849,417.61 "," 531,268 "," 428,475,080.95 "," 1,625,190.29 "," 8,457.18 "," 2,229,701.60 "," 4,547,851.21 "," 4,201,950.12 "," 4,370,028.12 ",0.00," 4,547,851.21 ",," 5,079,119.21 ",,,,,,,,,,,,,,,
575,Windham,TRUE,575,Windham," 2,981.20 "," 12,222,935.99 ", 93.23 ," 214,422.56 ", 496.41 ," 1,042,456.80 ", 68.75 ," 54,996.48 "," 13,534,811.83 "," 5,723,502 "," 4,026,771,140.53 "," 43,193,093.22 ", -   , -   ," 7,811,309.83 "," 7,006,583.44 "," 7,286,846.78 ",0.00," 7,811,309.83 ",," 13,534,811.83 ",,,,,,,,,,,,,,,
579,Windsor,TRUE,579,Windsor, 13.00 ," 53,300.00 ", 2.00 ," 4,600.00 ", 3.00 ," 6,300.00 ", -   , -   ," 64,200.00 "," 49,177 "," 34,833,459.19 "," 17,416,729.60 ", -   , -   ," 15,023.00 "," 67,204.83 "," 69,893.02 ","54,870.02"," 69,893.02 ",," 119,070.02 ",,,,,,,,,,,,,,,
583,Wolfeboro,TRUE,583,Wolfeboro, 603.11 ," 2,472,769.04 ", 142.71 ," 328,222.88 ", 80.66 ," 169,383.48 ", 1.00 , 800.00 ," 2,971,175.40 "," 4,508,172 "," 3,131,191,423.00 "," 21,941,615.63 ", -   , -   , -   , -   , -   ,0.00, -   ,," 4,508,172.00 ",,,,,,,,,,,,,,,
585,Woodstock,TRUE,585,Woodstock, 133.92 ," 549,081.43 ", 42.18 ," 97,007.10 ", 30.16 ," 63,342.09 ", -   , -   ," 709,430.62 "," 558,448 "," 398,866,218.06 "," 9,456,960.38 ", -   , -   ," 150,982.62 "," 216,997.76 "," 225,677.67 ","74,695.05"," 225,677.67 ",," 784,125.67 ",,,,,,,,,,,,,,,
417,#REF!,#REF!,417,Orford, 113.82 ," 466,650.52 ", 36.59 ," 84,167.35 ", 21.76 ," 45,694.11 ", -   , -   ," 596,511.98 "," 255,693 "," 181,186,382.21 "," 4,951,191.63 "," 2,802.97 "," 102,573.44 "," 443,392.42 "," 351,434.14 "," 365,491.51 ",0.00," 443,392.42 ",," 699,085.42 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,, -   ,,,, -   ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,, -   ,,,, -   ,,,,,,,,,,,,,,,
,,,a,ATK. & GILMANTON ACAD.,, -   ,0.00, -   ,0.00, -   ,0.00, -   , -   ," 1,434 "," 996,035.32 ",  ,  ,, -   , -   , -   , -   , -   ,," 1,434.00 ",,,,,,,,,,,,,,,
,,,b,BEAN'S GRANT,, -   ,0.00, -   ,0.00, -   ,0.00, -   , -   , -   , -   ,  ,  ,, -   , -   , -   , -   , -   ,, -   ,,,,,,,,,,,,,,,
,,,c,BEAN'S PURCHASE,, -   ,0.00, -   ,0.00, -   ,0.00, -   , -   , -   , -   ,  ,  ,, -   , -   , -   , -   , -   ,, -   ,,,,,,,,,,,,,,,
,,,d,CHANDLER'S PURCHASE,, -   ,0.00, -   ,0.00, -   ,0.00, -   , -   , 64 ," 47,422.46 ",  ,,, -   , -   , -   , -   , -   ,, 64.00 ,,,,,,,,,,,,,,,
,,,e,CRAWFORD'S PURCH.,, -   ,0.00, -   ,0.00, -   ,0.00, -   , -   , 397 ," 276,055.64 ",  ,  ,, -   , -   , -   , -   , -   ,, 397.00 ,,,,,,,,,,,,,,,
,,,f,CUTT'S GRANT,, -   ,0.00, -   ,0.00, -   ,0.00, -   , -   , -   , -   ,  ,  ,, -   , -   , -   , -   , -   ,, -   ,,,,,,,,,,,,,,,
,,,g,ERVING'S GRANT,, -   ,0.00, -   ,0.00, -   ,0.00, -   , -   , 100 ," 69,382.32 ",  ,  ,, -   , -   , -   , -   , -   ,, 100.00 ,,,,,,,,,,,,,,,
,,,h,GREEN'S GRANT,, -   ,0.00, -   ,0.00, -   ,0.00, -   , -   ," 13,817 "," 9,776,092.15 ",  ,  ,, -   , -   , -   , -   , -   ,," 13,817.00 ",,,,,,,,,,,,,,,
,,,i,HADLEY'S PURCH.,, -   ,0.00, -   ,0.00, -   ,0.00, -   , -   , -   , -   ,  ,  ,, -   , -   , -   , -   , -   ,, -   ,,,,,,,,,,,,,,,
,,,j,KILKENNY,, -   ,0.00, -   ,0.00, -   ,0.00, -   , -   , -   ," 31,175.00 ",  ,  ,, -   , -   , -   , -   , -   ,, -   ,,,,,,,,,,,,,,,
