,From EOY Data Excl Charter And OOS,,,, 2022-2023 Membership ,Base Adequacy Aid," 2022-2023
 F&R Membership ",Free or Reduced Differentiated Aid," 2022-2023
SPED Membership ",Special Education Differentiated Aid," 2022-2023
ELL Membership ",ELL Differentiated Aid,,,Equalized Valuation,"Based on EV Per F&R Pupil (EVFRP) / 
Sliding Scale Grant with $8,500 per F&R for EVFRP Under $1.6 million and $0 for EVFRP over $6.6 million",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ADM,"$4,100.00 ",ADM,"$2,300.00 ",ADM,"$2,100.00 ",ADM,$800.00 ,,,,EV Per F&R,Aid Per F&R ADMR,Total,,,104.00%,,,,,,,,,,,,,,,,,,,
,,,Loc #,State Total,"157,396.84","645,327,039.49 ","41,665.69","95,831,076.88 ","30,963.11 ","65,022,521.55 ","5,127.48","4,101,986.56 "," 810,282,624.48 "," 363,786,975 ","264,083,787,588",,," $178,655,456.60 "," 651,484,993.35 "," 598,639,134.52 "," 622,584,699.90 "," 49,995,831.66 "," 701,480,824.97 ",,"1,065,267,799.97 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Center Harbor,TRUE,87,Center Harbor, 96.80 ," 396,891.07 ", 13.10 ," 30,126.78 ", 12.75 ," 26,775.00 ", -   , -   ," 453,792.85 "," 1,032,776 "," 720,963,148.27 "," 55,041,237.10 ", -   , -   , -   , -   , -   ,0.00, -   ,," 1,032,776.00 ",,,,,,,,,,,,,,,
89,Charlestown,TRUE,89,Charlestown, 597.09 ," 2,448,064.90 ", 267.03 ," 614,173.14 ", 152.24 ," 319,693.92 ", 1.53 ," 1,222.24 "," 3,383,154.20 "," 532,334 "," 399,853,969.93 "," 1,497,402.07 "," 8,500.00 "," 2,269,770.30 "," 5,120,590.50 "," 5,402,583.26 "," 5,618,686.59 ","498,096.09"," 5,618,686.59 ",," 6,151,020.59 ",,,,,,,,,,,,,,,
91,Chatham,TRUE,91,Chatham, 44.28 ," 181,561.53 ", 6.37 ," 14,643.18 ", 1.99 ," 4,188.24 ", -   , -   ," 200,392.95 "," 111,011 "," 79,398,356.60 "," 12,471,076.65 ", -   , -   ," 89,381.95 "," 72,461.61 "," 75,360.07 ",0.00," 89,381.95 ",," 200,392.95 ",,,,,,,,,,,,,,,
93,Chester,TRUE,93,Chester, 731.67 ," 2,999,840.44 ", 38.20 ," 87,853.56 ", 142.29 ," 298,801.23 ", 13.00 ," 10,400.00 "," 3,396,895.23 "," 1,262,966 "," 946,014,945.94 "," 24,766,604.51 ", -   , -   ," 2,133,929.23 "," 2,481,061.62 "," 2,580,304.08 ","446,374.85"," 2,580,304.08 ",," 3,843,270.08 ",,,,,,,,,,,,,,,
95,Chesterfield,TRUE,95,Chesterfield, 379.22 ," 1,554,803.64 ", 62.21 ," 143,085.76 ", 44.03 ," 92,472.66 ", 3.79 ," 3,035.52 "," 1,793,397.58 "," 1,028,155 "," 724,786,968.82 "," 11,650,425.79 ", -   , -   ," 765,242.58 "," 794,047.20 "," 825,809.09 ","60,566.51"," 825,809.09 ",," 1,853,964.09 ",,,,,,,,,,,,,,,
99,Chichester,TRUE,99,Chichester, 297.35 ," 1,219,131.72 ", 56.55 ," 130,069.37 ", 52.26 ," 109,751.88 ", 1.00 , 800.00 ," 1,459,752.97 "," 615,904 "," 437,719,902.74 "," 7,740,144.94 ", -   , -   ," 843,848.97 "," 848,000.07 "," 881,920.07 ","38,071.10"," 881,920.07 ",," 1,497,824.07 ",,,,,,,,,,,,,,,
101,Claremont,TRUE,101,Claremont," 1,570.82 "," 6,440,369.38 ", 760.10 ," 1,748,223.79 ", 381.51 ," 801,166.38 ", 6.65 ," 5,322.32 "," 8,995,081.87 "," 1,396,185 "," 1,029,771,174.51 "," 1,354,788.62 "," 8,500.00 "," 6,460,827.05 "," 14,059,723.92 "," 13,734,077.13 "," 14,283,440.22 ","223,716.30"," 14,283,440.22 ",," 15,679,625.22 ",,,,,,,,,,,,,,,
103,Clarksville,TRUE,103,Clarksville, 22.29 ," 91,369.32 ", 7.30 ," 16,795.29 ", 5.00 ," 10,500.00 ", -   , -   ," 118,664.61 "," 117,872 "," 84,740,357.38 "," 11,604,611.89 ", -   , -   , 792.61 , -   , -   ,0.00, 792.61 ,," 118,664.61 ",,,,,,,,,,,,,,,
105,Colebrook,TRUE,105,Colebrook, 230.60 ," 945,466.97 ", 96.17 ," 221,197.21 ", 52.12 ," 109,461.03 ", -   , -   ," 1,276,125.21 "," 290,737 "," 223,953,365.26 "," 2,328,658.40 "," 7,261.28 "," 698,336.97 "," 1,683,725.18 "," 1,986,703.29 "," 2,066,171.42 ","382,446.24"," 2,066,171.42 ",," 2,356,908.42 ",,,,,,,,,,,,,,,
107,Columbia,TRUE,107,Columbia, 51.47 ," 211,028.23 ", 16.87 ," 38,796.86 ", 14.19 ," 29,789.55 ", -   , -   ," 279,614.64 "," 129,795 "," 125,600,635.01 "," 7,446,001.06 ", -   , -   ," 149,819.64 "," 325,697.98 "," 338,725.90 ","188,906.26"," 338,725.90 ",," 468,520.90 ",,,,,,,,,,,,,,,
111,Concord,TRUE,111,Concord," 3,728.16 "," 15,285,458.87 "," 1,452.33 "," 3,340,361.53 ", 719.05 ," 1,510,008.78 ", 190.86 ," 152,689.44 "," 20,288,518.62 "," 6,985,756 "," 5,105,821,013.00 "," 3,515,603.99 "," 5,243.47 "," 7,615,259.22 "," 20,918,021.84 "," 14,954,400.03 "," 15,552,576.03 ",0.00," 20,918,021.84 ",," 27,903,777.84 ",,,,,,,,,,,,,,,
113,Conway,TRUE,113,Conway," 1,067.09 "," 4,375,072.28 ", 396.81 ," 912,671.97 ", 179.92 ," 377,842.08 ", 17.17 ," 13,736.40 "," 5,679,322.73 "," 3,654,472 "," 2,653,677,109.35 "," 6,687,460.06 ", -   , -   ," 2,024,850.73 "," 2,503,511.40 "," 2,603,651.86 ","578,801.13"," 2,603,651.86 ",," 6,258,123.86 ",,,,,,,,,,,,,,,
115,Cornish,TRUE,115,Cornish, 160.76 ," 659,134.45 ", 19.31 ," 44,405.18 ", 27.66 ," 58,094.40 ", -   , -   ," 761,634.03 "," 342,942 "," 245,700,862.67 "," 12,726,262.66 ", -   , -   ," 418,692.03 "," 767,288.17 "," 797,979.70 ","379,287.67"," 797,979.70 ",," 1,140,921.70 ",,,,,,,,,,,,,,,
