"District
Public School
Adequacy

SFY 2023",,Calculated Cost of an Adequate Education,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,,,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",SWEPT Reduction Hold Harmless,,,Stabilization Aid,,Hold Harmless,,Adequacy Grant,,Final State Grant
,,Base Adequacy,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,,,,Special Education Aid,,English Language Learner Aid,,3rd Grade Reading Aid,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,Extraordinary Grant,,,,,Total Education Grant For the Purpose of Deterring SWEPT Hold Harmless Grant,SWEPT If No $100 Million Reduction Occurred,SWEPT Hold Harmless,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2023,Hold Harmless Grant, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2022 Grant Estimate ,,"   
Adequacy Grant

&

SWEPT Grant"
,, 2021-2022 Membership ,Base Adequacy Aid," Calculation of the Pre-Covid-19 F&R to Base ADM Ratio 

(2019-2020 F&R Over 2019-2020 Base ADM) ",,, HB2: Modified F&R Data Using Pre-Covid 19 Ratio ," 2021-2022
 F&R Membership "," Greater of the Two:
Modified F&R Data vs 2021-2022 Estimated F&R) ",Free or Reduced Differentiated Aid," 2021-2022
SPED Membership ",Special Education Differentiated Aid," 2021-2022
ELL Membership ",ELL Differentiated Aid," 2021-2022
3rd Grade Reading Membership ",3rd Grade Reading Differentiated Aid,,,"Under 12% F&R = $0 Relief
12.00% F&R  = $150 Grant Per F&R Pupil
113,Conway,"1,061.18","4,018,333.92","1,159.87",465.9,40.17%,426.28,332.26,426.28,"807,084.45",171.03,"348,411.00",12.82,"9,499.58",15.38,"11,391.77","5,194,720.72","2,505,537",40.17%,"214,045.85","198,448.85","4,924,408.17","59,605.43", Required , Yes ,"2,947,237.99","5,452,774.99","3,462,938.00", -   ,"793,690.00","793,690.00","3,501,032.28",,"3,740,927.99",,"6,246,464.99"
115,Cornish,147.64,"559,068.92",137.5,27.56,20.05%,29.6,26,29.6,"56,042.27",22.5,"45,834.98", -   , -   ,5,"3,704.35","664,650.52","245,756",20.05%,"7,418.50","6,877.93","6,953,016.68", -   ,  , N/A ,"425,772.45","671,528.45","339,662.00", -   ,"418,638.00","418,638.00","765,510.82",,"844,410.45",,"1,090,166.45"
117,Croydon,68.34,"258,790.95",83.11,23.81,28.64%,19.57,15.4,19.57,"37,052.27",14.02,"28,558.25", -   , -   ,1,740.87,"325,142.34","131,572",28.64%,"7,006.06","6,495.55","5,665,290.26",851.54, Required , Yes ,"200,917.42","332,489.42","181,848.00", -   ,"190,872.00","190,872.00","379,396.40",,"391,789.42",,"523,361.42"
119,Dalton,95.07,"360,010.26",113.23,57.4,50.70%,48.2,42.03,48.2,"91,258.02",29.08,"59,233.66", -   , -   ,1,740.87,"511,242.81","122,913",50.70%,"28,920.00","26,812.67","2,054,136.43","24,724.78", Required , Yes ,"439,867.26","562,780.26","169,879.00", -   ,"329,178.00","329,178.00","712,203.29",,"769,045.26",,"891,958.26"
123,Danbury,140.8,"533,147.34",139.43,53.34,38.25%,53.85,40.24,53.85,"101,955.28",20.23,"41,206.46",1.36,"1,008.40",2,"1,481.74","678,799.22","175,647",38.25%,"25,747.03","23,870.91","2,706,130.41","23,058.73", Required , Yes ,"550,081.86","725,728.86","242,764.00", -   ,"390,811.00","390,811.00","821,462.92",,"940,892.86",,"1,116,539.86"
125,Danville,571.08,"2,162,467.62",569.76,85.61,15.03%,85.83,75.55,85.83,"162,503.66",128.75,"262,273.43",3,"2,222.61",9,"6,667.83","2,596,135.15","615,405",15.03%,"16,125.31","14,950.30","6,045,965.34", -   ,  , N/A ,"1,995,680.45","2,611,085.45","850,560.00", -   ,"1,082,128.00","1,082,128.00","2,898,121.26",,"3,077,808.45",,"3,693,213.45"
127,Deerfield,672.61,"2,546,951.44",677.62,102.27,15.09%,101.5,75.14,101.5,"192,171.98",141.91,"289,087.91",1,740.87,12.2,"9,036.02","3,037,988.22","849,932",15.09%,"19,145.44","17,750.36","7,476,047.74", -   ,  , N/A ,"2,205,806.58","3,055,738.58","1,174,703.00", -   ,"341,247.00","341,247.00","2,412,912.11",,"2,547,053.58",,"3,396,985.58"
129,Deering,179.11,"678,235.87",188.11,77.95,41.44%,74.22,60.94,74.22,"140,522.21",36.99,"75,355.14", -   , -   ,3,"2,222.61","896,335.83","294,693",41.44%,"38,445.96","35,644.50","3,404,460.27","25,043.32", Required , Yes ,"662,330.65","957,023.65","407,299.00", -   ,"398,400.00","398,400.00","1,005,962.83",,"1,060,730.65",,"1,355,423.65"
131,Derry,"4,590.40","17,382,302.24","4,714.56","1,051.61",22.31%,"1,024.12",840.62,"1,024.12","1,938,986.88","1,054.76","2,148,660.92",42.33,"31,357.40",59.68,"44,217.57","21,545,525.01","4,786,918",22.31%,"285,601.47","264,790.38","3,850,621.04","286,158.86", Required , Yes ,"17,309,556.25","22,096,474.25","6,616,065.00", -   ,"8,658,713.00","8,658,713.00","24,227,318.23",,"25,968,269.25",,"30,755,187.25"
133,Dix's Grant, -   , -   , -   , -   ,0.00%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,416",0.00%, -   , -   , -   ,,  , N/A , -   ,"1,416.00","1,956.00",540, -   , -   ,513.37,,540,,"1,956.00"
134,Dixville, -   , -   , -   , -   ,0.00%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"11,762",0.00%, -   , -   , -   ,,  , N/A , -   ,"11,762.00","16,256.00","4,494.00","8,706.00", -   ,"4,269.50",,"4,494.00",,"16,256.00"
139,Dorchester,32.68,"123,732.14",31.22,15.18,48.64%,15.89,15,15.89,"30,084.85",9,"18,333.99", -   , -   , -   , -   ,"172,150.98","60,077",48.63%,"9,534.00","8,839.28","3,140,878.50","5,906.09", Required , Yes ,"126,819.35","186,896.35","83,033.00", -   ,"180,839.00","180,839.00","277,136.12",,"307,658.35",,"367,735.35"
