"District
Public School
Adequacy

SFY 2023",,Calculated Cost of an Adequate Education,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,,,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",SWEPT Reduction Hold Harmless,,,Stabilization Aid,,Hold Harmless,,Adequacy Grant,,Final State Grant
,,Base Adequacy,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,,,,Special Education Aid,,English Language Learner Aid,,3rd Grade Reading Aid,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,Extraordinary Grant,,,,,Total Education Grant For the Purpose of Deterring SWEPT Hold Harmless Grant,SWEPT If No $100 Million Reduction Occurred,SWEPT Hold Harmless,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2023,Hold Harmless Grant, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2022 Grant Estimate ,,"   
Adequacy Grant

&

SWEPT Grant"
,, 2021-2022 Membership ,Base Adequacy Aid," Calculation of the Pre-Covid-19 F&R to Base ADM Ratio 

(2019-2020 F&R Over 2019-2020 Base ADM) ",,, HB2: Modified F&R Data Using Pre-Covid 19 Ratio ," 2021-2022
 F&R Membership "," Greater of the Two:
Modified F&R Data vs 2021-2022 Estimated F&R) ",Free or Reduced Differentiated Aid," 2021-2022
SPED Membership ",Special Education Differentiated Aid," 2021-2022
ELL Membership ",ELL Differentiated Aid," 2021-2022
3rd Grade Reading Membership ",3rd Grade Reading Differentiated Aid,,,"Under 12% F&R = $0 Relief
12.00% F&R  = $150 Grant Per F&R Pupil
473,Salem,"3,456.71","13,089,369.96","3,470.59",629.5,18.14%,627.05,609.36,627.05,"1,187,206.31",537.41,"1,094,770.82",76.86,"56,941.49",68.42,"50,687.44","15,478,976.02","7,264,594",18.14%,"142,183.59","131,823.02","9,595,776.03", -   ,  , N/A ,"8,346,205.04","15,610,799.04","10,040,496.00", -   , -   , -   ,"7,789,699.52",,"8,346,205.04",,"15,610,799.04"
475,Salisbury,156.83,"593,875.52",169.83,30.96,18.23%,28.59,15.86,28.59,"54,130.02",31.75,"64,680.48", -   , -   ,4,"2,963.48","715,649.50","200,258",18.23%,"6,514.95","6,040.22","6,089,849.13", -   ,  , N/A ,"521,431.72","721,689.72","276,780.00", -   ,"64,567.00","64,567.00","577,346.36",,"585,998.72",,"786,256.72"
477,Sanbornton,299.72,"1,134,920.32",316.94,66.13,20.86%,62.52,82.31,82.31,"155,839.17",53.88,"109,752.56", -   , -   ,4,"2,963.48","1,403,475.53","712,888",27.46%,"28,252.91","26,194.19","7,148,409.23", -   ,  , N/A ,"716,781.72","1,429,669.72","985,292.00", -   ,"170,541.00","170,541.00","864,905.44",,"887,322.72",,"1,600,210.72"
479,Sandown,914.64,"3,463,429.95",965.66,115.31,11.94%,109.21,71.05,109.21,"206,769.48",229.25,"467,017.04",4.5,"3,333.92",17.34,"12,849.95","4,153,400.34","1,040,799",11.94%, -   , -   ,"7,849,106.74", -   ,  , N/A ,"3,112,601.34","4,153,400.34","1,438,503.00", -   ,"1,397,719.00","1,397,719.00","4,223,897.00",,"4,510,320.34",,"5,551,119.34"
483,Sandwich,130.67,"494,813.84",135.18,32.96,24.38%,31.86,19,31.86,"60,321.18",13.53,"27,557.21", -   , -   ,3,"2,222.61","584,914.84","607,555",24.38%, -   , -   ,"15,791,772.95", -   ,  , N/A , -   ,"607,555.00","839,710.00","232,155.00", -   , -   ,"220,547.72",,"232,155.00",,"839,710.00"
485,Seabrook,947.62,"3,588,318.91",953.79,359.32,37.67%,356.97,373.4,373.4,"706,965.69",160.79,"327,545.49",25.66,"19,010.50",19.38,"14,355.17","4,656,195.76","2,418,784",39.40%,"183,899.50","170,499.19","8,294,989.84", -   ,  , N/A ,"2,407,910.95","4,826,694.95","3,343,035.00", -   ,"79,050.00","79,050.00","2,332,548.93",,"2,486,960.95",,"4,905,744.95"
487,Sharon,41.57,"157,421.30",46.11,3,6.51%,2.71,1.98,2.71,"5,130.90",6.81,"13,881.89", -   , -   ,1,740.87,"177,174.96","70,376",6.52%, -   , -   ,"21,427,698.45", -   ,  , N/A ,"106,798.96","177,174.96","97,267.00", -   ,"28,775.00","28,775.00","136,872.61","1,298.65","136,872.61",,"207,248.61"
489,Shelburne,30.79,"116,582.17",31.19,7.62,24.42%,7.52,5.55,7.52,"14,237.77",4.18,"8,515.12", -   , -   , -   , -   ,"139,335.06","62,609",24.43%,"2,296.42","2,129.09","10,811,022.84", -   ,  , N/A ,"78,855.15","141,464.15","86,533.00", -   ,"58,638.00","58,638.00","161,790.43","24,297.29","161,790.43",,"224,399.43"
491,Somersworth,"1,319.76","4,997,468.39","1,454.77",657.14,45.17%,596.13,543.37,596.13,"1,128,664.85",275.52,"561,261.29",64.9,"48,080.83",30.41,"22,529.19","6,758,004.55","1,500,784",45.17%,"336,589.90","312,063.41","2,078,159.29","303,930.50", Required , Yes ,"5,873,214.46","7,373,998.46","2,074,255.00", -   ,"2,249,150.00","2,249,150.00","7,466,181.54",,"8,122,364.46",,"9,623,148.46"
495,South Hampton,112.08,"424,422.48",108.36,3,2.77%,3.1,5.73,5.73,"10,848.72",28.73,"58,523.32", -   , -   ,3,"2,222.61","496,017.13","212,998",5.11%, -   , -   ,"30,966,517.61", -   ,  , N/A ,"283,019.13","496,017.13","294,387.00", -   ,"19,516.00","19,516.00","252,619.71",,"302,535.13",,"515,533.13"
497,Springfield,171.62,"649,872.65",178.97,14,7.82%,13.42,11.96,13.42,"25,408.35",29,"59,076.19", -   , -   ,2,"1,481.74","735,838.93","285,738",7.82%, -   , -   ,"17,848,323.06", -   ,  , N/A ,"450,100.93","735,838.93","394,922.00", -   ,"43,324.00","43,324.00","461,851.41",,"493,424.93",,"779,162.93"
499,Stark,51.82,"196,212.23",49.66,16.61,33.44%,17.33,20,20,"37,866.40",5,"10,185.55", -   , -   ,0.82,605.07,"244,869.25","79,679",38.60%,"9,650.00","8,946.83","4,169,834.24","4,758.43", Required , Yes ,"178,895.51","258,574.51","110,126.00", -   ,"181,655.00","181,655.00","333,458.65",,"360,550.51",,"440,229.51"
501,Stewartstown,89.25,"337,951.45",95.24,49.21,51.67%,46.11,36.13,46.11,"87,300.99",17.24,"35,116.72", -   , -   ,1,740.87,"461,110.03","120,019",51.67%,"27,666.00","25,650.05","2,622,590.93","20,245.20", Required , Yes ,"386,986.28","507,005.28","165,880.00", -   ,"195,521.00","195,521.00","529,917.47",,"582,507.28",,"702,526.28"
503,Stoddard,150.52,"569,949.13",154.54,45.54,29.47%,44.36,55.62,55.62,"105,306.46",35.87,"73,072.15",1,740.87,3.27,"2,420.20","751,488.81","382,078",36.95%,"25,689.49","23,817.56","5,753,534.96",,, N/A ,"393,228.37","775,306.37","528,075.00", -   , -   , -   ,"354,825.10",,"393,228.37",,"775,306.37"
507,Strafford,618.55,"2,342,222.26",637.07,63.36,9.94%,61.48,66.89,66.89,"126,644.17",101.85,"207,474.97", -   , -   ,13.6,"10,075.83","2,686,417.23","805,900",10.81%, -   , -   ,"9,909,758.22", -   ,  , N/A ,"1,880,517.23","2,686,417.23","1,113,845.00", -   ,"639,922.00","639,922.00","2,365,470.89",,"2,520,439.23",,"3,326,339.23"
509,Stratford,72.41,"274,203.03",72.99,54.2,74.26%,53.77,43.91,53.77,"101,803.82",24.24,"49,374.86", -   , -   , -   , -   ,"425,381.71","60,570",74.25%,"32,262.00","29,911.15","1,638,550.13","30,486.97", Required , Yes ,"425,209.83","485,779.83","83,715.00", -   ,"489,246.00","489,246.00","860,518.59",,"914,455.83",,"975,025.83"
511,Stratham,"1,127.73","4,270,346.74","1,231.33",45.41,3.69%,41.61,24.03,41.61,"78,781.05",157.24,"320,324.34",8.14,"6,033.94",30.41,"22,526.60","4,698,012.67","2,017,101",3.69%, -   , -   ,"40,203,515.26", -   ,  , N/A ,"2,680,911.67","4,698,012.67","2,787,862.00", -   , -   , -   ,"2,523,747.56",,"2,680,911.67",,"4,698,012.67"
512,Sugar Hill,62.51,"236,706.77",62.62,16.69,26.65%,16.66,8.76,16.66,"31,542.71",10.47,"21,321.82", -   , -   , -   , -   ,"289,571.30","213,750",26.65%,"5,549.86","5,145.46","10,728,570.19", -   ,  , N/A ,"80,966.76","294,716.76","295,427.00",710.24, -   , -   ,"77,593.18",,"81,677.00",,"295,427.00"
513,Sullivan,76.67,"290,326.25",78.26,32.59,41.65%,31.93,24.18,31.93,"60,453.71",12.75,"25,968.26",1,740.87,4,"2,963.48","380,452.57","74,268",41.65%,"16,623.56","15,412.24","2,034,050.75","16,462.26", Required , Yes ,"338,059.07","412,327.07","102,647.00", -   ,"398,234.00","398,234.00","654,803.28",,"736,293.07",,"810,561.07"
514,Success, -   , -   , -   , -   ,0.00%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"17,880",0.00%, -   , -   , -   ,,  , N/A , -   ,"17,880.00","24,712.00","6,832.00", -   , -   ,"6,490.09",,"6,832.00",,"24,712.00"
515,Sunapee,337.06,"1,276,336.16",375.35,76.57,20.40%,68.76,84.26,84.26,"159,531.14",55.19,"112,425.66", -   , -   ,2,"1,481.74","1,549,774.70","1,812,575",25.00%, -   , -   ,"17,730,703.09", -   ,  , N/A , -   ,"1,812,575.00","2,505,185.00","692,610.00","18,441.00", -   ,"657,979.80",,"692,610.00",,"2,505,185.00"
519,Surry,110.33,"417,768.19",118.93,22.34,18.79%,20.73,14.06,20.73,"39,248.52",13,"26,482.43",1,740.87,2,"1,481.74","485,721.75","115,913",18.79%,"4,868.96","4,514.17","4,644,509.42","3,652.91", Required , Yes ,"377,975.83","493,888.83","160,204.00", -   ,"68,004.00","68,004.00","411,141.08",,"445,979.83",,"561,892.83"
521,Sutton,245.19,"928,457.22",260.27,62.04,23.84%,58.45,37.6,58.45,"110,664.55",29.88,"60,864.37",0.51,374.58,2,"1,481.74","1,101,842.46","407,764",23.84%,"17,418.10","16,148.89","5,743,421.19","1,949.61", Required , Yes ,"712,176.96","1,119,940.96","563,576.00", -   , -   , -   ,"661,932.16",,"712,176.96",,"1,119,940.96"
523,Swanzey,807.08,"3,056,146.64",813.37,316.67,38.93%,314.2,263.61,314.2,"594,881.14",139.3,"283,773.29",8.76,"6,493.28",10.52,"7,791.88","3,949,086.23","810,173",38.93%,"152,897.58","141,756.30","2,178,097.60","156,109.43", Required , Yes ,"3,436,778.96","4,246,951.96","1,119,751.00", -   ,"2,769,932.00","2,769,932.00","5,784,539.41",,"6,206,710.96",,"7,016,883.96"
525,Tamworth,282.19,"1,068,568.19",290.95,146.86,50.48%,142.45,132.35,142.45,"269,703.43",66.84,"136,170.21",2,"1,481.74",4.63,"3,432.23","1,479,355.80","513,948",50.48%,"85,470.00","79,242.01","3,025,997.94",,, N/A ,"1,044,649.81","1,558,597.81","710,335.00", -   ,"111,214.00","111,214.00","1,092,733.34",,"1,155,863.81",,"1,669,811.81"
527,Temple,112.68,"426,666.84",140.16,19.8,14.12%,15.91,15.86,15.91,"30,122.72",20.01,"40,754.02", -   , -   ,4,"2,963.48","500,507.06","206,599",14.12%,"2,808.12","2,603.50","10,766,245.95", -   ,  , N/A ,"296,511.56","503,110.56","285,544.00", -   ,"84,695.00","84,695.00","402,578.25","21,371.69","402,578.25",,"609,177.25"
531,Thornton,286.62,"1,085,318.48",307.21,98.95,32.21%,92.32,66.31,92.32,"174,791.30",47.21,"96,170.54", -   , -   ,6,"4,445.22","1,360,725.54","566,910",32.21%,"37,170.34","34,461.83","5,100,083.24","10,800.44", Required , Yes ,"839,077.81","1,405,987.81","783,535.00", -   ,"153,102.00","153,102.00","915,608.66",,"992,179.81",,"1,559,089.81"
532,Tilton,427.41,"1,618,471.88",437.4,174.82,39.97%,170.84,183.47,183.47,"347,367.42",93.04,"189,532.71",7.47,"5,531.41",5.74,"4,252.67","2,165,156.09","791,529",42.93%,"98,454.59","91,280.44","3,705,250.50","54,732.30", Required , Yes ,"1,519,639.83","2,311,168.83","1,093,983.00", -   ,"566,664.00","566,664.00","1,817,770.72",,"2,086,303.83",,"2,877,832.83"
535,Troy,285.7,"1,081,846.87",311.38,131.34,42.18%,120.51,115.61,120.51,"228,163.99",59.52,"121,240.23",1,740.87,8,"5,926.96","1,437,918.92","180,339",42.18%,"63,538.90","58,908.97","1,362,928.75","72,645.75", Required , Yes ,"1,389,134.64","1,569,473.64","249,249.00", -   ,"1,085,559.00","1,085,559.00","2,278,930.04",,"2,474,693.64",,"2,655,032.64"
537,Tuftonboro,226.54,"857,817.46",247.55,84.38,34.09%,77.23,51.88,77.23,"146,221.10",37.71,"76,816.77", -   , -   ,4,"2,963.48","1,083,818.81","1,624,383",34.09%, -   , -   ,"17,304,269.21",,, N/A , -   ,"1,624,383.00","2,245,083.00","620,700.00","201,448.00", -   ,"589,664.72",,"620,700.00",,"2,245,083.00"
539,Unity,132.02,"499,920.15",135.33,48.19,35.61%,47.01,32.32,47.01,"89,004.97",22.19,"45,199.80", -   , -   ,4,"2,963.48","637,088.40","172,316",35.61%,"20,925.33","19,400.55","3,058,451.62","17,976.68", Required , Yes ,"502,149.64","674,465.64","238,161.00", -   ,"426,902.00","426,902.00","868,060.72",,"929,051.64",,"1,101,367.64"
543,Wakefield,618.57,"2,342,319.96",644.56,267.57,41.51%,256.77,182.54,256.77,"486,147.78",111.79,"227,729.34",1,740.87,21.42,"15,872.84","3,072,810.79","1,625,365",41.51%,"133,231.53","123,523.27","5,229,021.22","25,735.35", Required , Yes ,"1,596,704.41","3,222,069.41","2,246,440.00", -   ,"644,897.00","644,897.00","2,114,508.47",,"2,241,601.41",,"3,866,966.41"
545,Walpole,388.08,"1,469,524.36",397.73,117.85,29.63%,114.99,68.62,114.99,"217,712.87",57.66,"117,464.45",3,"2,222.61",7,"5,186.09","1,812,110.38","616,002",29.63%,"42,589.42","39,486.03","4,281,495.28","25,689.41", Required , Yes ,"1,261,283.82","1,877,285.82","851,385.00", -   ,"386,221.00","386,221.00","1,539,994.20",,"1,647,504.82",,"2,263,506.82"
547,Warner,355.28,"1,345,323.43",341.81,78.89,23.08%,82,72.13,82,"155,252.24",56.44,"114,976.53",1,740.87,5.88,"4,358.76","1,620,651.83","412,201",23.08%,"23,657.00","21,933.17","4,203,533.66","19,150.33", Required , Yes ,"1,249,534.33","1,661,735.33","569,709.00", -   ,"228,711.00","228,711.00","1,377,113.64",,"1,478,245.33",,"1,890,446.33"
549,Warren,88.38,"334,655.17",95.84,43.22,45.09%,39.85,43.18,43.18,"81,753.56",19.43,"39,575.34", -   , -   ,1,740.87,"456,724.94","102,538",48.86%,"25,908.00","24,020.15","2,339,200.92","20,549.53", Required , Yes ,"398,756.62","501,294.62","141,719.00", -   ,"421,988.00","421,988.00","764,887.10",,"820,744.62",,"923,282.62"
551,Washington,114.16,"432,279.43",116.89,44.98,38.48%,43.93,38.22,43.93,"83,173.55",15.43,"31,432.81", -   , -   ,2,"1,481.74","548,367.53","346,772",38.48%,"21,130.33","19,590.61","6,545,166.92", -   ,  , N/A ,"221,186.14","567,958.14","479,279.00", -   , -   , -   ,"213,390.64",,"221,186.14",,"567,958.14"
553,Waterville Valley,55.65,"210,734.44",20.28,1,4.93%,2.74,1,2.74,"5,187.70",12,"24,445.32",5,"3,704.35",2,"1,481.74","245,553.55","427,471",4.92%, -   , -   ,"127,427,546.62", -   ,  , N/A , -   ,"427,471.00","590,813.00","163,342.00", -   , -   ,"155,175.07",,"163,342.00",,"590,813.00"
555,Weare,"1,259.52","4,769,369.84","1,363.04",216.48,15.88%,200.01,141.39,200.01,"378,682.93",255.73,"520,944.64",9.25,"6,855.20",23.45,"17,375.03","5,693,227.64","1,346,758",15.88%,"39,701.99","36,809.00","5,682,144.23",,, N/A ,"4,383,278.64","5,730,036.64","1,861,373.00", -   ,"3,125,899.00","3,125,899.00","7,140,206.50",,"7,509,177.64",,"8,855,935.64"
557,Webster,199.26,"754,525.33",225.77,48.31,21.40%,42.64,39.67,42.64,"80,731.16",50.25,"102,370.48", -   , -   ,2,"1,481.74","939,108.71","328,649",21.40%,"11,406.20","10,575.06","6,841,399.82", -   ,  , N/A ,"621,034.77","949,683.77","454,231.00", -   ,"12,839.00","12,839.00","615,094.46",,"633,873.77",,"962,522.77"
559,Wentworth,97.09,"367,643.03",94.58,34.97,36.97%,35.89,25,35.89,"67,951.25",22,"44,816.42",1,740.87,3,"2,222.61","483,374.18","132,707",36.97%,"16,585.67","15,377.11","3,286,208.05","12,661.74", Required , Yes ,"378,706.03","511,413.03","183,415.00", -   ,"297,453.00","297,453.00","627,299.72",,"676,159.03",,"808,866.03"
561,Wentworth's Location, -   , -   , -   , -   ,0.00%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"10,736",0.00%, -   , -   , -   ,,  , N/A , -   ,"10,736.00","14,838.00","4,102.00", -   , -   ,"3,897.02",,"4,102.00",,"14,838.00"
563,Westmoreland,168.14,"636,705.30",201.83,31.94,15.83%,26.62,23.98,26.62,"50,400.18",34.14,"69,555.90", -   , -   ,4,"2,963.48","759,624.86","237,660",15.83%,"5,267.43","4,883.61","7,354,127.22", -   ,  , N/A ,"526,848.47","764,508.47","328,474.00", -   ,"242,579.00","242,579.00","702,874.27",,"769,427.47",,"1,007,087.47"
567,Whitefield,257.79,"976,170.28",260.32,146.66,56.34%,145.24,118.94,145.24,"274,985.80",62.85,"128,041.73",2.63,"1,946.27",2,"1,481.74","1,382,625.82","285,850",56.34%,"87,144.00","80,794.03","1,764,645.80","79,968.57", Required , Yes ,"1,257,538.42","1,543,388.42","395,078.00", -   ,"838,190.00","838,190.00","1,917,334.52",,"2,095,728.42",,"2,381,578.42"
569,Wilmot,179.73,"680,558.60",158.22,17.89,11.31%,20.33,20.91,20.91,"39,589.32",19.28,"39,271.20", -   , -   ,4,"2,963.48","762,382.60","275,023",11.63%, -   , -   ,"10,907,301.71", -   ,  , N/A ,"487,359.60","762,382.60","380,113.00", -   ,"81,042.00","81,042.00","483,425.41",,"568,401.60",,"843,424.60"
571,Wilton,417.88,"1,582,364.18",414.23,120.01,28.97%,121.06,104.19,121.06,"229,205.32",80.79,"164,570.58", -   , -   ,14.38,"10,656.53","1,986,796.61","579,536",28.97%,"43,838.85","40,644.42","3,939,353.44","32,430.04", Required , Yes ,"1,480,335.07","2,059,871.07","800,984.00", -   ,"67,411.00","67,411.00","1,474,776.85",,"1,547,746.07",,"2,127,282.07"
573,Winchester,476.7,"1,805,081.89",522.92,284.59,54.42%,259.42,210.62,259.42,"491,165.07",118.61,"241,631.19",2,"1,481.74",8,"5,926.96","2,545,286.85","375,661",54.42%,"155,652.00","144,310.02","1,330,108.03","157,490.24", Required , Yes ,"2,471,426.10","2,847,087.10","519,206.00", -   ,"1,854,823.00","1,854,823.00","3,908,416.19",,"4,326,249.10",,"4,701,910.10"
575,Windham,"2,991.93","11,329,417.49","2,960.51",71.86,2.43%,72.7,66.95,72.7,"137,644.36",499,"1,016,512.80",61.65,"45,675.08",44.85,"33,228.39","12,562,478.12","3,963,511",2.43%, -   , -   ,"44,876,730.91", -   ,  , N/A ,"8,598,967.12","12,562,478.12","5,478,023.00", -   , -   , -   ,"8,093,937.68",,"8,598,967.12",,"12,562,478.12"
579,Windsor,8.87,"33,584.27",15,8,53.33%,4.73,3,4.73,"8,955.40", -   , -   , -   , -   ,1,740.87,"43,280.54","34,923",53.33%,"2,838.00","2,631.20","6,158,567.33", -   ,  , N/A ,"10,988.74","45,911.74","48,267.00","2,355.26","65,534.00","65,534.00","74,934.23",,"78,878.00",,"113,801.00"
583,Wolfeboro,608.57,"2,304,443.89",700.74,201,28.68%,174.54,134.11,174.54,"330,460.07",63.31,"128,971.27",1.3,960.54,10,"7,408.70","2,772,244.47","3,171,553",28.68%, -   , -   ,"14,760,234.81",,, N/A , -   ,"3,171,553.00","4,383,448.00","1,211,895.00","129,926.00", -   ,"1,151,300.05",,"1,211,895.00",,"4,383,448.00"
585,Woodstock,139.88,"529,693.15",147.07,66.1,44.94%,62.86,46.56,62.86,"119,014.10",31,"63,150.41", -   , -   ,4,"2,963.48","714,821.14","363,750",44.94%,"35,311.61","32,738.54","4,802,186.07",,, N/A ,"383,809.68","747,559.68","502,743.00", -   ,"103,906.00","103,906.00","441,812.45",,"487,715.68",,"851,465.68"
417,Orford,122,"461,991.07",119.76,27,22.55%,27.51,52.98,52.98,"100,308.09",24,"48,890.64", -   , -   , -   , -   ,"611,189.80","203,043",43.42%,"28,754.90","26,659.60","3,156,578.37","19,583.78", Required , Yes ,"454,390.18","657,433.18","280,629.00", -   ,"54,251.00","54,251.00","451,736.52",,"508,641.18",,"711,684.18"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,ATK. & GILMANTON ACAD.,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   ,"1,097",,,,,,  , N/A , -   ,"1,097.00","1,516.00",419,, -   , -   ,,419,,"1,516.00"
b,BEAN'S GRANT,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   , -   ,,,,,,  , N/A , -   , -   , -   , -   ,, -   , -   ,, -   ,, -   
c,BEAN'S PURCHASE,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   , -   ,,,,,,  , N/A , -   , -   , -   , -   ,, -   , -   ,, -   ,, -   
d,CHANDLER'S PURCHASE,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   ,52,,,,,,  , N/A , -   ,52,72,20,, -   , -   ,,20,,72
e,CRAWFORD'S PURCH.,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   ,324,,,,,,  , N/A , -   ,324,448,124,, -   , -   ,,124,,448
f,CUTT'S GRANT,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   , -   ,,,,,,  , N/A , -   , -   , -   , -   ,, -   , -   ,, -   ,, -   
g,ERVING'S GRANT,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   ,71,,,,,,  , N/A , -   ,71,99,28,, -   , -   ,,28,,99
h,GREEN'S GRANT,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   ,"11,285",,,,,,  , N/A , -   ,"11,285.00","15,598.00","4,313.00",, -   , -   ,,"4,313.00",,"15,598.00"
i,HADLEY'S PURCH.,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   , -   ,,,,,,  , N/A , -   , -   , -   , -   ,, -   , -   ,, -   ,, -   
j,KILKENNY,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   , -   ,,,,,,  , N/A , -   , -   , -   , -   ,, -   , -   ,, -   ,, -   
k,LIVERMORE,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   ,168,,,,,,  , N/A , -   ,168,232,64,, -   , -   ,,64,,232
l,LOW & BURBANK GR.,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   , -   ,,,,,,  , N/A , -   , -   , -   , -   ,, -   , -   ,, -   ,, -   
m,SARGENT'S PURCHASE,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   ,"2,667",,,,,,  , N/A , -   ,"2,667.00","3,686.00","1,019.00",, -   , -   ,,"1,019.00",,"3,686.00"
n,SECOND COLLEGE GR.,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   ,"1,966",,,,,,  , N/A , -   ,"1,966.00","2,718.00",752,, -   , -   ,,752,,"2,718.00"
o,THOM. & MES. PURCH.,, -   ,,,, -   ,0, -   , -   ,0, -   ,0, -   , -   , -   , -   ,"8,014",,,,,,  , N/A , -   ,"8,014.00","11,076.00","3,062.00",, -   , -   ,,"3,062.00",,"11,076.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,5,,
