,,,,,,,,,,,,,,,,,,
BUILDING AID DISTRIBUTION FY25-FY41,,,,,,,,,,,,,,,,,,
"Last revised: July 1, 2025",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DISTRICT,SAU,2024 - 2025,2025 - 2026,2026 - 2027,2027 - 2028,2028 - 2029,2029 - 2030,2030 - 2031,2031 - 2032,2032 - 2033,2033 - 2034,2034 - 2035,2035 - 2036,2036 - 2037,2037 - 2038,2038 - 2039,2039 - 2040,2040 - 2041
Wakefield,64, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Warren,23, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Washington,34, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Waterville Valley,48, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Weare,24," $369,684 "," $369,688 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Wentworth,48, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Westmoreland,29, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
White Mountains Reg.,36, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Wilton-Lyndeborough,63, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Winchester,94, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Windham,95," $602,995 "," $602,995 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Winnacunnet Co-op,21," $1,039,839 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Winnisquam Regional,59," $136,297 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Totals,," $41,192,647 "," $30,302,315 "," $12,000,109 "," $9,645,376 "," $6,030,783 "," $5,473,300 "," $4,185,391 "," $3,795,544 "," $2,772,725 "," $2,521,718 "," $2,372,790 "," $2,167,684 "," $1,995,909 "," $1,777,167 "," $1,733,117 "," $1,687,367 "," $743,585 "
,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,
1. Distribution for 2026-2027 is based on the assumption that the initial and final payments for the district's new construction project will be made in those fiscal years. It is possilbe that the final payment may fall in different fiscal year depending upon the time of project completion.,,,,,,,,,,,,,,,,,,
