,,,Loc #,State Total,"154,925.43","647,898,128.65 ","41,749.19","97,943,593.71 ","31,471.30 ","67,411,519.29 ","5,454.57","4,450,925.24 ",39.46 ,"165,038.87 "," 817,869,205.76 "," 364,350,537 ","311,943,286,262",,," $158,650,596.05 "," 640,566,313.35 "," 598,639,134.52 "," 622,584,699.90 "," 59,449,971.16 ",, -   ," 700,016,284.46 ",,"1,064,366,821.46 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Plaistow,TRUE,443,Plaistow, 948.58 ," 3,966,947.34 ", 171.75 ," 402,923.62 ", 209.76 ," 449,295.85 ", 12.88 ," 10,506.57 ", 0.30 ," 1,254.60 "," 4,830,927.98 "," 2,094,255 "," 1,768,018,681.29 "," 10,294,188.74 ", -   , -   ," 2,736,672.98 "," 2,290,479.27 "," 2,382,098.44 ",0.00,"2,762,215.70", -   ," 2,736,672.98 ",," 4,830,927.98 ",,,,,,,,,
447,Plymouth,TRUE,447,Plymouth, 587.16 ," 2,455,494.34 ", 186.08 ," 436,539.93 ", 108.31 ," 231,992.31 ", 12.31 ," 10,042.43 ", 0.68 ," 2,822.85 "," 3,136,891.86 "," 968,441 "," 831,408,057.04 "," 4,468,052.48 "," 3,848.71 "," 716,161.94 "," 2,884,612.80 "," 3,906,208.09 "," 4,062,456.41 ","1,177,843.61","4,062,456.41", -   ," 4,062,456.41 ",," 5,030,897.41 ",,,,,,,,,
449,Portsmouth,TRUE,449,Portsmouth," 2,074.23 "," 8,674,447.01 ", 370.66 ," 869,562.96 ", 416.64 ," 892,449.95 ", 73.12 ," 59,663.88 ", 0.23 , 940.95 ," 10,497,064.75 "," 11,062,049 "," 9,336,287,605.48 "," 25,188,435.60 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 11,062,049.00 ",,,,,,,,,
451,Randolph,TRUE,451,Randolph, 22.00 ," 92,004.00 ", 6.00 ," 14,076.00 ", 5.00 ," 10,710.00 ", -   , -   , -   , -   ," 116,790.00 "," 121,174 "," 117,543,442.25 "," 19,590,573.71 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 121,174.00 ",,,,,,,,,
453,Raymond,TRUE,453,Raymond," 1,098.33 "," 4,593,204.77 ", 289.16 ," 678,380.39 ", 216.14 ," 462,973.81 ", 8.65 ," 7,057.18 ", -   , -   ," 5,741,616.15 "," 2,046,116 "," 1,714,174,647.34 "," 5,928,021.81 "," 1,366.76 "," 395,219.59 "," 4,090,719.74 "," 5,096,780.29 "," 5,300,651.50 ","1,209,931.76","5,300,651.50", -   ," 5,300,651.50 ",," 7,346,767.50 ",,,,,,,,,
455,Richmond,TRUE,455,Richmond, 127.73 ," 534,187.35 ", 48.72 ," 114,289.61 ", 22.00 ," 47,124.00 ", 1.00 , 816.00 , -   , -   ," 696,416.96 "," 203,461 "," 180,257,552.73 "," 3,700,110.70 "," 5,154.21 "," 251,096.71 "," 744,052.67 "," 861,001.21 "," 895,441.26 ","151,388.59","895,441.26", -   ," 895,441.26 ",," 1,098,902.26 ",,,,,,,,,
459,Rindge,TRUE,459,Rindge, 534.42 ," 2,234,950.71 ", 131.95 ," 309,543.44 ", 89.54 ," 191,799.82 ", 1.98 ," 1,613.07 ", -   , -   ," 2,737,907.04 "," 1,373,290 "," 1,152,021,543.91 "," 8,731,060.65 ", -   , -   ," 1,364,617.04 "," 1,228,572.89 "," 1,277,715.81 ",0.00,"1,378,587.13", -   ," 1,364,617.04 ",," 2,737,907.04 ",,,,,,,,,
461,Rochester,TRUE,461,Rochester," 3,603.85 "," 15,071,314.92 "," 1,531.39 "," 3,592,645.87 ", 813.77 ," 1,743,099.41 ", 74.21 ," 60,553.73 ", 1.05 ," 4,391.10 "," 20,472,005.03 "," 5,602,491 "," 4,798,203,119.24 "," 3,133,229.64 "," 6,117.91 "," 9,368,918.45 "," 24,238,432.48 "," 23,411,784.95 "," 24,348,256.35 ","109,823.87","24,348,256.35", -   ," 24,348,256.35 ",," 29,950,747.35 ",,,,,,,,,
463,Rollinsford,TRUE,463,Rollinsford, 282.89 ," 1,183,065.64 ", 40.53 ," 95,089.25 ", 30.96 ," 66,317.82 ", -   , -   , -   , -   ," 1,344,472.71 "," 569,531 "," 475,231,971.99 "," 11,724,714.04 ", -   , -   ," 774,941.71 "," 624,238.34 "," 649,207.87 ",0.00,"792,868.24", -   ," 774,941.71 ",," 1,344,472.71 ",,,,,,,,,
465,Roxbury,TRUE,465,Roxbury, 21.45 ," 89,684.66 ", 5.50 ," 12,912.15 ", 2.00 ," 4,284.00 ", -   , -   , -   , -   ," 106,880.81 "," 43,099 "," 36,713,846.52 "," 6,670,514.82 ", 104.52 , 575.29 ," 64,357.10 "," 90,180.13 "," 93,787.34 ","29,430.24","93,787.34", -   ," 93,787.34 ",," 136,886.34 ",,,,,,,,,
467,Rumney,TRUE,467,Rumney, 133.53 ," 558,421.62 ", 54.67 ," 128,257.46 ", 33.03 ," 70,756.04 ", 1.00 , 816.00 , -   , -   ," 758,251.12 "," 393,642 "," 347,602,622.16 "," 6,358,115.45 ", 635.60 ," 34,748.90 "," 399,358.02 "," 665,032.47 "," 691,633.77 ","292,275.75","691,633.77", -   ," 691,633.77 ",," 1,085,275.77 ",,,,,,,,,
471,Rye,TRUE,471,Rye, 533.00 ," 2,229,015.62 ", 16.00 ," 37,536.00 ", 61.26 ," 131,215.49 ", 3.00 ," 2,448.00 ", -   , -   ," 2,400,215.11 "," 4,644,090 "," 3,827,393,251.29 "," 239,212,078.21 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 4,644,090.00 ",,,,,,,,,
473,Salem,TRUE,473,Salem," 3,400.90 "," 14,222,582.62 ", 602.15 ," 1,412,638.04 ", 592.53 ," 1,269,193.05 ", 86.79 ," 70,824.64 ", 0.45 ," 1,881.90 "," 16,977,120.25 "," 9,533,040 "," 7,985,891,331.04 "," 13,262,350.72 ", -   , -   ," 7,444,080.25 "," 5,908,381.00 "," 6,144,716.24 ",0.00,"7,377,356.35", -   ," 7,444,080.25 ",," 16,977,120.25 ",,,,,,,,,
475,Salisbury,TRUE,475,Salisbury, 152.28 ," 636,830.36 ", 28.75 ," 67,448.20 ", 35.07 ," 75,125.30 ", -   , -   , 0.23 , 940.95 ," 780,344.81 "," 297,188 "," 261,376,208.68 "," 9,091,251.52 ", -   , -   ," 483,156.81 "," 498,470.10 "," 518,408.90 ","35,252.09","518,408.90", -   ," 518,408.90 ",," 815,596.90 ",,,,,,,,,
477,Sanbornton,TRUE,477,Sanbornton, 274.44 ," 1,147,712.68 ", 84.96 ," 199,309.36 ", 48.39 ," 103,646.03 ", -   , -   , 0.38 ," 1,568.25 "," 1,452,236.32 "," 1,107,250 "," 917,571,428.44 "," 10,800,409.01 ", -   , -   ," 344,986.32 "," 479,397.86 "," 498,573.77 ","153,587.45","498,573.77", -   ," 498,573.77 ",," 1,605,823.77 ",,,,,,,,,
479,Sandown,TRUE,479,Sandown, 868.20 ," 3,630,811.56 ", 119.31 ," 279,900.09 ", 189.96 ," 406,899.03 ", 5.29 ," 4,317.13 ", 0.49 ," 2,038.73 "," 4,323,966.54 "," 1,406,042 "," 1,165,940,982.25 "," 9,772,406.91 ", -   , -   ," 2,917,924.54 "," 3,910,509.28 "," 4,066,929.65 ","1,149,005.12","4,066,929.65", -   ," 4,066,929.65 ",," 5,472,971.65 ",,,,,,,,,
483,Sandwich,TRUE,483,Sandwich, 130.08 ," 543,985.78 ", 16.54 ," 38,811.99 ", 16.21 ," 34,728.89 ", -   , -   , -   , -   ," 617,526.66 "," 894,014 "," 748,784,447.64 "," 45,260,455.37 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 894,014.00 ",,,,,,,,,
485,Seabrook,TRUE,485,Seabrook, 909.33 ," 3,802,830.61 ", 429.90 ," 1,008,540.47 ", 190.66 ," 408,398.86 ", 20.02 ," 16,338.52 ", -   , -   ," 5,236,108.46 "," 3,288,690 "," 4,462,439,854.95 "," 10,380,231.81 ", -   , -   ," 1,947,418.46 "," 1,820,755.26 "," 1,893,585.47 ",0.00,"2,027,573.43", -   ," 1,947,418.46 ",," 5,236,108.46 ",,,,,,,,,
487,Sharon,TRUE,487,Sharon, 41.07 ," 171,741.78 ", -   , -   , 7.91 ," 16,948.79 ", 1.00 , 816.00 , -   , -   ," 189,506.57 "," 95,579 "," 79,484,240.14 ", -   ,  , -   ," 93,927.57 "," 123,000.14 "," 127,920.15 ","33,992.58","127,920.15", -   ," 127,920.15 ",," 223,499.15 ",,,,,,,,,
489,Shelburne,TRUE,489,Shelburne, 33.57 ," 140,368.83 ", 13.21 ," 31,001.69 ", 1.62 ," 3,461.04 ", -   , -   , -   , -   ," 174,831.56 "," 91,901 "," 117,593,002.75 "," 8,898,650.95 ", -   , -   ," 82,930.56 "," 109,380.00 "," 113,755.20 ","30,824.64","113,755.20", -   ," 113,755.20 ",," 205,656.20 ",,,,,,,,,
491,Somersworth,TRUE,491,Somersworth," 1,304.11 "," 5,453,800.15 ", 571.78 ," 1,341,406.91 ", 321.36 ," 688,343.91 ", 76.46 ," 62,392.91 ", 0.45 ," 1,881.90 "," 7,547,825.78 "," 2,052,131 "," 1,715,260,861.23 "," 2,999,836.93 "," 6,344.68 "," 3,627,789.36 "," 9,123,484.14 "," 7,226,170.28 "," 7,515,217.09 ",0.00,"8,861,219.40", -   ," 9,123,484.14 ",," 11,175,615.14 ",,,,,,,,,
495,South Hampton,TRUE,495,South Hampton, 100.95 ," 422,178.75 ", 4.00 ," 9,384.00 ", 20.69 ," 44,309.84 ", -   , -   , -   , -   ," 475,872.59 "," 293,455 "," 248,446,075.51 "," 62,111,518.88 ", -   , -   ," 182,417.59 "," 222,487.61 "," 231,387.11 ","48,969.52","231,387.11", -   ," 231,387.11 ",," 524,842.11 ",,,,,,,,,
497,Springfield,TRUE,497,Springfield, 159.33 ," 666,299.66 ", 23.51 ," 55,157.28 ", 33.26 ," 71,245.28 ", -   , -   , -   , -   ," 792,702.22 "," 432,419 "," 364,303,979.79 "," 15,494,912.20 ", -   , -   ," 360,283.22 "," 328,223.06 "," 341,351.98 ",0.00,"351,551.75", -   ," 360,283.22 ",," 792,702.22 ",,,,,,,,,
499,Stark,TRUE,499,Stark, 54.33 ," 227,222.28 ", 22.84 ," 53,594.14 ", 5.07 ," 10,870.01 ", -   , -   , -   , -   ," 291,686.43 "," 141,070 "," 148,713,370.14 "," 6,509,696.70 ", 377.92 ," 8,633.44 "," 159,249.87 "," 342,877.84 "," 356,592.95 ","197,343.08","356,592.95", -   ," 356,592.95 ",," 497,662.95 ",,,,,,,,,
501,Stewartstown,TRUE,501,Stewartstown, 76.68 ," 320,696.25 ", 43.83 ," 102,836.68 ", 17.61 ," 37,711.41 ", -   , -   , -   , -   ," 461,244.34 "," 189,098 "," 191,130,340.20 "," 4,360,232.15 "," 4,032.01 "," 176,742.55 "," 448,888.89 "," 530,862.81 "," 552,097.32 ","103,208.43","552,097.32", -   ," 552,097.32 ",," 741,195.32 ",,,,,,,,,
503,Stoddard,TRUE,503,Stoddard, 146.30 ," 611,837.06 ", 43.12 ," 101,151.78 ", 33.12 ," 70,935.97 ", 1.00 , 816.00 , -   , -   ," 784,740.81 "," 523,856 "," 447,724,022.04 "," 10,384,004.85 ", -   , -   ," 260,884.81 "," 202,080.47 "," 210,163.69 ",0.00,"257,523.93", -   ," 260,884.81 ",," 784,740.81 ",,,,,,,,,
507,Strafford,TRUE,507,Strafford, 550.87 ," 2,303,729.56 ", 79.07 ," 185,506.43 ", 111.48 ," 238,799.37 ", -   , -   , -   , -   ," 2,728,035.36 "," 1,239,232 "," 1,044,103,405.66 "," 13,204,213.87 ", -   , -   ," 1,488,803.36 "," 2,192,006.19 "," 2,279,686.44 ","790,883.08","2,279,686.44", -   ," 2,279,686.44 ",," 3,518,918.44 ",,,,,,,,,
509,Stratford,TRUE,509,Stratford, 65.19 ," 272,640.05 ", 47.05 ," 110,370.39 ", 23.61 ," 50,571.33 ", -   , -   , -   , -   ," 433,581.77 "," 117,743 "," 157,247,476.34 "," 3,342,405.47 "," 5,762.31 "," 271,094.82 "," 586,933.59 "," 890,513.81 "," 926,134.36 ","339,200.77","926,134.36", -   ," 926,134.36 ",," 1,043,877.36 ",,,,,,,,,
511,Stratham,TRUE,511,Stratham," 1,047.24 "," 4,379,544.30 ", 54.86 ," 128,693.11 ", 170.99 ," 366,270.00 ", 1.00 , 816.00 , 1.20 ," 5,018.40 "," 4,880,341.81 "," 2,775,138 "," 2,314,357,068.85 "," 42,189,372.05 ", -   , -   ," 2,105,203.81 "," 1,854,782.86 "," 1,928,974.17 ",0.00,"2,061,008.15", -   ," 2,105,203.81 ",," 4,880,341.81 ",,,,,,,,,
512,Sugar Hill,TRUE,512,Sugar Hill, 57.33 ," 239,756.15 ", 7.68 ," 18,007.90 ", 12.00 ," 25,704.00 ", 0.84 , 684.54 , -   , -   ," 284,152.59 "," 353,310 "," 295,792,109.38 "," 38,534,667.72 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 353,310.00 ",,,,,,,,,
513,Sullivan,TRUE,513,Sullivan, 73.77 ," 308,492.34 ", 24.92 ," 58,454.58 ", 17.30 ," 37,056.60 ", -   , -   , -   , -   ," 404,003.52 "," 99,805 "," 88,438,101.54 "," 3,549,350.50 "," 5,410.50 "," 134,811.91 "," 439,010.43 "," 713,237.17 "," 741,766.66 ","302,756.23","741,766.66", -   ," 741,766.66 ",," 841,571.66 ",,,,,,,,,
514,Success,TRUE,514,Success, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 21,892 "," 18,029,863.10 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 21,892.00 ",,,,,,,,,
515,Sunapee,TRUE,515,Sunapee, 328.84 ," 1,375,188.81 ", 68.67 ," 161,093.72 ", 59.78 ," 128,047.26 ", 2.00 ," 1,632.00 ", -   , -   ," 1,665,961.79 "," 3,229,674 "," 2,693,315,573.86 "," 39,222,623.46 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 3,229,674.00 ",,,,,,,,,
519,Surry,TRUE,519,Surry, 96.58 ," 403,916.38 ", 13.02 ," 30,537.18 ", 11.60 ," 24,847.20 ", 1.00 , 816.00 , -   , -   ," 460,116.76 "," 150,650 "," 128,202,408.42 "," 9,849,071.46 ", -   , -   ," 309,466.76 "," 361,392.66 "," 375,848.37 ","66,381.61","375,848.37", -   ," 375,848.37 ",," 526,498.37 ",,,,,,,,,
521,Sutton,TRUE,521,Sutton, 244.97 ," 1,024,484.61 ", 41.00 ," 96,181.54 ", 38.57 ," 82,620.15 ", 1.62 ," 1,323.72 ", -   , -   ," 1,204,610.02 "," 570,226 "," 473,934,320.89 "," 11,559,909.38 ", -   , -   ," 634,384.02 "," 538,076.71 "," 559,599.78 ",0.00,"565,928.66", -   ," 634,384.02 ",," 1,204,610.02 ",,,,,,,,,
523,Swanzey,TRUE,523,Swanzey, 834.06 ," 3,488,042.68 ", 298.66 ," 700,661.99 ", 156.81 ," 335,893.66 ", 6.89 ," 5,618.24 ", -   , -   ," 4,530,216.57 "," 1,144,445 "," 965,179,151.52 "," 3,231,672.79 "," 5,950.56 "," 1,777,207.41 "," 5,162,978.98 "," 5,940,661.81 "," 6,178,288.28 ","1,015,309.30","6,178,288.28", -   ," 6,178,288.28 ",," 7,322,733.28 ",,,,,,,,,
525,Tamworth,TRUE,525,Tamworth, 268.32 ," 1,122,132.22 ", 134.66 ," 315,915.64 ", 70.27 ," 150,511.70 ", 3.79 ," 3,091.58 ", -   , -   ," 1,591,651.14 "," 789,191 "," 667,256,460.84 "," 4,955,068.50 "," 3,020.78 "," 406,782.94 "," 1,209,243.08 "," 894,169.02 "," 929,935.78 ",0.00,"1,231,293.63", -   ," 1,209,243.08 ",," 1,998,434.08 ",,,,,,,,,
527,Temple,TRUE,527,Temple, 101.79 ," 425,703.76 ", 21.00 ," 49,266.00 ", 24.42 ," 52,313.85 ", -   , -   , -   , -   ," 527,283.61 "," 294,026 "," 245,319,768.36 "," 11,681,893.73 ", -   , -   ," 233,257.61 "," 220,507.78 "," 229,328.09 ",0.00,"229,328.09", -   ," 233,257.61 ",," 527,283.61 ",,,,,,,,,
531,Thornton,TRUE,531,Thornton, 265.72 ," 1,111,256.51 ", 50.60 ," 118,712.06 ", 46.59 ," 99,797.71 ", 1.04 , 852.23 , 0.68 ," 2,822.85 "," 1,333,441.36 "," 916,084 "," 765,886,288.56 "," 15,135,524.33 ", -   , -   ," 417,357.36 "," 733,442.10 "," 762,779.78 ","345,422.42","762,779.78", -   ," 762,779.78 ",," 1,678,863.78 ",,,,,,,,,
532,Tilton,TRUE,532,Tilton, 402.67 ," 1,683,971.38 ", 210.67 ," 494,221.73 ", 98.63 ," 211,254.96 ", 4.63 ," 3,778.65 ", -   , -   ," 2,393,226.72 "," 1,087,477 "," 947,428,517.71 "," 4,497,307.90 "," 3,798.98 "," 800,314.06 "," 2,106,063.78 "," 1,666,609.61 "," 1,733,273.99 ",0.00,"2,076,009.04", -   ," 2,106,063.78 ",," 3,193,540.78 ",,,,,,,,,
535,Troy,TRUE,535,Troy, 258.85 ," 1,082,527.43 ", 104.71 ," 245,638.16 ", 56.89 ," 121,868.23 ", -   , -   , -   , -   ," 1,450,033.82 "," 245,953 "," 237,328,770.14 "," 2,266,640.02 "," 7,591.11 "," 794,828.14 "," 1,998,908.96 "," 2,358,978.22 "," 2,453,337.35 ","454,428.39","2,453,337.35", -   ," 2,453,337.35 ",," 2,699,290.35 ",,,,,,,,,
537,Tuftonboro,TRUE,537,Tuftonboro, 215.31 ," 900,413.04 ", 57.08 ," 133,917.89 ", 33.24 ," 71,200.51 ", -   , -   , -   , -   ," 1,105,531.44 "," 2,495,879 "," 2,064,571,918.68 "," 36,167,577.65 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,495,879.00 ",,,,,,,,,
539,Unity,TRUE,539,Unity, 135.60 ," 567,087.98 ", 51.05 ," 119,756.50 ", 34.47 ," 73,826.17 ", -   , -   , -   , -   ," 760,670.65 "," 230,823 "," 193,667,676.27 "," 3,793,901.64 "," 4,994.77 "," 254,968.38 "," 784,816.03 "," 849,501.93 "," 883,482.01 ","98,665.98","883,482.01", -   ," 883,482.01 ",," 1,114,305.01 ",,,,,,,,,
543,Wakefield,TRUE,543,Wakefield, 607.37 ," 2,540,020.50 ", 209.47 ," 491,420.84 ", 116.87 ," 250,339.40 ", 3.00 ," 2,448.00 ", -   , -   ," 3,284,228.74 "," 2,313,168 "," 1,919,561,193.02 "," 9,163,816.77 ", -   , -   ," 971,060.74 "," 1,188,889.53 "," 1,236,445.11 ","265,384.37","1,236,445.11", -   ," 1,236,445.11 ",," 3,549,613.11 ",,,,,,,,,
545,Walpole,TRUE,545,Walpole, 366.67 ," 1,533,416.45 ", 100.44 ," 235,642.80 ", 56.91 ," 121,902.72 ", 3.00 ," 2,448.00 ", -   , -   ," 1,893,409.97 "," 857,246 "," 752,388,208.14 "," 7,490,586.42 ", -   , -   ," 1,036,163.97 "," 1,317,400.58 "," 1,370,096.60 ","333,932.63","1,370,096.60", -   ," 1,370,096.60 ",," 2,227,342.60 ",,,,,,,,,
547,Warner,TRUE,547,Warner, 323.98 ," 1,354,870.98 ", 70.47 ," 165,326.61 ", 55.36 ," 118,571.70 ", 2.00 ," 1,632.00 ", 0.15 , 627.30 ," 1,641,028.59 "," 578,997 "," 487,506,923.84 "," 6,917,768.75 ", -   , -   ," 1,062,031.59 "," 1,200,535.49 "," 1,248,556.91 ","186,525.32","1,248,556.91", -   ," 1,248,556.91 ",," 1,827,553.91 ",,,,,,,,,
549,Warren,TRUE,549,Warren, 90.83 ," 379,831.82 ", 47.34 ," 111,049.32 ", 15.15 ," 32,453.44 ", -   , -   , -   , -   ," 523,334.58 "," 159,306 "," 155,326,063.26 "," 3,281,379.41 "," 5,866.05 "," 277,673.23 "," 641,701.81 "," 799,442.59 "," 831,420.29 ","189,718.48","831,420.29", -   ," 831,420.29 ",," 990,726.29 ",,,,,,,,,
551,Washington,TRUE,551,Washington, 96.22 ," 402,382.84 ", 38.99 ," 91,467.02 ", 17.46 ," 37,406.82 ", -   , -   , -   , -   ," 531,256.68 "," 527,197 "," 437,936,618.42 "," 11,232,456.20 ", -   , -   ," 4,059.68 "," 80,029.92 "," 83,231.12 ","79,171.44",0.00, -   ," 83,231.12 ",," 610,428.12 ",,,,,,,,,
553,Waterville Valley,TRUE,553,Waterville Valley, 42.92 ," 179,498.55 ", 4.00 ," 9,384.00 ", 7.30 ," 15,640.24 ", 4.00 ," 3,264.00 ", -   , -   ," 207,786.79 "," 716,594 "," 591,573,011.76 "," 147,893,252.94 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 716,594.00 ",,,,,,,,,
555,Weare,TRUE,555,Weare," 1,256.52 "," 5,254,745.73 ", 204.80 ," 480,464.55 ", 301.78 ," 646,420.47 ", 4.00 ," 3,264.00 ", 0.15 , 627.30 ," 6,385,522.05 "," 1,816,929 "," 1,539,489,394.61 "," 7,516,979.33 ", -   , -   ," 4,568,593.05 "," 7,371,126.39 "," 7,665,971.45 ","3,097,378.40","7,665,971.45", -   ," 7,665,971.45 ",," 9,482,900.45 ",,,,,,,,,
557,Webster,TRUE,557,Webster, 203.12 ," 849,459.13 ", 58.42 ," 137,056.14 ", 60.33 ," 129,229.64 ", -   , -   , -   , -   ," 1,115,744.91 "," 420,504 "," 375,454,443.00 "," 6,426,681.46 ", 519.04 ," 30,323.03 "," 725,563.94 "," 528,314.05 "," 549,446.61 ",0.00,"652,000.37", -   ," 725,563.94 ",," 1,146,067.94 ",,,,,,,,,
559,Wentworth,TRUE,559,Wentworth, 111.72 ," 467,200.08 ", 34.26 ," 80,379.36 ", 22.08 ," 47,299.86 ", -   , -   , -   , -   ," 594,879.30 "," 216,950 "," 190,958,513.59 "," 5,573,429.50 "," 1,969.57 "," 67,481.99 "," 445,411.29 "," 668,215.46 "," 694,944.08 ","249,532.79","694,944.08", -   ," 694,944.08 ",," 911,894.08 ",,,,,,,,,
561,Wentworth's Location,TRUE,561,Wentworth's Location, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 13,217 "," 11,037,247.88 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 13,217.00 ",,,,,,,,,
563,Westmoreland,TRUE,563,Westmoreland, 161.81 ," 676,681.06 ", 32.50 ," 76,254.62 ", 32.11 ," 68,778.33 ", -   , -   , -   , -   ," 821,714.01 "," 287,669 "," 238,926,023.09 "," 7,350,642.63 ", -   , -   ," 534,045.01 "," 729,334.70 "," 758,508.09 ","224,463.08","758,508.09", -   ," 758,508.09 ",," 1,046,177.09 ",,,,,,,,,
567,Whitefield,TRUE,567,Whitefield, 255.94 ," 1,070,336.48 ", 122.00 ," 286,217.16 ", 73.54 ," 157,523.32 ", 0.23 , 188.99 , -   , -   ," 1,514,265.95 "," 442,750 "," 398,296,906.80 "," 3,264,669.87 "," 5,894.46 "," 719,137.24 "," 1,790,653.19 "," 1,876,982.01 "," 1,952,061.29 ","161,408.10","1,952,061.29", -   ," 1,952,061.29 ",," 2,394,811.29 ",,,,,,,,,
569,Wilmot,TRUE,569,Wilmot, 187.72 ," 785,047.13 ", 13.87 ," 32,544.89 ", 28.68 ," 61,439.41 ", 3.00 ," 2,448.00 ", -   , -   ," 881,479.43 "," 351,132 "," 293,684,833.23 "," 21,170,288.93 ", -   , -   ," 530,347.43 "," 479,327.27 "," 498,500.36 ",0.00,"523,029.03", -   ," 530,347.43 ",," 881,479.43 ",,,,,,,,,
571,Wilton,TRUE,571,Wilton, 399.50 ," 1,670,695.20 ", 92.92 ," 217,998.06 ", 88.93 ," 190,491.06 ", -   , -   , -   , -   ," 2,079,184.32 "," 788,694 "," 655,790,909.17 "," 7,057,335.56 ", -   , -   ," 1,290,490.32 "," 1,219,029.49 "," 1,267,790.67 ",0.00,"1,267,790.67", -   ," 1,290,490.32 ",," 2,079,184.32 ",,,,,,,,,
573,Winchester,TRUE,573,Winchester, 475.84 ," 1,989,969.57 ", 234.29 ," 549,642.93 ", 113.65 ," 243,437.01 ", 1.17 , 954.07 , -   , -   ," 2,784,003.58 "," 504,159 "," 468,792,301.97 "," 2,000,911.27 "," 8,042.85 "," 1,884,354.70 "," 4,164,199.28 "," 4,201,950.12 "," 4,370,028.12 ","205,828.84","4,370,028.12", -   ," 4,370,028.12 ",," 4,874,187.12 ",,,,,,,,,
575,Windham,TRUE,575,Windham," 2,957.32 "," 12,367,510.15 ", 99.81 ," 234,158.95 ", 503.86 ," 1,079,261.27 ", 82.19 ," 67,066.14 ", 0.60 ," 2,509.20 "," 13,750,505.71 "," 5,637,911 "," 4,673,961,891.83 "," 46,827,654.91 ", -   , -   ," 8,112,594.71 "," 7,006,583.44 "," 7,286,846.78 ",0.00,"8,045,466.36", -   ," 8,112,594.71 ",," 13,750,505.71 ",,,,,,,,,
579,Windsor,TRUE,579,Windsor, 15.22 ," 63,637.91 ", 2.79 ," 6,555.43 ", 4.00 ," 8,568.00 ", -   , -   , -   , -   ," 78,761.34 "," 45,629 "," 38,219,764.42 "," 13,677,759.88 ", -   , -   ," 33,132.34 "," 67,204.83 "," 69,893.02 ","36,760.68","69,893.02", -   ," 69,893.02 ",," 115,522.02 ",,,,,,,,,
583,Wolfeboro,TRUE,583,Wolfeboro, 600.90 ," 2,512,961.71 ", 154.35 ," 362,100.64 ", 90.51 ," 193,867.92 ", -   , -   , 3.99 ," 16,667.36 "," 3,085,597.63 "," 4,838,047 "," 3,966,216,704.95 "," 25,696,569.67 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 4,838,047.00 ",,,,,,,,,
585,Woodstock,TRUE,585,Woodstock, 125.98 ," 526,838.32 ", 39.56 ," 92,796.97 ", 27.54 ," 59,000.10 ", 0.80 , 652.80 , -   , -   ," 679,288.19 "," 635,433 "," 534,126,047.06 "," 13,503,239.69 ", -   , -   ," 43,855.19 "," 216,997.76 "," 225,677.67 ","181,822.48","225,677.67", -   ," 225,677.67 ",," 861,110.67 ",,,,,,,,,
417,#REF!,#REF!,417,Orford, 107.67 ," 450,278.03 ", 27.58 ," 64,691.18 ", 21.06 ," 45,103.24 ", -   , -   , -   , -   ," 560,072.45 "," 287,834 "," 241,119,253.33 "," 8,744,093.52 ", -   , -   ," 272,238.45 "," 351,434.14 "," 365,491.51 ","93,253.06","365,491.51", -   ," 365,491.51 ",," 653,325.51 ",,,,,,,,,
,,,,,,,,,,,,,, -   ,,,,,,,,, -   ,,0.00 , -   ,,, -   ,,,,,,,,,
,,,,,,,,,,,,,, -   ,,,,,,,,, -   ,,0.00 , -   ,,, -   ,,,,,,,,,
,,,a,ATK. & GILMANTON ACAD.,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   ," 1,264 "," 1,036,199.78 ",  ,  ,, -   , -   , -   , -   , -   , -   , -   ,," 1,264.00 ",,,,,,,,,
,,,b,BEAN'S GRANT,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , -   , -   ,  ,  ,, -   , -   , -   , -   , -   , -   , -   ,, -   ,,,,,,,,,
,,,c,BEAN'S PURCHASE,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , -   , -   ,  ,  ,, -   , -   , -   , -   , -   , -   , -   ,, -   ,,,,,,,,,
,,,d,CHANDLER'S PURCHASE,, -   ,0.00, -   ,0.00, -   ,0.00, -   ,, -   , -   , 63 ," 61,500.53 ",  ,,, -   , -   , -   , -   , -   , -   , -   ,, 63.00 ,,,,,,,,,
