,,,Loc #,State Total,"154,925.43","647,898,128.65 ","41,749.19","97,943,593.71 ","31,471.30 ","67,411,519.29 ","5,454.57","4,450,925.24 ",39.46 ,"165,038.87 "," 817,869,205.76 "," 364,350,537 ","311,943,286,262",,," $158,650,596.05 "," 640,566,313.35 "," 598,639,134.52 "," 622,584,699.90 "," 59,449,971.16 ",, -   ," 700,016,284.46 ",,"1,064,366,821.46 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Claremont,TRUE,101,Claremont," 1,507.05 "," 6,302,480.17 ", 681.64 ," 1,599,122.75 ", 378.00 ," 809,684.78 ", 15.70 ," 12,814.22 ", 1.35 ," 5,658.25 "," 8,729,760.17 "," 1,575,757 "," 1,363,781,794.33 "," 2,000,742.03 "," 8,043.14 "," 5,482,508.88 "," 12,636,512.05 "," 13,734,077.13 "," 14,283,440.22 ","1,646,928.17","14,283,440.22", -   ," 14,283,440.22 ",," 15,859,197.22 ",,,,,,,,,
103,Clarksville,TRUE,103,Clarksville, 18.14 ," 75,858.13 ", 6.14 ," 14,402.56 ", 2.49 ," 5,331.22 ", -   , -   , 0.38 ," 1,568.25 "," 97,160.16 "," 112,669 "," 95,458,857.57 "," 15,549,071.14 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 112,669.00 ",,,,,,,,,
105,Colebrook,TRUE,105,Colebrook, 212.59 ," 889,056.82 ", 94.55 ," 221,807.26 ", 47.17 ," 101,032.36 ", -   , -   , 0.15 , 627.30 ," 1,212,523.74 "," 383,885 "," 346,916,480.12 "," 3,669,248.95 "," 5,206.68 "," 492,275.67 "," 1,320,914.41 "," 1,986,703.29 "," 2,066,171.42 ","745,257.01","2,066,171.42", -   ," 2,066,171.42 ",," 2,450,056.42 ",,,,,,,,,
107,Columbia,TRUE,107,Columbia, 50.68 ," 211,929.96 ", 18.66 ," 43,774.72 ", 12.21 ," 26,157.46 ", -   , -   , -   , -   ," 281,862.14 "," 145,087 "," 165,364,567.16 "," 8,862,313.55 ", -   , -   ," 136,775.14 "," 325,697.98 "," 338,725.90 ","201,950.76","338,725.90", -   ," 338,725.90 ",," 483,812.90 ",,,,,,,,,
111,Concord,TRUE,111,Concord," 3,625.59 "," 15,162,208.18 "," 1,380.38 "," 3,238,381.80 ", 731.46 ," 1,566,789.25 ", 180.37 ," 147,183.55 ", 0.75 ," 3,136.50 "," 20,117,699.28 "," 7,093,067 "," 6,119,404,463.00 "," 4,433,116.21 "," 3,908.10 "," 5,394,683.64 "," 18,419,315.92 "," 14,954,400.03 "," 15,552,576.03 ",0.00,"19,024,873.06", -   ," 18,419,315.92 ",," 25,512,382.92 ",,,,,,,,,
113,Conway,TRUE,113,Conway," 1,054.87 "," 4,411,486.83 ", 416.77 ," 977,750.16 ", 194.73 ," 417,101.81 ", 18.00 ," 14,688.00 ", 0.60 ," 2,509.20 "," 5,823,536.00 "," 3,602,520 "," 3,056,995,488.68 "," 7,334,912.02 ", -   , -   ," 2,221,016.00 "," 2,503,511.40 "," 2,603,651.86 ","382,635.86","2,603,651.86", -   ," 2,603,651.86 ",," 6,206,171.86 ",,,,,,,,,
115,Cornish,TRUE,115,Cornish, 160.21 ," 669,983.16 ", 15.60 ," 36,605.11 ", 25.36 ," 54,318.98 ", -   , -   , -   , -   ," 760,907.25 "," 309,059 "," 261,277,557.58 "," 16,745,126.49 ", -   , -   ," 451,848.25 "," 767,288.17 "," 797,979.70 ","346,131.45","797,979.70", -   ," 797,979.70 ",," 1,107,038.70 ",,,,,,,,,
117,Croydon,TRUE,117,Croydon, 75.43 ," 315,434.46 ", 23.76 ," 55,738.85 ", 16.02 ," 34,304.34 ", -   , -   , -   , -   ," 405,477.65 "," 182,592 "," 160,644,110.69 "," 6,761,371.88 ", -   , -   ," 222,885.65 "," 363,375.15 "," 377,910.16 ","155,024.51","377,910.16", -   ," 377,910.16 ",," 560,502.16 ",,,,,,,,,
119,Dalton,TRUE,119,Dalton, 92.87 ," 388,386.10 ", 54.64 ," 128,182.86 ", 30.91 ," 66,203.44 ", -   , -   , -   , -   ," 582,772.40 "," 178,167 "," 164,568,498.80 "," 3,011,929.21 "," 6,324.12 "," 345,542.98 "," 750,148.38 "," 685,603.78 "," 713,027.93 ",0.00,"713,027.93", -   ," 750,148.38 ",," 928,315.38 ",,,,,,,,,
123,Danbury,TRUE,123,Danbury, 145.36 ," 607,887.99 ", 62.76 ," 147,241.29 ", 25.43 ," 54,474.27 ", 1.00 , 816.00 , -   , -   ," 810,419.55 "," 258,746 "," 216,780,915.36 "," 3,453,976.89 "," 5,572.64 "," 349,753.89 "," 901,427.44 "," 934,023.49 "," 971,384.43 ","69,956.99","971,384.43", -   ," 971,384.43 ",," 1,230,130.43 ",,,,,,,,,
